@relation esudb18_22vars

@attribute urban_degree {high_pop,low_pop,medium_pop}
@attribute house_rooms real
@attribute housing_tenure {mortgage,property,rent,rent_low_or_free_transfer}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {no,yes}
@attribute afford_holidays {no,yes}
@attribute afford_meal {no,yes}
@attribute afford_unexpected {no,yes}
@attribute have_phone {no,yes}
@attribute have_tv {no,yes}
@attribute have_computer {no,yes}
@attribute have_washer {no,yes}
@attribute have_car {no,yes}
@attribute have_shower {no,yes}
@attribute have_wc {no,yes}
@attribute problem_light {no,yes}
@attribute problem_noise {no,yes}
@attribute problem_pollution {no,yes}
@attribute problem_vandal {no,yes}
@attribute problem_leaks {no,yes}
@attribute afford_heating {no,yes}

@data
low_pop,4,property,2,20692.6,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4,property,3,13310.2,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
medium_pop,4,rent_low_or_free_transfer,3,10262.5,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4,property,1,14070.5,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
medium_pop,4,mortgage,2,23831.6,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes
medium_pop,5,mortgage,3,10744.33,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4,property,2,20105.73,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes
high_pop,5,rent,2,20437.25,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,3,mortgage,1,-8713.5,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,5,mortgage,4,20076.19,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,5,mortgage,2,35760.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes
high_pop,4,mortgage,3,45293.89,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,4,mortgage,1,65300.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes
high_pop,4,mortgage,4,14476.19,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes
high_pop,5,mortgage,5,19160.79,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes
high_pop,5,mortgage,1,19056.0,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes
high_pop,4,property,2,18172.13,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes
high_pop,4,property,3,27525.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4,property,2,20314.47,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4,property,4,21158.96,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4,property,1,26902.7,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,5,property,4,24676.4,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes
high_pop,3,property,3,6401.9,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,2,rent_low_or_free_transfer,1,21202.1,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,4,property,2,29632.13,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,3,mortgage,1,37508.2,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,4,mortgage,4,38466.67,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4,rent_low_or_free_transfer,2,14883.32,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no
high_pop,4,rent_low_or_free_transfer,3,19645.0,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes
high_pop,5,mortgage,3,36039.17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4,property,4,37055.71,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
high_pop,5,mortgage,3,19633.33,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no
high_pop,3,mortgage,6,11569.63,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,2,rent,1,19796.8,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,yes
high_pop,5,mortgage,3,18367.69,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,3,rent_low_or_free_transfer,1,32673.6,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
