@relation cylinder_bands

@attribute attr_4 real
@attribute attr_5 {NO,YES}
@attribute attr_7 {NO,YES}
@attribute attr_8 {BENTON,UDDEHOLM}
@attribute attr_10 {COATED,UNCOATED}
@attribute attr_11 {COATED,COVER,UNCOATED}
@attribute attr_12 {NO,YES}
@attribute attr_13 {LINE,NAPTHA,XYLOL}
@attribute attr_14 {NO,YES}
@attribute attr_15 {Albert70,Motter70,Motter94,WoodHoe70}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {CATALOG,SPIEGEL,TABLOID}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {band,noband}

@data
25503,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2.0,TABLOID,1911,55,46,0.2,17,78,0.75,20,13.1,1700,50.5,36.4,0,0,2.5,1,34,40,105,100,band
39039,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,9.0,CATALOG,1910,52,40,0.3,16,75,0.3125,30,5.6,1467,55.6,38.8,0,0,2.5,1.3,40,40,108.06,100,noband
37351,NO,YES,BENTON,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,816,2.0,TABLOID,1910,50,46,0.3,17,80,0.75,30,0,2100,57.5,42.5,5,0,2.3,0.6,35,40,106.67,100,noband
38039,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,2.0,CATALOG,1910,50,40,0.267,16.8,76,0.4375,28,8.6,1467,53.8,37.6,5,0,2.5,0.8,40,40,103.87,100,noband
35751,NO,YES,BENTON,COATED,COATED,NO,LINE,YES,Motter94,827,2.0,TABLOID,1911,50,46,0.3,16.5,75,0.75,30,0,2600,62.5,37.5,6,0,2.5,0.6,30,40,106.67,100,noband
35751,NO,YES,BENTON,COATED,COATED,NO,LINE,YES,Motter94,827,9.0,TABLOID,1911,50,46,0.2,16.5,75,0.75,28,0,2600,62.5,37.5,6,0,2.5,1.1,30,40,106.67,100,noband
47201,YES,YES,BENTON,UNCOATED,UNCOATED,NO,XYLOL,YES,Albert70,802,7.0,CATALOG,1910,50,45,0.367,12,70,0.75,60,0,1650,60.2,39.8,1.5,0,3,1,40,40,103.22,100,band
37000,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,815,2.0,CATALOG,1911,65,43,0.333,16,75,1,32,22.7,1750,45.5,31.8,0,0,3,1,38,40,106.66,100,noband
37000,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,815,9.0,CATALOG,1910,65,43,0.2,16,68,0.75,30,15.5,1750,48.5,35.9,0,0,3,1,38,40,106.6,100,noband
35539,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2.0,TABLOID,1911,50,50,0.367,14,80,0.75,40,10.5,1700,52.6,36.8,0,0,2.5,1,38,40,105,100,band
