@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

1.51793,12.79,3.5,?,73.03,0.64,?,0.0,0.0,'build wind float'
1.51643,12.16,3.52,1.35,72.89,?,8.53,0.0,0.0,?
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,?,'build wind float'
1.51299,14.4,1.74,1.54,74.55,?,7.59,?,0.0,tableware
1.53393,12.3,0.0,1.0,?,0.12,16.19,0.0,0.24,'build wind non-float'
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,?,?
1.51779,?,3.65,0.65,73.0,0.06,8.93,0.0,?,'vehic wind float'
1.51837,13.14,?,1.28,72.85,0.55,?,?,0.0,?
?,14.14,0.0,?,73.39,0.08,9.07,0.61,?,headlamps
?,13.19,3.9,1.3,72.33,0.55,8.44,0.0,?,?
1.51625,13.36,3.58,1.49,72.72,0.45,?,0.0,0.0,'build wind non-float'
?,?,?,?,?,0.62,8.9,0.0,0.24,'build wind non-float'
?,13.21,?,0.79,?,0.13,?,0.0,0.0,'build wind float'
1.52121,?,3.76,0.58,?,0.11,9.65,?,0.0,'vehic wind float'
1.51665,13.14,3.45,?,?,0.6,8.38,0.0,0.17,'vehic wind float'
?,13.48,?,?,72.52,?,7.99,?,0.0,?
1.51719,14.75,0.0,2.0,73.02,0.0,?,?,0.08,headlamps
1.51629,12.71,3.33,1.49,?,0.67,?,0.0,0.0,'build wind non-float'
1.51994,13.27,?,1.76,?,?,11.32,0.0,0.0,containers
?,?,?,1.43,72.92,0.6,8.79,?,0.0,'build wind non-float'
1.52152,13.05,3.65,0.87,72.22,?,?,?,?,'build wind float'
1.52475,?,0.0,?,72.19,0.81,13.24,0.0,?,?
1.51841,12.93,?,1.11,72.28,?,8.96,0.0,0.22,'build wind non-float'
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,?
1.52058,12.85,?,2.17,72.18,?,9.7,?,0.51,containers
1.51569,13.24,?,?,73.25,0.38,8.03,0.0,0.0,'build wind non-float'
1.5159,?,?,1.9,72.86,?,7.97,0.0,0.0,'build wind non-float'
?,14.56,0.0,?,73.29,0.0,8.52,1.57,0.07,headlamps
1.51687,13.23,3.54,?,72.84,0.56,8.1,0.0,0.0,'build wind non-float'
?,?,?,1.34,?,?,8.33,?,0.0,'vehic wind float'
?,12.87,3.56,1.64,73.14,0.65,7.99,0.0,?,'build wind non-float'
1.51832,13.33,3.34,1.54,?,0.56,8.99,0.0,0.0,?
1.51115,?,0.0,0.34,75.41,0.0,6.65,?,?,?
?,13.44,3.61,1.54,72.39,0.66,?,0.0,0.0,'build wind non-float'
1.51755,13.0,3.6,?,?,0.57,?,0.0,0.11,'build wind float'
1.51571,?,3.46,?,73.2,0.67,8.09,0.0,0.24,?
1.51596,12.79,3.61,?,72.97,0.64,8.07,0.0,0.26,'build wind float'
1.5173,12.35,?,1.63,72.87,?,9.23,?,?,?
1.51662,12.85,3.51,?,73.01,0.68,8.23,?,0.25,'build wind non-float'
1.51409,14.25,3.09,?,?,1.1,?,0.0,0.0,?
1.51797,12.74,3.48,1.35,72.96,?,8.68,0.0,0.0,'build wind float'
1.51806,?,3.8,1.08,?,0.56,8.38,0.0,0.12,'build wind non-float'
1.51627,13.0,3.58,1.54,?,?,?,0.0,?,'build wind non-float'
?,13.24,?,1.47,73.1,0.39,?,0.0,?,'build wind non-float'
?,?,?,0.75,72.65,0.16,?,0.15,0.24,'vehic wind float'
1.51755,12.71,?,1.2,73.2,0.59,8.64,?,0.0,'build wind float'
1.51514,?,2.68,3.5,?,1.68,5.87,2.2,0.0,?
?,13.21,3.69,1.29,?,0.57,8.22,0.0,?,?
1.51784,13.08,3.49,?,72.86,0.6,8.49,?,0.0,'build wind float'
1.52177,?,3.68,1.15,72.75,0.54,8.52,?,0.0,'build wind non-float'
?,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,?
1.51851,13.2,3.63,1.07,?,0.57,?,?,0.17,'build wind non-float'
1.51743,13.3,?,1.14,73.09,?,8.17,0.0,?,'build wind float'
?,13.09,?,1.52,73.1,0.67,7.83,0.0,0.0,'build wind non-float'
?,14.37,?,2.74,?,0.0,?,0.54,0.0,?
?,13.02,?,1.69,?,?,8.44,?,0.07,'build wind float'
?,14.86,?,2.06,?,0.76,9.76,0.0,?,?
1.52099,?,3.59,?,71.96,0.09,?,0.0,0.0,?
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,?,0.0,'vehic wind float'
1.51846,13.41,3.89,1.33,72.38,0.51,?,0.0,0.0,'build wind non-float'
?,?,3.87,1.27,71.96,?,8.32,0.0,0.32,?
1.51905,?,3.62,1.11,72.64,?,?,0.0,0.0,'build wind float'
1.51567,?,3.45,1.21,72.74,0.56,?,0.0,0.0,?
?,?,3.82,0.47,71.77,0.11,9.57,0.0,0.0,'build wind float'
1.5232,13.72,?,0.51,71.75,0.09,10.06,0.0,0.16,'build wind float'
1.51556,13.87,0.0,?,?,0.14,9.41,0.81,0.01,headlamps
1.51926,?,3.33,1.28,?,0.6,9.14,0.0,?,?
1.52211,?,3.78,0.91,71.36,?,9.14,0.0,0.37,'vehic wind float'
1.53125,?,0.0,2.1,?,0.58,?,?,0.28,'build wind non-float'
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,'build wind float'
1.51829,?,2.24,1.62,72.38,?,?,0.0,?,tableware
?,?,?,?,72.55,0.57,?,0.0,0.14,'build wind non-float'
1.51888,14.99,0.78,?,72.5,?,9.95,0.0,0.0,?
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,?
1.523,?,3.58,0.82,?,?,?,0.0,0.03,?
?,13.56,3.57,1.47,72.45,?,7.96,0.0,0.0,?
?,?,3.52,?,73.15,?,?,0.0,0.0,'build wind float'
?,12.99,?,1.12,?,?,?,?,0.31,'build wind float'
1.51646,13.04,3.4,1.26,73.01,?,8.58,0.0,0.0,'vehic wind float'
1.51721,12.87,?,?,?,?,8.43,0.0,?,'build wind float'
