@relation dataset

@attribute atr1 real
@attribute atr2 real
@attribute atr3 real
@attribute atr4 real
@attribute atr5 real
@attribute atr6 real
@attribute atr7 real
@attribute atr8 real
@attribute atr9 real
@attribute atr10 real
@attribute atr11 real
@attribute atr12 real
@attribute class {1.0000000e+000, 2.0000000e+000}


@data

-0.17936,-0.207,-0.20971,-0.09726,-0.11921,?,?,0.22317,0.41866,-0.032886,0.0033827,-0.33425,1.0000000e+000
?,-0.16494,0.24987,-0.073985,0.49494,-0.15633,-0.28891,?,-0.045553,0.050759,-0.017511,?,1.0000000e+000
?,0.51816,0.43281,0.39789,0.043127,0.5632,-0.013246,-0.062833,?,?,?,0.6312,?
?,0.41878,?,0.33349,-0.21974,0.39891,?,0.0771,?,-0.36723,0.36468,?,1.0000000e+000
-0.40628,0.11503,0.073336,0.070066,-0.03092,?,-0.19142,-0.58043,?,?,-0.12695,0.18457,1.0000000e+000
0.27804,?,?,0.055255,0.16288,0.17356,0.60732,-0.72565,-0.12646,0.33921,?,0.36024,?
-0.02634,0.26239,?,0.54649,0.52144,?,?,-0.65032,0.26911,-0.041832,0.05272,-0.40948,2.0000000e+000
?,0.085019,0.43229,?,?,?,0.40718,-0.33729,-0.252,?,?,-0.52111,1.0000000e+000
0.96405,?,-0.86876,-0.76013,-0.78482,-0.21668,0.84748,0.49843,0.094435,0.14669,-0.12851,0.057451,1.0000000e+000
?,0.33239,-0.59413,-0.76517,-0.65296,0.13226,?,0.45269,?,?,0.10376,?,?
0.12099,-0.012491,0.23769,0.01501,0.24272,0.060151,-0.038016,-0.13711,?,?,-0.0028463,0.060713,2.0000000e+000
0.46108,0.4653,?,0.88999,?,?,?,?,-0.47858,-0.4528,0.39988,?,1.0000000e+000
?,?,0.56279,?,?,-0.014788,-0.08006,?,?,-0.48214,?,-0.28092,?
-0.65959,?,0.40465,0.29754,?,0.29286,-0.41675,-0.56583,-0.027265,-0.066083,?,-0.026652,1.0000000e+000
-0.17797,?,-0.22153,?,?,-0.3139,-0.35746,0.29253,?,-0.42951,?,-0.19363,2.0000000e+000
-0.0062517,-0.90522,?,-1.015,0.32723,?,-0.064957,0.245,?,?,0.048632,-0.35564,?
0.53967,0.69333,0.13401,?,?,?,0.37774,-0.26206,?,?,?,?,1.0000000e+000
0.29341,0.98988,0.40982,0.82822,?,?,?,0.049601,0.68567,0.40031,-0.35724,-0.2629,1.0000000e+000
-0.12807,0.024672,?,?,?,0.17115,-0.30479,?,0.23421,0.18663,-0.16351,-0.0043452,2.0000000e+000
?,?,?,0.070895,-0.18527,?,?,?,1.0,0.85432,?,-0.13273,?
0.57396,?,?,-0.16288,0.3298,-0.28874,0.78627,0.048731,0.86226,0.39239,?,-0.39441,1.0000000e+000
0.60045,-0.086765,0.39935,-0.037594,?,-0.22468,?,0.10743,0.53764,-0.099066,0.038245,-0.41394,1.0000000e+000
-0.81333,-0.89625,?,-0.44328,0.65821,-0.76347,?,?,0.054158,0.18133,-0.12621,0.016397,?
-0.40572,-0.32364,?,-0.14796,?,?,-0.29948,?,?,0.70321,-0.58735,?,1.0000000e+000
0.35555,0.12036,0.035551,?,?,0.099171,?,0.3632,?,0.34375,-0.29875,?,?
0.37767,-0.2747,-0.14337,?,0.16217,-0.34524,?,?,0.75394,?,-0.27613,-0.33097,1.0000000e+000
-0.62366,?,0.0035105,-0.18136,?,-0.49882,-0.52377,-0.64549,?,?,?,7.8916E-4,2.0000000e+000
-0.7374,?,?,?,?,?,-0.49773,?,-0.29213,?,0.28735,-0.07464,?
0.21329,-0.0048935,?,?,-0.33942,?,0.027455,?,-0.20969,?,?,-0.042001,1.0000000e+000
?,0.47128,-0.28672,-0.011328,-0.80815,0.55047,-0.19517,0.43574,0.43903,0.13174,?,?,?
?,?,0.1981,2.33E-4,?,?,?,?,-0.23566,0.27702,?,0.45626,2.0000000e+000
?,0.065829,-0.010893,?,-0.27017,?,-0.75897,?,?,-0.33052,0.27336,?,1.0000000e+000
0.020291,?,-0.63034,?,?,-0.22965,0.11399,0.038331,?,-0.63248,0.52313,-0.26642,1.0000000e+000
?,?,-0.34092,?,-0.49273,?,-0.018609,0.094689,-0.05668,0.14189,-0.13025,0.19212,1.0000000e+000
0.44589,?,0.14877,0.63854,-0.27498,0.41201,?,1.0,?,0.65022,-0.57912,-0.065822,2.0000000e+000
0.74227,?,-0.16571,0.26462,-0.49121,0.32778,?,0.8351,?,?,?,0.041692,?
0.49053,-0.35245,?,-0.1247,?,?,0.37017,?,0.63013,?,-0.096455,?,?
0.32912,-0.14718,?,?,?,?,0.21471,0.20701,?,?,?,?,1.0000000e+000
?,0.22424,-0.91208,-1.1074,?,-0.04202,0.51315,?,0.59533,?,?,?,2.0000000e+000
-0.28724,?,-0.66205,?,?,?,-0.064677,-0.033885,?,?,?,-0.038131,1.0000000e+000
