@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {b, g}


@data

1.0,?,?,0.85243,0.02306,?,?,1.0,?,0.85243,-0.17755,0.59755,-0.44945,0.60536,-0.38223,0.84356,?,?,?,0.56971,-0.29674,?,-0.47357,0.56811,-0.51171,?,?,0.21266,-0.3409,0.42267,-0.54487,?,-0.453,?
1.0,?,-0.18829,0.93035,?,-0.10868,-0.93597,?,-0.04549,?,-0.67743,0.34432,?,-0.51685,-0.97515,?,-0.62237,0.33109,?,-0.13151,-0.453,?,?,?,-0.26569,-0.20468,-0.18401,?,?,?,-0.06288,-0.13738,-0.02447,b
1.0,1.0,?,1.0,0.00485,?,-0.12062,0.88965,?,0.73082,?,0.85443,0.00827,0.54591,?,0.83775,-0.13644,?,-0.0854,?,?,?,?,0.57528,?,0.58984,?,0.431,-0.17365,0.60436,-0.2418,0.56045,-0.38238,g
?,?,?,1.0,?,0.71216,?,0.0,?,?,?,0.0,0.0,?,0.14516,0.54094,?,-1.0,?,-0.69975,1.0,?,0.0,1.0,?,?,1.0,1.0,-0.20099,0.25682,1.0,?,1.0,b
?,1.0,?,0.9414,?,0.92106,-0.23255,?,-0.16399,0.52798,-0.20275,0.56409,?,?,-0.27457,?,-0.2178,0.45107,-0.17813,0.05982,-0.35575,?,?,?,-0.65158,0.1329,-0.53206,0.02431,-0.62197,-0.05707,-0.59573,?,?,?
1.0,?,-0.00592,-0.09924,-0.11949,?,?,?,0.06637,?,-0.06302,0.0,?,?,-0.1554,-0.00343,-0.10196,-0.11575,-0.05414,?,?,?,0.00888,?,-0.01535,-0.0324,0.09223,-0.07859,0.00732,?,0.0,-3.9E-4,0.12011,?
1.0,0.97588,?,0.94601,-0.208,0.92806,-0.2835,0.85996,?,0.79766,?,0.78225,-0.50764,0.74628,?,0.57945,?,0.37852,-0.73641,?,-0.76562,?,-0.79753,0.22792,?,0.13659,-0.8251,?,-0.82395,-0.04262,-0.81318,?,-0.80975,?
0.0,0.0,?,0.0,0.0,1.0,-1.0,?,?,-1.0,-1.0,0.0,0.0,?,0.0,?,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,?,1.0,1.0,?,0.0,?,1.0,?,?,?
1.0,0.96355,-0.07198,1.0,?,?,-0.21313,1.0,?,0.9257,-0.43569,?,-0.40668,0.90392,-0.46381,0.98305,?,?,-0.6602,0.75346,?,?,-0.64225,?,-0.6544,0.57577,-0.69712,0.25435,-0.63919,?,-0.72779,0.38895,?,?
1.0,-0.01864,-0.08459,0.0,?,0.0,?,?,?,-0.45663,-0.38172,0.0,?,-0.33656,?,-0.37133,?,0.63728,0.22115,0.0,0.0,0.0,0.0,-0.14803,-0.01326,0.20645,-0.02294,0.0,?,?,0.24086,?,0.38065,b
1.0,?,0.06655,1.0,?,?,-0.2732,1.0,?,1.0,?,0.96232,?,0.90711,?,?,?,?,-0.70997,?,?,?,-0.80544,0.55867,?,?,?,?,-0.83675,0.30996,?,0.22995,?,?
1.0,?,-0.5421,1.0,?,1.0,-1.0,1.0,0.36217,1.0,-0.41119,?,1.0,?,-1.0,?,-0.29354,1.0,-0.93599,1.0,?,1.0,?,1.0,-0.40888,1.0,-0.62745,1.0,?,?,-1.0,1.0,?,?
?,1.0,-0.16316,?,-0.10169,0.99999,?,?,-0.19277,0.94055,-0.35151,?,-0.29785,?,-0.34412,0.94486,-0.28106,0.90137,?,?,?,0.82987,?,0.8408,?,?,?,0.65723,?,0.68714,-0.64537,?,-0.67226,?
?,?,?,1.0,0.2228,0.85492,?,1.0,?,1.0,?,1.0,0.07772,1.0,-0.14767,1.0,-1.0,?,?,?,?,1.0,0.62349,1.0,-0.17012,?,0.35924,1.0,?,1.0,?,?,-0.18826,b
?,?,0.0738,1.0,0.0342,?,-0.05563,?,?,1.0,0.19651,1.0,?,1.0,0.12785,1.0,0.10561,1.0,?,1.0,0.44758,1.0,0.4175,?,0.20033,?,?,0.95603,0.48641,1.0,0.32492,1.0,0.46712,?
?,0.50932,-0.93996,?,0.26708,?,-1.0,1.0,?,?,-1.0,0.0,0.0,?,?,-0.37681,?,1.0,-1.0,0.0,0.0,0.0,0.0,-0.16253,?,?,0.26501,0.0,0.0,?,0.23188,?,?,b
1.0,?,?,1.0,?,?,0.02498,?,0.02312,0.99274,0.07808,?,0.10346,?,0.05269,0.88809,?,?,0.08631,0.81633,?,0.83668,?,0.81329,0.13412,0.79476,?,0.7911,0.15379,0.77122,0.1593,?,0.12015,g
0.0,?,0.0,-1.0,-1.0,?,?,?,1.0,?,1.0,?,?,1.0,?,?,-1.0,?,1.0,?,-1.0,?,?,?,?,1.0,-1.0,-1.0,?,-1.0,-1.0,?,?,?
1.0,0.67065,?,0.66626,?,?,0.18761,?,?,0.63621,?,?,0.14285,0.78637,0.10976,0.58373,?,?,0.41224,0.53888,?,0.5142,?,0.48838,0.23724,0.46167,0.24618,?,?,0.40663,0.25792,?,0.33036,?
0.0,?,-1.0,?,?,0.0,0.0,?,?,?,-1.0,?,1.0,0.0,?,?,?,1.0,1.0,-1.0,1.0,1.0,?,-1.0,?,1.0,1.0,?,?,?,1.0,1.0,?,b
