@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

95.0,48.0,?,178.0,72.0,?,162.0,42.0,?,159.0,176.0,?,?,70.0,6.0,?,187.0,197.0,van
?,41.0,84.0,141.0,?,9.0,149.0,?,19.0,143.0,?,330.0,158.0,72.0,?,?,189.0,?,van
104.0,?,?,?,?,10.0,207.0,32.0,?,158.0,?,?,220.0,73.0,?,9.0,188.0,?,?
93.0,?,82.0,?,63.0,9.0,144.0,?,19.0,143.0,?,309.0,?,63.0,6.0,?,199.0,207.0,?
?,44.0,70.0,205.0,?,?,149.0,45.0,?,144.0,241.0,325.0,188.0,127.0,9.0,11.0,180.0,?,bus
107.0,57.0,?,?,50.0,?,?,26.0,28.0,169.0,280.0,?,?,?,5.0,?,181.0,?,?
?,43.0,?,173.0,?,6.0,?,42.0,19.0,143.0,?,361.0,172.0,?,13.0,1.0,200.0,204.0,?
90.0,43.0,?,157.0,?,9.0,137.0,?,?,146.0,162.0,?,?,?,3.0,?,?,202.0,van
86.0,?,62.0,140.0,61.0,7.0,122.0,54.0,17.0,127.0,?,223.0,?,64.0,2.0,14.0,200.0,?,?
?,?,?,?,?,?,?,36.0,?,146.0,?,505.0,152.0,64.0,4.0,14.0,195.0,?,?
86.0,36.0,70.0,143.0,?,?,133.0,50.0,18.0,130.0,?,266.0,?,?,2.0,10.0,194.0,?,?
90.0,?,66.0,136.0,?,6.0,123.0,54.0,?,?,?,?,118.0,65.0,?,26.0,196.0,202.0,saab
88.0,46.0,74.0,171.0,?,6.0,?,43.0,19.0,?,180.0,349.0,?,?,5.0,11.0,189.0,195.0,bus
?,?,85.0,144.0,?,10.0,152.0,44.0,19.0,144.0,173.0,345.0,161.0,72.0,8.0,?,?,197.0,van
?,49.0,79.0,203.0,71.0,?,174.0,37.0,?,?,196.0,465.0,?,?,6.0,?,?,199.0,bus
96.0,55.0,?,201.0,?,9.0,?,32.0,?,166.0,?,624.0,246.0,74.0,6.0,?,186.0,194.0,opel
89.0,?,51.0,?,?,6.0,118.0,57.0,17.0,?,137.0,?,?,80.0,2.0,14.0,181.0,?,van
?,41.0,77.0,?,69.0,6.0,?,36.0,21.0,139.0,202.0,485.0,?,?,4.0,?,198.0,199.0,bus
?,?,100.0,186.0,61.0,10.0,216.0,?,24.0,173.0,225.0,?,?,74.0,5.0,11.0,?,?,saab
101.0,?,?,?,69.0,10.0,208.0,?,?,?,?,?,223.0,74.0,?,5.0,?,193.0,?
84.0,?,?,153.0,64.0,?,154.0,43.0,19.0,?,?,354.0,?,?,?,3.0,185.0,?,?
84.0,?,53.0,121.0,59.0,?,?,55.0,17.0,?,?,?,?,82.0,?,?,?,183.0,?
94.0,43.0,64.0,173.0,69.0,7.0,?,43.0,?,?,169.0,344.0,177.0,?,?,?,199.0,?,bus
87.0,?,?,?,61.0,?,143.0,?,18.0,?,164.0,307.0,?,69.0,?,2.0,192.0,?,?
99.0,53.0,?,?,66.0,11.0,204.0,?,?,165.0,221.0,623.0,?,68.0,?,6.0,191.0,201.0,saab
85.0,45.0,80.0,154.0,64.0,?,147.0,?,?,148.0,169.0,?,174.0,?,1.0,4.0,?,199.0,van
?,36.0,?,119.0,57.0,6.0,128.0,?,?,125.0,143.0,238.0,?,?,6.0,?,?,?,?
107.0,54.0,98.0,?,65.0,?,218.0,31.0,?,?,229.0,?,216.0,?,1.0,28.0,?,199.0,?
