@relation dataset

@attribute v1 real
@attribute v2 real
@attribute v3 real
@attribute v4 real
@attribute v5 real
@attribute v6 real
@attribute v7 real
@attribute v8 real
@attribute v9 real
@attribute v10 real
@attribute v11 real
@attribute v12 real
@attribute v13 real
@attribute v14 real
@attribute v15 real
@attribute v16 real
@attribute v17 real
@attribute v18 real
@attribute v20 {0.0, 1.0, 2.0, 3.0}
@attribute v21 {0.0, 1.0, 2.0, 3.0}
@attribute v22 real
@attribute v23 real
@attribute v24 {0.0, 1.0}
@attribute v25 {0.0, 1.0}
@attribute v26 {0.0, 1.0, 2.0, 3.0}
@attribute v27 real
@attribute v28 real
@attribute v29 {0.0, 1.0}
@attribute v30 real
@attribute v31 real
@attribute v32 real
@attribute v33 real
@attribute v34 real
@attribute v35 real
@attribute v36 real
@attribute v37 real
@attribute v38 real
@attribute v39 real
@attribute v40 {0.0, 1.0, 2.0, 3.0, 4.0}
@attribute v41 real
@attribute class {0, 1}


@data

3.919,?,?,0.0,0.0,0.0,0.0,31.4,2.0,?,0.0,0.0,3.106,?,?,0.0,0.96,1.142,0.0,0.0,1.201,0.0,0.0,0.0,?,1.932,?,0.0,0.0,?,0.0,0.0,0.0,0.0,?,1.591,0.0,7.253,?,0.0,1
4.17,?,0.0,0.0,0.0,0.0,?,30.8,1.0,1.0,0.0,?,2.461,?,8.723,?,0.989,?,0.0,?,1.104,?,0.0,0.0,?,2.214,-0.204,?,0.0,?,0.0,?,0.0,0.0,?,1.967,0.0,?,0.0,?,1
3.932,3.2512,?,0.0,0.0,0.0,0.0,?,2.0,4.0,0.0,?,3.279,2.585,?,?,1.009,1.152,0.0,?,?,0.0,0.0,?,0.0,?,-0.008,0.0,?,?,?,?,?,1.0,3.076,?,0.0,7.601,0.0,0.0,?
?,2.7098,?,0.0,0.0,?,0.0,20.0,?,2.0,0.0,0.0,2.1,0.918,?,0.0,?,?,0.0,?,1.024,?,0.0,0.0,0.0,1.414,1.073,?,?,1.333,?,0.0,?,1.0,?,5.0,0.0,6.69,?,0.0,?
4.236,3.3944,0.0,?,0.0,0.0,?,29.4,?,4.0,?,-0.271,3.449,2.753,9.528,2.0,1.004,?,?,0.0,?,?,0.0,?,0.0,?,-0.002,?,?,?,?,0.0,0.0,0.0,3.351,2.405,?,?,?,0.0,1
4.236,3.4286,?,0.0,0.0,0.0,?,28.6,2.0,?,?,-0.275,3.313,?,9.383,?,1.014,1.149,0.0,?,1.119,0.0,0.0,0.0,0.0,?,-0.008,0.0,10.276,4.746,0.0,0.0,?,?,?,2.556,0.0,7.904,0.0,?,1
5.0,5.0476,?,0.0,0.0,0.0,?,?,?,3.0,0.0,0.0,2.872,0.722,9.657,?,1.092,?,0.0,?,1.125,0.0,0.0,0.0,0.0,?,0.446,0.0,?,0.8,0.0,?,0.0,1.0,?,4.583,?,9.303,?,?,1
?,3.8301,0.0,0.0,?,?,0.0,31.6,3.0,2.0,0.0,?,3.418,?,9.786,?,0.98,1.142,0.0,0.0,1.179,?,0.0,0.0,0.0,?,-0.002,0.0,11.115,3.889,0.0,0.0,0.0,0.0,3.379,?,0.0,7.95,0.0,?,?
?,?,?,0.0,0.0,?,2.0,?,2.0,0.0,?,?,2.97,0.875,9.54,0.0,?,1.115,0.0,?,1.328,?,0.0,0.0,0.0,2.175,0.041,0.0,0.0,?,0.0,0.0,0.0,0.0,?,1.917,0.0,7.939,?,0.0,1
5.04,?,?,?,?,0.0,2.0,?,0.0,?,3.0,-1.29,3.483,1.258,?,8.0,1.069,1.127,?,?,1.199,1.0,?,0.0,0.0,?,?,?,30.959,1.711,?,?,2.0,?,3.888,?,1.0,8.706,0.0,?,?
4.91,2.7414,0.0,0.0,0.0,0.0,2.0,?,0.0,?,?,-0.302,3.364,0.629,10.06,5.0,1.018,1.098,0.0,0.0,1.279,3.0,0.0,0.0,0.0,?,0.004,?,?,1.207,0.0,?,0.0,0.0,3.767,?,?,8.427,0.0,0.0,1
?,2.1906,0.0,0.0,?,?,0.0,29.4,2.0,0.0,0.0,0.0,?,?,7.853,0.0,0.959,?,?,0.0,1.178,0.0,0.0,0.0,?,1.732,0.294,0.0,0.0,2.094,?,0.0,?,?,2.794,1.7,0.0,?,?,0.0,1
4.214,?,0.0,0.0,0.0,0.0,?,?,3.0,0.0,0.0,0.0,?,?,8.755,0.0,0.959,?,0.0,0.0,1.213,0.0,?,0.0,0.0,?,?,?,0.0,?,0.0,0.0,?,?,?,?,?,6.77,?,0.0,1
3.732,2.3391,0.0,?,0.0,0.0,0.0,30.0,?,0.0,?,0.0,2.511,?,8.16,?,?,1.145,0.0,?,1.196,0.0,0.0,?,0.0,1.802,-0.181,0.0,0.0,2.488,?,?,0.0,?,?,?,0.0,?,0.0,0.0,1
3.879,2.5951,0.0,0.0,?,0.0,0.0,31.0,?,0.0,?,0.0,2.908,2.281,8.743,0.0,0.96,1.143,0.0,0.0,1.202,?,0.0,0.0,0.0,1.902,0.036,0.0,0.0,3.685,0.0,0.0,?,?,?,?,?,?,?,0.0,1
?,2.7719,1.0,?,?,0.0,0.0,31.6,2.0,0.0,?,0.0,3.44,2.777,?,0.0,0.969,1.141,0.0,0.0,1.22,0.0,?,?,0.0,?,0.003,0.0,?,?,0.0,?,0.0,0.0,3.542,?,0.0,8.127,?,?,1
3.966,2.852,1.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,?,0.0,?,3.146,?,?,?,1.138,?,?,1.243,0.0,1.0,0.0,0.0,1.97,?,1.0,0.0,?,0.0,0.0,0.0,0.0,?,?,0.0,11.578,0.0,1.0,1
?,2.3761,0.0,0.0,1.0,?,0.0,26.3,?,0.0,?,0.0,2.532,1.585,?,0.0,?,1.157,?,0.0,?,0.0,0.0,0.0,?,1.802,-0.195,0.0,?,2.488,0.0,?,1.0,?,?,?,?,6.599,?,?,1
?,2.6264,0.0,?,0.0,0.0,?,?,0.0,0.0,0.0,0.0,?,?,8.318,0.0,0.972,1.166,0.0,0.0,1.182,0.0,0.0,0.0,0.0,1.732,-0.522,0.0,0.0,?,0.0,0.0,0.0,0.0,2.991,?,?,6.579,0.0,0.0,1
?,1.1521,0.0,0.0,?,0.0,0.0,16.7,1.0,1.0,?,?,?,0.0,?,0.0,1.016,1.173,0.0,?,0.93,0.0,?,?,0.0,1.0,?,0.0,?,1.0,0.0,?,?,?,?,?,0.0,4.948,0.0,0.0,1
?,?,0.0,0.0,0.0,0.0,?,?,2.0,1.0,0.0,0.0,?,?,?,?,0.979,1.15,0.0,?,?,?,0.0,?,?,1.802,?,?,0.0,2.488,0.0,0.0,0.0,?,2.874,2.333,0.0,?,0.0,0.0,?
4.0,2.3699,0.0,0.0,0.0,0.0,0.0,30.0,1.0,?,?,?,2.273,?,8.482,0.0,0.998,1.146,0.0,0.0,1.09,1.0,0.0,0.0,?,2.17,?,0.0,0.0,1.0,0.0,0.0,?,0.0,?,2.083,0.0,7.174,?,0.0,?
3.414,?,0.0,0.0,?,?,0.0,20.0,?,2.0,?,0.0,2.243,1.0,7.408,0.0,1.031,?,?,0.0,0.98,?,0.0,0.0,0.0,?,-0.642,0.0,0.0,1.707,?,0.0,0.0,?,2.817,3.75,?,6.32,?,0.0,?
4.17,?,0.0,?,0.0,?,0.0,?,?,2.0,0.0,?,?,0.971,8.597,1.0,?,?,0.0,0.0,1.044,?,?,?,0.0,1.848,?,0.0,0.0,1.542,0.0,?,0.0,2.0,3.047,?,?,6.782,0.0,0.0,?
