@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,0.27,0.36,?,0.045,45.0,170.0,?,3.0,0.45,8.8,6.0
?,0.3,0.34,1.6,0.049,14.0,?,?,3.3,0.49,9.5,?
?,?,0.4,6.9,0.05,30.0,97.0,?,3.26,0.44,10.1,6.0
7.2,?,0.32,8.5,?,47.0,186.0,0.9956,?,0.4,?,?
7.2,0.23,?,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,?,6.0
?,?,?,6.9,0.05,30.0,97.0,?,3.26,0.44,10.1,6.0
?,0.32,?,?,?,?,136.0,0.9949,3.18,?,9.6,6.0
7.0,0.27,0.36,20.7,?,45.0,170.0,1.001,?,0.45,?,6.0
?,0.3,?,1.6,?,?,?,0.994,?,0.49,?,6.0
8.1,?,?,?,?,?,129.0,0.9938,?,?,11.0,6.0
?,0.27,?,1.45,0.033,11.0,?,0.9908,2.99,?,12.0,5.0
?,0.23,?,4.2,0.035,17.0,?,?,?,?,?,5.0
?,0.18,0.37,?,?,16.0,?,0.992,?,?,?,5.0
?,?,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7.0
8.3,0.42,?,19.25,?,41.0,172.0,?,2.98,?,?,5.0
6.6,0.17,?,1.5,?,28.0,?,?,?,0.55,?,?
?,?,0.04,1.1,?,30.0,?,0.9928,3.24,0.36,?,6.0
6.2,?,?,1.2,0.029,?,?,?,3.33,?,?,8.0
7.4,0.34,0.42,?,?,17.0,171.0,?,3.12,?,11.3,6.0
6.5,?,?,7.5,?,34.0,?,0.9955,3.22,?,9.5,?
6.2,?,0.48,?,?,?,75.0,?,?,?,12.8,?
?,0.31,0.38,?,?,?,102.0,0.9912,?,0.35,?,?
?,0.26,0.42,1.7,0.049,?,?,?,?,?,?,8.0
