@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,0.829,1.676,0.0,?,?,3.77
?,0.58,?,0.0,?,1.348,3.115
2.125,0.638,0.831,?,?,1.348,?
3.027,?,1.472,?,?,1.807,3.51
2.094,0.827,0.86,0.0,0.0,1.886,5.39
3.222,0.331,2.177,?,0.0,?,1.819
?,?,1.063,?,?,?,?
?,?,0.938,?,?,?,3.513
2.62,0.499,?,0.0,0.0,?,4.402
?,?,0.95,?,?,?,?
2.405,?,0.843,?,0.0,?,?
2.728,?,0.953,0.0,0.0,1.591,?
2.512,?,?,?,?,1.769,?
?,0.134,?,?,0.0,1.859,?
?,?,1.271,?,1.0,0.981,?
?,?,1.114,0.0,?,?,2.157
2.834,?,?,?,0.0,?,?
?,?,?,?,?,?,0.898
?,?,?,0.0,?,1.107,0.45
?,?,1.205,?,0.0,?,?
?,?,?,?,3.0,?,2.976
?,?,?,0.0,?,?,?
3.111,0.732,0.923,?,?,?,5.643
3.315,?,0.96,?,?,?,?
2.71,?,?,0.0,0.0,2.526,4.838
3.326,0.647,?,?,1.0,3.112,4.081
?,0.134,1.294,0.0,?,?,?
?,?,?,?,0.0,?,?
?,?,?,0.0,?,?,?
2.479,0.887,?,?,?,1.748,?
?,?,0.865,0.0,?,?,5.386
3.645,?,1.155,?,?,?,?
3.079,0.429,2.135,?,?,-0.521,?
3.332,?,?,?,?,2.242,3.554
2.726,0.496,?,?,?,1.06,2.269
?,0.134,1.11,0.0,0.0,?,4.165
?,0.223,?,?,?,?,5.896
?,?,?,?,?,3.562,?
2.918,?,0.944,?,?,?,?
3.833,0.405,?,?,?,3.492,?
3.669,0.223,?,?,?,?,?
?,0.223,?,1.0,?,?,?
2.233,?,?,?,?,2.37,?
3.103,0.134,?,?,?,?,3.174
?,?,1.17,1.0,?,?,?
?,?,?,?,?,1.565,?
?,0.693,1.851,?,?,?,4.016
?,?,?,0.0,?,?,?
?,?,?,2.0,2.0,?,?
?,?,1.678,?,?,?,?
?,?,1.45,?,?,2.642,3.84
3.734,?,1.374,2.0,?,2.642,4.586
?,?,0.771,0.0,?,3.795,?
?,?,?,?,?,?,?
