@relation dataset

@attribute hair {false, true}
@attribute feathers {false, true}
@attribute eggs {false, true}
@attribute milk {false, true}
@attribute airborne {false, true}
@attribute aquatic {false, true}
@attribute predator {false, true}
@attribute toothed {false, true}
@attribute backbone {false, true}
@attribute breathes {false, true}
@attribute venomous {false, true}
@attribute fins {false, true}
@attribute legs {0, 2, 4, 5, 6, 8}
@attribute tail {false, true}
@attribute domestic {false, true}
@attribute catsize {false, true}
@attribute type {mammal, bird, reptile, fish, amphibian, insect, invertebrate}


@data

true,false,?,?,false,false,?,true,?,?,false,false,?,?,?,?,mammal
?,?,?,?,false,false,?,true,?,true,false,false,4,false,false,true,mammal
true,false,?,true,?,?,false,true,true,true,?,false,4,true,?,true,?
true,false,?,true,false,?,false,true,?,true,false,false,4,?,false,?,?
?,false,false,true,false,false,false,?,true,true,?,false,4,true,false,?,?
true,?,false,true,?,?,?,true,true,?,?,false,?,true,?,true,mammal
true,false,?,?,?,false,?,true,true,true,false,?,4,?,false,?,?
?,?,?,true,false,?,?,?,true,true,false,false,4,true,?,?,?
false,false,true,false,?,true,?,?,?,?,false,true,0,true,false,false,?
false,?,true,false,?,true,?,?,true,?,false,true,0,true,false,false,fish
?,?,true,?,false,true,true,true,?,?,?,true,0,true,false,false,?
?,?,?,?,false,?,true,true,?,?,?,true,?,true,false,?,fish
false,false,?,?,false,true,?,?,?,?,?,true,?,?,false,?,fish
true,?,?,true,?,false,true,true,?,true,false,?,4,?,false,?,mammal
true,?,false,?,?,false,?,true,?,?,?,?,?,?,false,?,mammal
true,?,?,true,false,?,true,true,true,?,false,false,4,true,false,?,?
?,?,false,true,false,false,true,true,true,?,false,?,?,true,?,true,mammal
true,?,?,?,?,false,?,true,?,?,?,false,4,?,false,?,mammal
?,false,false,true,?,?,true,?,?,?,?,?,?,?,false,true,?
?,false,?,true,?,?,true,?,true,true,false,?,4,true,?,?,?
?,?,?,true,?,false,?,?,true,?,false,?,?,?,?,true,?
?,?,false,?,?,?,true,true,true,?,false,?,?,true,?,?,mammal
?,?,?,?,?,?,true,true,true,?,?,false,4,?,false,true,mammal
?,false,false,?,false,?,false,?,?,true,false,?,4,?,true,true,?
?,false,?,true,?,?,?,true,?,true,false,false,4,?,?,?,?
true,?,false,?,?,?,?,true,?,?,?,?,?,?,?,?,?
