@relation dataset

@attribute rural/urban {0, 1, 2}
@attribute totalnumberofgood real
@attribute totalnumberoflivable real
@attribute totalnumberofdilapidated real
@attribute totalnumberofresidencehouseholds real
@attribute totalnumberofresidencegood real
@attribute totalnumberofresidencelivable real
@attribute totalnumberofresidencedilapidated real
@attribute totalnumberofresidencecumother real
@attribute numberofresidencecumgood real
@attribute residence_cum_livable real
@attribute residence_cum_dilapidated real
@attribute material_roof_gtbw real
@attribute material_roof_pp real
@attribute material_roof_hmt real
@attribute material_roof_mmt real
@attribute material_roof_bb real
@attribute material_roof_ss real
@attribute material_roof_gmas real
@attribute material_roof_concrete real
@attribute material_roof_aom real
@attribute material_roof_gtb real
@attribute material_roof_pp1 real
@attribute material_roof_mub real
@attribute material_roof_wood real
@attribute material_wall_snpwm real
@attribute material_wall_spwm real
@attribute material_wall_gimas real
@attribute material_wall_bb real
@attribute material_wall_concrete real
@attribute material_wall_aom real
@attribute material_floor_mud real
@attribute material_floor_wb real
@attribute material_floor_bb real
@attribute material_floor_stone real
@attribute material_floor_cement real
@attribute material_floor_mf real
@attribute material_floor_aom real
@attribute dwelling_r_ner real
@attribute dwelling_r_or real
@attribute dwelling_r_tr real
@attribute dwelling_r_th_r real
@attribute dwelling_r_fr real
@attribute dwelling_r_fi_r real
@attribute dwelling_r_sra real
@attribute h_size_1 real
@attribute h_size_2 real
@attribute h_size_3 real
@attribute h_size_4 real
@attribute h_size_5 real
@attribute h_size_6_8 real
@attribute h_size_9 real
@attribute o_status_o real
@attribute o_status_r real
@attribute o_status_ao real
@attribute married_c_n real
@attribute married_c_1 real
@attribute married_c_2 real
@attribute married_c_3 real
@attribute married_c_4 real
@attribute married_c_5 real
@attribute dw_tfts real
@attribute dw_tfus real
@attribute dw_cw real
@attribute dw_uw real
@attribute dw_handpump real
@attribute dw_tb real
@attribute dw_spring real
@attribute dw_rc real
@attribute dw_tpl real
@attribute dw_os real
@attribute within_premises real
@attribute near_premises real
@attribute away real
@attribute msl_electricty real
@attribute msl_kerosene real
@attribute msl_se real
@attribute msl_oo real
@attribute msl_ao real
@attribute msl_nl real
@attribute latrine_premise real
@attribute latrine_pss real
@attribute latrine_st real
@attribute latrine_os real
@attribute pit_latrine_svi real
@attribute pit_latrine_sop real
@attribute disposed_drain real
@attribute service_latrine_nrh real
@attribute service_latrine_nsa real
@attribute h_latrine_premoses real
@attribute alternative_source real
@attribute alternative_source_open real
@attribute households_bathroom real
@attribute households_ewr real
@attribute households_no real
@attribute waste_water_cd real
@attribute waste_water_od real
@attribute waste_water_nd real
@attribute cooking_fw real
@attribute cooking_cr real
@attribute cooking_cc real
@attribute cooking_clc real
@attribute cooking_kerosene real
@attribute cooking_lpg_png real
@attribute cooking_electricity real
@attribute cooking_biogas real
@attribute cooking_ao real
@attribute cooking_nc real
@attribute cooking_ih real
@attribute has_kitchen real
@attribute dnhk real
@attribute cooking_oh real
@attribute has_kitchen1 real
@attribute dnh_kitchen real
@attribute no_cooking real
@attribute tnhab real
@attribute assets_rt real
@attribute assets_tel real
@attribute assets_cl_wi real
@attribute assets_clwi real
@attribute assets_tm_lo real
@attribute assets_tm_mo real
@attribute assets_tm_both real
@attribute assets_bicycle real
@attribute assets_smm real
@attribute assets_cjv real
@attribute household_tv_lp real
@attribute none_as real
@attribute permanents real
@attribute semi_permanent real
@attribute total_temporary real
@attribute serviceable real
@attribute non_serviceable real
@attribute unclassifiable real
@attribute contition_t_total real
@attribute contition_t_good real
@attribute contition_t_livable real
@attribute contition_t_dilapidated real
@attribute contition_r_total real
@attribute residence_good real
@attribute residence_livable real
@attribute residence_dilapidated real
@attribute residence_cum_other real
@attribute residence_cum_good real


@data

?,33.6,58.1,?,?,?,51.0,7.2,?,1.0,?,1.1,7.8,0.1,?,?,?,1.1,87.1,0.6,2.6,?,0.4,11.1,31.1,7.3,2.2,0.3,?,1.4,?,55.9,?,?,?,33.5,0.1,0.1,2.7,21.3,?,25.3,12.8,3.5,7.3,0.8,?,5.9,?,13.9,40.3,?,98.2,0.4,1.4,8.4,?,13.6,2.0,0.3,0.1,11.8,33.5,5.0,?,?,1.7,?,24.8,?,?,19.0,?,45.0,76.5,?,3.0,1.2,?,3.2,48.9,?,4.4,10.2,2.8,?,2.2,?,0.7,?,8.1,?,?,3.4,38.7,3.6,?,70.9,?,2.6,?,?,0.7,11.7,0.1,0.9,?,0.1,97.4,93.7,?,2.5,0.9,?,0.1,49.1,54.4,23.1,0.6,4.0,1.2,49.4,1.2,?,?,2.5,0.4,?,52.9,37.7,6.0,5.6,0.4,3.4,100.0,33.6,?,?,90.9,?,51.0,7.2,?,?
1,34.8,?,7.9,?,33.8,50.2,6.9,9.0,?,7.1,?,7.3,0.1,?,?,?,1.1,?,?,2.6,0.5,0.4,11.4,28.6,7.9,?,0.3,46.2,?,?,53.7,6.3,0.4,3.5,36.0,?,0.0,2.7,?,?,25.7,12.8,3.6,7.6,0.9,?,6.0,10.0,13.9,?,25.4,98.2,0.6,1.3,8.4,75.5,?,?,0.3,0.1,?,34.1,5.1,?,2.8,1.9,1.8,?,1.5,6.2,?,35.4,43.2,77.8,10.4,2.8,1.1,?,3.1,?,4.8,?,?,3.0,6.2,?,17.6,0.8,?,7.8,?,?,3.4,?,3.8,27.1,69.1,79.9,2.4,0.8,?,0.8,14.8,?,0.9,0.2,0.1,?,94.0,3.5,2.3,0.9,1.4,0.1,?,55.7,25.1,0.7,4.2,1.4,50.0,1.5,2.8,1.7,2.8,0.5,25.0,?,?,?,?,0.4,?,100.0,?,57.3,7.9,?,33.8,50.2,6.9,?,0.9
2,45.7,?,?,?,45.0,42.2,?,8.2,?,7.3,0.2,2.9,0.2,0.4,0.0,?,0.8,91.3,2.0,2.2,0.4,0.2,14.0,4.8,13.2,?,0.2,?,0.8,?,32.3,?,1.1,2.7,60.5,0.1,0.0,?,14.0,26.2,29.8,12.9,4.6,10.4,1.0,?,?,10.2,14.6,37.3,27.0,97.5,2.2,?,8.4,74.1,?,2.4,0.4,0.1,25.1,40.0,5.4,7.7,2.6,3.8,?,?,?,?,?,29.7,?,90.2,3.2,?,1.0,3.5,1.7,?,6.6,23.5,?,5.2,5.1,1.3,16.2,?,29.8,4.4,25.4,?,?,?,5.3,42.3,52.4,50.8,0.7,0.1,0.0,?,45.3,0.3,0.6,0.0,0.1,?,?,?,1.2,0.8,0.4,?,61.1,68.4,?,?,?,2.6,56.5,4.1,?,2.7,6.1,1.5,13.9,?,19.6,1.3,?,0.2,3.1,100.0,45.7,49.5,4.8,91.8,45.0,?,4.5,8.2,0.7
0,?,46.3,?,97.2,49.0,44.5,3.7,?,?,?,0.2,2.6,0.2,0.4,0.0,0.1,?,92.2,1.8,2.1,?,0.2,8.4,1.1,0.9,?,0.3,85.7,?,?,?,1.9,?,2.4,?,0.1,0.1,?,?,25.9,23.6,18.2,5.3,10.0,?,2.1,?,7.1,11.0,?,?,?,0.5,?,8.9,72.4,15.4,2.9,0.4,0.1,?,45.6,?,?,8.2,2.1,0.5,14.7,?,1.2,48.3,35.9,15.8,89.8,6.7,?,0.1,1.3,?,83.3,6.7,12.3,9.8,3.1,4.6,0.6,?,0.5,?,5.1,?,78.7,?,17.2,11.2,43.5,?,59.3,7.4,20.1,?,0.4,?,?,?,?,0.1,?,?,4.2,?,?,3.4,0.1,50.3,66.4,50.9,?,?,?,64.4,3.2,9.2,?,4.2,1.2,?,86.0,8.9,1.7,1.6,0.2,3.4,100.0,49.7,46.3,?,97.2,?,?,3.7,?,?
1,51.6,44.7,?,97.3,50.8,43.0,?,2.7,0.8,1.7,0.2,2.8,?,0.4,0.0,0.1,?,91.6,2.2,?,0.2,0.2,?,1.0,0.9,?,0.3,?,?,1.6,?,1.8,?,?,52.1,?,?,?,?,25.3,?,17.9,5.5,?,?,?,3.8,8.1,12.0,59.6,13.5,?,0.6,0.6,?,72.0,15.4,3.0,0.5,0.1,30.4,43.5,?,0.7,?,2.3,?,?,?,?,51.8,33.8,?,90.9,6.0,?,?,1.2,0.4,84.3,?,15.5,9.3,?,4.1,1.8,41.8,0.7,?,5.0,10.7,80.1,?,16.0,13.6,44.0,42.5,55.8,?,18.4,0.0,0.6,15.2,?,?,?,0.1,89.5,?,?,10.4,?,3.0,0.1,53.9,67.3,54.6,2.0,3.9,?,?,?,10.1,5.9,?,1.7,?,86.2,8.9,1.8,?,0.2,3.1,?,51.6,?,3.8,97.3,50.8,?,?,2.7,?
2,63.6,33.8,?,?,?,33.2,2.4,1.9,?,?,0.2,4.6,0.3,?,?,?,0.4,?,5.0,?,0.4,0.2,7.1,0.2,1.4,0.2,?,?,?,?,17.1,?,1.6,1.0,?,?,0.0,2.7,10.2,21.4,?,?,6.7,15.7,?,2.7,?,?,?,?,10.5,98.0,1.6,0.5,10.7,?,15.3,3.7,0.7,0.1,58.1,29.4,0.2,?,3.8,4.1,?,3.2,0.7,0.4,?,?,5.4,97.9,1.7,0.1,?,0.0,?,90.4,?,?,?,?,1.0,9.8,15.6,1.7,?,?,5.4,89.0,3.4,?,?,?,23.9,?,?,7.1,?,2.1,?,?,2.0,0.2,0.2,95.8,?,4.7,4.0,3.3,?,0.2,77.2,73.3,?,?,6.8,?,78.6,?,15.7,?,11.1,5.0,3.0,87.9,?,?,?,0.4,1.5,100.0,63.6,33.8,2.6,98.1,62.5,33.2,2.4,?,?
?,?,?,?,?,?,?,2.0,1.4,?,?,0.0,97.3,0.1,0.1,0.0,0.0,?,0.6,?,?,0.2,0.1,59.0,0.7,25.9,12.7,?,?,?,1.2,?,1.3,0.7,?,6.7,0.1,0.7,7.4,19.8,22.6,?,13.8,8.0,9.9,8.0,6.8,9.8,18.4,17.9,?,10.3,95.3,?,?,?,59.3,?,4.1,?,0.2,?,18.5,0.5,0.4,27.5,?,4.0,?,0.1,?,10.5,55.7,33.8,76.3,?,18.0,0.1,0.3,?,88.1,1.7,1.3,?,65.8,?,0.0,10.4,0.1,11.9,1.0,?,36.0,4.5,59.5,?,7.7,88.6,?,0.4,?,0.1,1.1,?,?,?,0.0,?,95.9,?,?,3.9,0.9,?,?,85.2,?,55.5,1.5,5.2,14.8,23.3,?,3.0,5.6,16.5,?,?,0.9,?,59.7,59.4,0.3,?,100.0,46.4,51.5,2.1,98.6,45.8,?,2.0,1.4,0.6
1,?,52.4,?,98.7,?,?,?,1.3,?,?,0.0,95.8,0.2,0.2,0.1,0.1,?,0.8,1.5,1.1,0.5,0.2,?,?,?,9.8,?,0.1,0.2,0.8,81.6,1.3,0.6,0.3,15.5,?,0.5,7.3,19.3,21.1,17.9,?,8.2,11.6,7.8,7.1,?,21.3,?,?,8.5,?,4.3,?,17.8,61.3,16.8,?,0.4,?,9.5,?,0.5,?,28.2,0.6,?,?,0.3,?,14.6,52.8,?,?,?,12.7,0.1,0.3,0.4,90.4,2.6,2.1,?,67.9,4.2,?,9.8,?,9.6,?,8.6,?,?,50.4,8.8,?,?,?,0.3,9.3,?,?,65.7,?,?,?,0.2,96.9,87.1,?,2.9,0.8,?,?,87.3,?,65.4,2.8,7.6,12.7,30.5,?,2.9,?,?,4.7,?,1.2,30.2,?,66.9,0.5,?,100.0,?,?,1.8,98.7,45.1,51.8,1.8,1.3,?
2,?,?,1.1,98.7,?,?,?,1.3,0.9,0.4,0.0,?,0.4,?,0.1,0.2,?,?,3.9,?,1.1,?,89.7,?,4.8,3.1,?,0.2,0.5,0.0,?,?,?,?,36.3,?,0.1,?,18.2,17.4,?,?,8.7,15.6,7.5,8.0,14.1,?,?,18.8,?,88.6,9.0,2.4,?,66.1,12.4,2.0,0.3,0.1,22.5,?,0.6,0.1,?,?,0.7,?,0.6,?,24.2,45.9,?,98.9,0.4,0.4,?,0.1,?,95.8,4.8,?,1.0,?,3.4,0.8,8.4,0.2,?,?,3.0,66.8,?,?,20.7,?,?,?,?,0.4,0.0,?,?,?,0.0,?,0.2,?,96.8,2.4,0.6,0.5,?,0.2,92.3,80.4,88.8,5.9,?,7.9,?,37.3,?,?,?,?,2.0,1.7,11.6,85.9,84.8,1.1,0.8,100.0,?,?,1.1,98.7,43.4,54.2,?,1.3,?
0,23.2,73.3,3.5,96.4,22.7,70.5,3.1,?,?,?,0.4,?,0.0,0.1,0.0,?,0.2,2.4,0.0,0.1,0.1,0.0,?,0.1,45.3,12.2,0.0,0.1,?,?,?,2.6,0.0,0.0,1.6,0.1,?,2.1,?,30.8,?,14.2,6.7,8.9,2.9,3.5,4.4,?,12.6,39.2,29.0,97.5,1.8,0.7,?,57.8,22.8,?,1.8,0.5,8.4,52.8,0.5,0.0,?,0.1,?,?,1.1,4.0,?,?,39.5,?,3.3,?,0.1,?,0.2,?,?,1.4,52.9,1.0,9.9,0.2,?,0.2,3.2,?,2.7,59.8,2.0,?,9.0,19.6,71.4,75.8,?,10.5,0.0,0.3,9.7,?,?,?,0.1,97.6,89.0,?,2.4,0.6,?,?,75.5,?,39.0,0.9,3.7,?,?,10.0,2.6,?,8.8,0.8,22.1,2.5,?,42.1,?,0.1,0.1,?,?,?,3.5,?,22.7,70.5,3.1,3.6,0.5
1,?,?,3.2,?,23.8,70.1,2.8,3.3,0.5,?,0.3,92.6,0.0,0.1,?,?,0.3,6.5,?,0.1,0.2,?,41.7,0.1,45.5,12.1,?,?,?,0.0,?,2.6,0.0,?,?,0.0,0.0,?,17.6,28.6,?,13.6,?,9.8,3.8,4.6,?,?,12.9,37.5,26.7,?,7.8,0.8,?,56.9,21.1,?,1.7,?,10.6,48.5,0.5,0.0,18.0,?,1.8,14.5,1.1,?,10.8,50.6,38.6,86.9,2.9,9.9,0.1,0.0,?,?,2.8,6.0,52.8,?,8.4,?,25.5,?,3.1,0.4,2.6,63.5,?,34.7,13.8,19.3,66.9,69.0,0.8,?,0.0,0.8,18.0,?,?,?,0.1,97.5,87.5,?,?,?,1.6,0.1,?,59.8,44.0,1.3,?,?,?,?,2.7,?,?,1.4,19.4,?,?,39.5,?,0.2,0.2,100.0,?,72.6,?,?,23.8,70.1,?,3.3,0.5
?,30.0,?,?,?,?,?,?,?,?,?,0.0,?,?,?,0.0,0.1,1.3,?,1.0,0.4,?,?,?,0.0,?,?,?,0.6,?,0.2,?,?,?,?,?,0.0,0.0,4.0,?,?,?,?,6.9,?,8.7,10.5,?,?,?,?,?,57.6,41.0,1.4,?,?,11.6,3.7,?,?,22.7,24.7,?,?,?,0.2,0.0,1.5,1.0,10.7,30.1,36.0,33.9,?,0.4,0.0,?,0.0,?,97.5,10.8,?,?,?,0.0,?,1.8,?,?,0.1,2.4,?,?,15.5,40.9,17.4,?,31.2,0.3,0.1,0.0,?,64.4,?,?,?,0.2,96.9,79.1,?,?,?,?,0.2,87.6,66.7,71.6,3.5,7.3,1.8,73.1,13.8,?,?,?,?,4.7,?,?,25.0,?,?,0.5,?,30.0,68.8,1.2,98.7,29.8,?,?,1.3,0.2
?,38.0,59.5,2.4,85.2,?,?,?,14.8,3.3,?,0.3,?,0.1,?,0.3,0.1,0.6,9.8,?,0.2,0.1,?,?,0.2,66.6,?,0.0,5.7,?,0.1,81.8,?,0.1,?,?,0.2,0.0,?,24.1,42.7,20.8,?,1.7,?,1.6,8.4,?,?,20.1,?,?,99.0,0.6,?,8.1,?,10.4,1.3,?,0.0,?,?,4.8,20.6,4.4,?,?,1.6,0.3,6.5,?,?,?,?,23.5,0.3,?,?,5.5,?,1.1,9.6,1.3,?,0.1,0.3,0.1,0.6,86.3,?,?,?,3.9,?,?,7.1,?,?,5.8,0.7,0.1,?,?,?,0.5,?,0.1,?,?,37.5,12.1,7.4,?,?,67.0,?,13.3,0.3,?,1.8,?,2.0,0.6,?,?,0.1,39.5,?,72.3,2.7,2.6,0.1,?,?,?,?,2.4,85.2,34.7,48.4,2.1,?,3.3
?,?,?,2.3,86.3,37.7,?,?,?,?,?,0.3,?,0.1,0.1,0.3,?,?,9.6,19.1,0.2,?,0.0,3.0,?,?,22.4,?,11.0,?,0.2,76.8,?,?,?,?,0.5,?,1.1,23.1,42.0,?,?,2.0,1.5,1.7,8.4,12.0,17.8,20.3,?,4.4,?,0.9,0.5,8.4,?,?,1.3,0.1,0.0,?,33.0,?,19.9,4.3,?,?,1.5,?,?,19.2,?,?,70.8,?,?,?,1.9,?,18.7,?,12.9,1.3,0.5,0.1,?,?,?,?,?,?,18.4,3.8,77.7,?,11.7,?,77.9,?,?,?,?,14.8,?,?,?,0.1,?,53.3,?,?,7.0,?,0.1,69.0,?,?,0.4,3.4,2.1,?,3.0,?,2.7,1.9,0.3,37.1,29.1,67.9,2.7,?,?,0.3,?,40.8,56.9,2.3,86.3,37.7,?,?,?,3.1
2,71.8,?,0.8,99.3,71.4,27.1,?,0.7,?,?,0.1,17.2,0.1,0.2,0.2,?,?,7.9,73.3,0.2,0.2,0.1,5.5,?,?,8.7,?,?,?,?,20.3,0.0,0.1,?,?,?,?,?,11.7,34.2,29.0,14.0,5.1,?,3.4,8.4,13.2,24.1,22.7,25.3,2.8,?,?,?,11.2,77.5,?,?,?,?,65.5,14.4,?,12.0,3.0,0.6,1.2,0.3,0.6,1.1,72.0,?,14.5,?,?,0.0,0.1,0.0,1.5,?,20.8,?,1.7,0.1,?,1.1,0.2,0.6,?,0.4,?,74.2,3.3,22.5,16.2,?,20.0,?,?,?,0.0,2.5,76.6,?,0.7,?,?,?,88.3,?,?,?,?,?,?,?,?,?,4.2,?,50.4,14.1,4.9,14.2,8.7,2.3,10.7,78.8,17.6,2.8,2.6,?,?,?,71.8,27.3,?,99.3,71.4,?,0.7,?,0.4
0,44.4,?,?,?,41.5,?,2.3,?,?,5.9,?,69.7,0.1,?,0.1,0.3,0.5,2.3,?,0.1,0.3,?,2.0,0.4,51.7,25.2,0.0,?,1.6,?,?,0.1,0.3,?,26.9,0.5,?,3.1,?,36.0,16.9,7.8,1.9,?,?,10.6,14.7,?,20.9,?,2.6,?,?,?,?,84.2,?,0.5,0.0,0.0,12.9,15.9,8.8,15.3,5.2,0.2,31.5,1.7,?,?,11.5,34.4,?,76.2,18.4,0.3,0.3,1.0,?,10.2,0.9,7.5,0.8,0.6,?,0.1,0.1,0.1,89.8,?,88.5,10.5,3.6,86.0,1.8,6.5,?,80.5,3.0,0.3,?,0.1,15.3,0.0,0.6,0.0,?,70.0,42.5,27.5,?,?,11.1,0.1,63.4,38.6,?,0.3,4.1,1.9,?,1.9,1.3,4.6,?,?,32.0,29.5,?,?,2.0,?,0.3,100.0,?,52.9,?,?,41.5,?,2.3,9.2,3.0
1,46.4,51.0,?,?,43.5,?,?,?,2.8,5.6,0.3,66.2,0.1,0.1,?,0.3,?,?,30.2,0.1,0.4,?,1.9,?,49.0,?,0.0,22.4,1.6,?,68.4,?,?,0.3,30.1,0.8,?,3.0,?,35.8,17.4,8.1,?,?,?,10.3,?,?,21.1,28.8,?,97.9,?,0.7,?,83.7,6.6,0.6,0.0,0.0,?,?,8.4,14.5,5.2,?,?,1.8,0.4,?,15.2,33.1,51.7,77.4,?,?,0.3,1.0,3.6,14.3,2.0,9.8,1.0,0.6,?,?,?,0.2,85.7,1.4,84.3,14.5,?,?,2.6,10.0,?,?,2.8,0.2,0.0,0.3,19.3,0.0,0.6,?,0.1,71.5,45.2,26.3,28.4,17.8,10.6,0.1,?,38.7,27.6,0.5,?,2.1,48.4,?,1.8,5.9,2.5,0.7,30.5,33.0,64.4,2.2,1.9,?,?,?,46.4,51.0,?,91.3,43.5,45.4,?,?,2.8
?,?,18.6,1.7,98.6,?,17.9,1.7,1.4,?,0.7,?,5.6,0.6,0.0,0.2,0.2,?,1.1,91.9,0.1,0.5,0.1,0.9,?,?,?,0.0,87.2,2.5,0.1,?,?,0.2,1.7,83.9,7.0,0.2,2.4,16.4,31.8,24.8,14.1,?,?,2.8,6.1,?,25.2,24.0,?,4.6,84.8,?,?,11.9,75.0,10.3,2.4,0.2,0.1,78.1,?,0.3,?,6.0,0.1,2.3,2.7,?,0.6,78.1,10.4,11.5,?,1.4,0.2,0.0,0.0,0.3,85.5,20.3,?,?,0.2,0.1,10.3,?,0.5,14.5,2.0,12.5,?,?,11.3,16.7,?,?,7.9,?,0.1,0.0,?,88.4,0.1,0.1,?,0.1,?,92.0,5.5,?,1.1,1.2,0.1,?,?,?,?,10.3,?,?,11.6,?,?,?,?,?,93.1,?,1.1,?,0.6,0.2,100.0,79.7,18.6,1.7,98.6,?,17.9,1.7,?,0.6
0,59.8,36.7,?,?,59.0,35.3,?,2.4,?,?,0.1,?,?,0.3,?,0.4,?,?,49.7,?,1.0,0.0,20.1,0.1,14.7,9.2,?,?,?,0.2,?,0.1,0.2,?,?,2.3,?,3.2,30.5,29.9,19.4,10.3,4.0,?,2.1,6.5,10.8,21.7,23.2,28.9,6.8,?,0.9,?,?,74.1,?,3.0,?,0.1,?,12.3,0.6,?,22.5,2.8,8.9,?,?,5.5,36.9,?,28.6,?,7.2,0.1,0.1,0.1,?,?,?,?,0.5,1.5,0.1,0.1,0.0,?,85.8,1.6,?,17.1,16.0,?,2.8,27.2,?,?,1.0,0.2,0.0,?,20.4,0.0,?,?,?,77.5,63.6,13.9,22.2,16.3,6.0,?,75.6,?,51.7,0.7,3.2,2.4,66.4,5.0,?,15.7,?,1.1,17.3,57.9,27.1,?,13.7,0.9,0.4,?,59.8,?,3.5,97.6,?,35.3,?,2.4,?
?,61.3,?,3.4,?,60.6,34.0,?,?,?,1.3,0.1,31.0,?,?,0.4,0.3,?,?,55.2,0.2,?,0.0,?,?,?,7.9,?,?,?,?,54.7,0.1,0.2,?,39.9,3.0,0.2,2.8,29.4,29.7,?,10.9,?,3.0,?,6.3,10.9,?,?,?,6.6,97.5,1.8,0.6,8.6,74.0,13.5,?,0.6,0.1,?,?,0.7,7.3,?,2.9,?,?,?,4.7,44.1,31.1,24.8,?,6.3,0.1,?,0.1,0.7,22.1,2.2,16.0,1.4,1.6,?,0.6,0.0,?,77.9,?,76.5,?,16.0,59.8,5.2,?,?,?,?,0.2,?,?,?,0.1,?,?,0.2,80.0,65.9,14.1,19.8,?,5.5,0.2,?,?,?,1.2,4.0,?,66.4,6.5,?,19.5,?,2.3,?,?,23.9,?,?,?,?,100.0,?,35.3,?,97.9,60.6,34.0,?,2.1,?
?,?,27.0,3.1,99.1,69.3,26.7,?,0.9,0.6,?,?,7.6,?,?,?,?,?,3.7,87.0,?,0.5,0.0,5.2,0.0,0.5,0.5,0.0,?,?,0.1,17.5,?,0.2,?,69.4,7.5,?,0.8,22.9,28.3,?,14.4,5.9,5.1,1.9,?,11.5,27.7,?,?,5.7,91.4,?,1.1,9.1,73.5,?,3.4,?,0.1,61.5,5.1,0.8,0.2,28.5,?,?,0.0,?,?,85.6,11.3,?,99.1,0.7,0.0,?,0.0,?,67.1,?,?,6.4,?,0.2,3.5,0.0,?,32.9,?,32.5,65.0,15.8,?,18.8,60.4,20.8,?,?,?,?,3.1,70.3,0.5,?,0.0,0.3,?,?,15.1,5.6,2.9,2.7,?,?,22.3,85.8,?,?,3.6,66.0,?,?,41.4,11.8,9.1,?,?,5.3,4.2,3.7,?,0.3,?,69.9,27.0,3.1,99.1,69.3,?,3.1,0.9,0.6
