@relation dataset

@attribute class {1, 2, 3}
@attribute Alcohol real
@attribute Malic_acid real
@attribute Ash real
@attribute Alcalinity_of_ash real
@attribute Magnesium real
@attribute Total_phenols real
@attribute Flavanoids real
@attribute Nonflavanoid_phenols real
@attribute Proanthocyanins real
@attribute Color_intensity real
@attribute Hue real
@attribute OD280_OD315_of_diluted_wines real
@attribute Proline real


@data

1,14.23,1.71,2.43,15.6,127.0,2.8,3.06,0.28,?,5.64,1.04,3.92,1065.0
?,?,1.78,?,11.2,100.0,2.65,2.76,?,1.28,4.38,1.05,3.4,1050.0
?,13.16,?,2.67,18.6,101.0,2.8,?,0.3,2.81,?,?,?,1185.0
?,14.37,1.95,2.5,16.8,113.0,3.85,3.49,0.24,2.18,7.8,0.86,?,1480.0
1,?,2.59,2.87,?,118.0,2.8,2.69,0.39,1.82,4.32,1.04,2.93,?
1,?,1.76,2.45,?,112.0,3.27,?,?,1.97,6.75,1.05,2.85,1450.0
?,14.39,?,?,?,?,2.5,2.52,?,1.98,?,1.02,3.58,1290.0
1,14.06,2.15,2.61,?,121.0,?,?,0.31,1.25,5.05,1.06,3.58,1295.0
?,14.83,?,2.17,14.0,97.0,2.8,2.98,0.29,1.98,?,1.08,2.85,1045.0
1,?,1.35,2.27,?,98.0,?,3.15,?,1.85,7.22,?,3.55,1045.0
?,14.1,2.16,2.3,18.0,?,2.95,3.32,0.22,2.38,?,1.25,?,?
?,?,1.48,?,?,?,?,?,0.26,1.57,5.0,1.17,2.82,1280.0
?,13.75,1.73,2.41,16.0,?,2.6,2.76,?,1.81,5.6,?,2.9,?
?,14.75,1.73,2.39,11.4,91.0,3.1,3.69,?,2.81,5.4,?,2.73,1150.0
?,?,1.87,2.38,?,?,3.3,?,0.29,?,?,1.2,3.0,1547.0
1,?,1.81,?,17.2,?,2.85,?,0.3,1.46,7.3,1.28,?,?
?,?,?,?,?,120.0,?,?,?,1.97,?,?,2.65,1280.0
1,13.83,1.57,2.62,20.0,115.0,?,?,?,1.72,?,?,2.57,?
?,14.19,?,2.48,?,108.0,3.3,3.93,0.32,1.86,8.7,?,2.82,1680.0
1,13.64,3.1,2.56,15.2,?,?,3.03,0.17,1.66,?,0.96,3.36,845.0
?,14.06,1.63,2.28,?,126.0,3.0,?,?,2.1,5.65,?,3.71,780.0
1,12.93,?,2.65,18.6,102.0,2.41,2.41,?,?,?,1.03,3.52,770.0
1,?,1.86,?,16.6,?,2.61,2.88,0.27,?,3.8,?,?,?
