@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {0, 1}


@data

3.919,?,0.0,?,0.0,0.0,?,31.4,2.0,0.0,?,0.0,?,?,?,0.0,0.96,1.142,0.0,?,?,?,?,0.0,0.0,1.932,?,0.0,?,4.489,0.0,0.0,0.0,?,2.949,?,?,?,0.0,0.0,1
4.17,2.1144,0.0,?,0.0,0.0,?,?,?,1.0,0.0,0.0,2.461,1.393,8.723,?,0.989,1.144,?,0.0,1.104,1.0,0.0,?,?,2.214,?,0.0,?,1.542,0.0,?,0.0,0.0,?,1.967,0.0,?,?,0.0,?
3.932,3.2512,0.0,?,0.0,?,?,?,?,4.0,0.0,0.0,?,2.585,9.11,0.0,1.009,1.152,0.0,0.0,?,0.0,?,?,0.0,1.942,?,0.0,0.0,?,0.0,0.0,?,1.0,3.076,2.417,?,7.601,0.0,0.0,1
3.0,2.7098,0.0,0.0,0.0,0.0,0.0,?,?,2.0,?,0.0,2.1,0.918,?,0.0,1.108,1.167,?,?,?,0.0,0.0,0.0,0.0,1.414,?,?,8.361,1.333,?,0.0,?,1.0,3.046,?,?,6.69,0.0,0.0,1
4.236,?,0.0,?,0.0,0.0,0.0,?,2.0,4.0,?,-0.271,3.449,2.753,9.528,2.0,1.004,?,?,0.0,?,0.0,?,0.0,0.0,1.985,-0.002,0.0,10.348,5.588,0.0,?,?,0.0,3.351,2.405,0.0,?,0.0,0.0,1
4.236,3.4286,0.0,?,0.0,?,?,?,2.0,4.0,?,-0.275,3.313,2.522,9.383,1.0,?,?,0.0,0.0,1.119,0.0,?,0.0,?,?,-0.008,?,10.276,4.746,0.0,0.0,0.0,?,?,2.556,0.0,7.904,0.0,?,1
5.0,5.0476,1.0,0.0,?,0.0,?,11.1,0.0,?,0.0,0.0,2.872,0.722,?,?,?,?,0.0,0.0,?,?,0.0,?,0.0,2.0,0.446,0.0,?,0.8,0.0,?,?,1.0,4.712,?,0.0,?,?,0.0,?
?,3.8301,0.0,0.0,0.0,0.0,?,31.6,?,2.0,0.0,?,?,?,9.786,5.0,?,?,?,?,?,?,?,0.0,0.0,2.119,-0.002,0.0,?,?,0.0,?,0.0,0.0,?,?,0.0,?,0.0,0.0,1
?,3.0777,0.0,0.0,?,?,?,44.4,?,0.0,0.0,?,?,0.875,9.54,0.0,?,?,?,?,?,?,0.0,0.0,0.0,2.175,0.041,0.0,?,1.069,0.0,0.0,0.0,?,3.626,1.917,?,?,0.0,?,?
?,?,?,?,?,?,2.0,?,?,4.0,3.0,-1.29,3.483,?,10.159,8.0,1.069,1.127,?,0.0,?,1.0,0.0,0.0,0.0,2.323,0.005,0.0,?,1.711,0.0,?,2.0,?,3.888,3.5,1.0,8.706,0.0,?,1
4.91,?,0.0,0.0,0.0,0.0,?,?,0.0,2.0,?,-0.302,3.364,0.629,?,5.0,?,1.098,?,0.0,1.279,3.0,?,0.0,0.0,2.333,?,0.0,10.717,1.207,0.0,1.0,?,?,?,?,0.0,8.427,0.0,?,1
3.618,?,0.0,?,?,0.0,0.0,29.4,2.0,?,0.0,?,?,1.522,7.853,?,?,1.147,0.0,0.0,1.178,0.0,0.0,0.0,0.0,1.732,?,?,0.0,?,?,0.0,0.0,0.0,2.794,1.7,?,6.333,?,?,?
4.214,?,0.0,?,0.0,?,?,30.0,3.0,0.0,0.0,0.0,?,1.459,8.755,0.0,0.959,?,0.0,?,?,?,0.0,?,0.0,1.902,-0.181,?,0.0,2.052,?,?,0.0,?,2.998,?,?,6.77,0.0,?,1
3.732,?,?,?,0.0,?,?,30.0,?,0.0,?,0.0,?,1.585,8.16,0.0,0.959,1.145,0.0,0.0,1.196,0.0,?,?,0.0,?,?,0.0,?,2.488,0.0,0.0,0.0,?,?,1.667,?,?,0.0,0.0,1
3.879,?,?,0.0,?,?,0.0,31.0,2.0,?,0.0,?,2.908,2.281,8.743,0.0,?,?,?,0.0,1.202,0.0,0.0,0.0,?,?,0.036,0.0,0.0,3.685,0.0,?,?,?,?,?,?,7.029,0.0,0.0,1
3.942,2.7719,?,0.0,?,?,0.0,?,?,?,?,0.0,?,?,?,?,0.969,1.141,0.0,?,1.22,0.0,0.0,1.0,?,1.95,0.003,0.0,?,5.294,?,0.0,?,0.0,?,?,?,8.127,?,1.0,1
?,?,1.0,0.0,?,0.0,0.0,32.0,2.0,?,0.0,0.0,4.075,?,9.522,?,?,?,?,0.0,1.243,0.0,1.0,?,0.0,1.97,0.0,1.0,0.0,6.909,0.0,0.0,?,?,6.866,1.603,?,11.578,0.0,1.0,1
3.732,?,?,?,1.0,0.0,0.0,26.3,2.0,0.0,1.0,?,2.532,?,8.16,?,0.969,1.157,?,?,1.152,?,?,?,?,?,?,?,0.0,2.488,0.0,0.0,1.0,?,2.858,2.0,?,?,0.0,0.0,1
4.0,2.6264,?,0.0,0.0,?,?,23.1,0.0,0.0,0.0,0.0,?,0.811,8.318,0.0,0.972,1.166,0.0,?,?,0.0,0.0,?,0.0,1.732,?,0.0,0.0,1.0,0.0,0.0,?,0.0,2.991,?,1.0,6.579,0.0,?,?
2.0,?,0.0,0.0,0.0,?,?,16.7,1.0,1.0,?,?,1.549,?,?,0.0,?,1.173,0.0,0.0,?,0.0,?,0.0,?,1.0,-1.099,0.0,0.0,1.0,0.0,?,0.0,1.0,2.279,4.0,?,4.948,0.0,?,1
