@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

?,vhigh,?,?,?,low,unacc
?,?,2,2,small,?,?
vhigh,vhigh,2,2,small,high,unacc
vhigh,?,?,?,med,low,unacc
vhigh,?,?,2,?,med,unacc
?,vhigh,2,2,med,high,unacc
vhigh,vhigh,?,?,big,?,unacc
?,vhigh,2,2,big,med,unacc
vhigh,vhigh,?,?,big,high,?
vhigh,vhigh,2,4,small,low,?
vhigh,vhigh,?,4,small,med,unacc
vhigh,vhigh,?,4,?,high,unacc
vhigh,?,2,?,med,?,unacc
?,?,2,?,med,med,unacc
vhigh,?,2,?,med,high,unacc
?,?,2,?,big,?,unacc
?,?,2,4,?,med,unacc
?,vhigh,2,4,big,high,?
?,?,?,?,small,?,unacc
vhigh,vhigh,?,more,?,med,?
vhigh,vhigh,2,more,?,?,?
?,vhigh,2,?,med,?,?
?,vhigh,?,?,med,med,?
vhigh,vhigh,?,more,med,high,unacc
?,vhigh,2,more,big,low,unacc
vhigh,?,2,more,big,med,unacc
vhigh,vhigh,2,?,big,high,unacc
?,vhigh,3,?,small,low,unacc
vhigh,vhigh,?,?,small,med,unacc
?,?,3,?,small,high,unacc
vhigh,vhigh,?,2,med,?,?
?,?,?,2,med,?,?
?,?,3,2,?,high,unacc
vhigh,?,?,?,?,low,unacc
vhigh,?,3,?,big,med,unacc
vhigh,vhigh,3,2,big,high,unacc
vhigh,vhigh,3,?,?,?,unacc
?,vhigh,3,?,?,med,unacc
vhigh,vhigh,?,?,small,high,unacc
?,vhigh,3,?,?,?,?
vhigh,?,3,4,med,med,unacc
?,vhigh,3,4,?,high,unacc
?,?,?,4,big,?,?
?,vhigh,3,4,?,med,?
?,?,?,4,big,high,?
vhigh,vhigh,3,?,?,?,unacc
?,?,3,more,small,?,?
?,vhigh,3,more,?,high,unacc
vhigh,vhigh,3,more,?,low,?
vhigh,?,?,?,med,med,unacc
?,vhigh,?,?,med,high,unacc
vhigh,vhigh,?,more,big,low,?
?,?,3,more,big,?,unacc
vhigh,?,3,more,?,high,unacc
?,vhigh,4,2,small,low,?
vhigh,vhigh,4,?,?,med,unacc
vhigh,vhigh,?,?,small,?,?
?,?,?,?,?,?,unacc
vhigh,vhigh,?,2,?,?,?
?,vhigh,?,?,med,?,?
vhigh,vhigh,4,2,big,low,unacc
?,?,4,?,big,med,?
?,vhigh,?,2,?,high,unacc
?,vhigh,?,4,small,low,unacc
vhigh,?,4,4,?,?,?
vhigh,vhigh,?,4,?,high,unacc
?,?,4,?,?,low,?
?,vhigh,4,4,med,?,?
?,vhigh,4,4,?,high,unacc
?,?,?,4,?,?,unacc
vhigh,?,4,4,big,med,unacc
vhigh,vhigh,4,?,?,high,unacc
?,vhigh,?,more,?,?,?
vhigh,vhigh,4,?,small,med,unacc
?,vhigh,4,?,small,high,unacc
vhigh,vhigh,?,?,med,?,unacc
?,vhigh,4,more,?,?,unacc
vhigh,vhigh,4,?,med,?,unacc
vhigh,?,4,?,?,low,unacc
vhigh,vhigh,?,more,?,?,unacc
vhigh,?,?,?,?,?,unacc
?,vhigh,?,2,small,low,?
?,?,?,?,small,med,?
vhigh,vhigh,?,?,?,high,?
vhigh,?,5more,?,med,low,unacc
?,vhigh,5more,2,?,?,?
vhigh,vhigh,?,2,med,high,unacc
?,vhigh,?,?,big,low,unacc
?,vhigh,?,2,?,med,?
vhigh,vhigh,?,2,big,high,unacc
?,vhigh,5more,4,?,low,?
?,?,5more,?,?,?,unacc
vhigh,vhigh,5more,4,small,high,unacc
vhigh,vhigh,?,4,?,?,unacc
vhigh,?,?,?,med,med,?
vhigh,?,5more,4,med,high,?
?,?,?,4,big,?,unacc
?,?,5more,?,?,med,?
vhigh,vhigh,?,4,?,high,?
?,vhigh,5more,more,small,?,unacc
vhigh,?,5more,?,?,med,unacc
vhigh,?,5more,more,small,high,unacc
?,?,5more,more,med,?,unacc
vhigh,vhigh,5more,more,med,med,unacc
?,?,?,more,med,high,?
vhigh,?,5more,?,big,?,?
