@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {0, 1, 2, 3, 4, 5, 6}


@data

1.51793,12.79,?,?,73.03,0.64,8.77,?,0.0,0
?,12.16,?,1.35,72.89,0.57,?,0.0,?,2
1.51793,13.21,?,?,72.64,?,8.43,0.0,0.0,?
1.51299,?,1.74,?,74.55,?,7.59,0.0,0.0,5
?,?,?,?,?,?,16.19,?,0.24,1
?,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,1
?,13.64,?,0.65,?,?,8.93,0.0,0.0,2
1.51837,?,?,?,72.85,?,?,0.0,?,?
?,14.14,?,2.68,?,?,9.07,0.61,?,6
?,13.19,3.9,?,?,?,?,0.0,?,?
?,13.36,3.58,?,?,?,?,?,0.0,1
1.51743,?,?,1.16,73.55,0.62,?,0.0,0.24,1
?,?,3.77,?,?,?,?,?,0.0,0
1.52121,14.03,3.76,0.58,71.79,?,?,?,0.0,2
?,13.14,3.45,?,?,?,?,?,?,?
?,?,?,?,?,?,?,0.0,0.0,1
?,14.75,?,2.0,?,0.0,?,?,0.08,?
?,12.71,3.33,?,?,?,8.24,0.0,?,?
1.51994,?,0.0,1.76,73.03,?,11.32,0.0,?,?
1.51811,?,2.96,?,72.92,0.6,?,0.14,?,1
?,?,3.65,?,72.22,0.19,?,0.0,0.17,?
?,?,?,1.88,?,?,?,?,0.34,?
?,?,?,?,?,0.64,8.96,?,?,?
1.51754,?,?,?,?,?,?,?,?,0
?,?,1.61,?,?,?,?,?,?,?
1.51569,?,?,?,73.25,?,?,?,0.0,?
?,?,3.52,1.9,?,?,7.97,?,?,?
?,?,?,1.98,73.29,?,?,?,0.07,?
?,?,3.54,?,?,?,?,?,?,?
?,?,?,?,72.67,?,?,0.0,?,2
1.51674,?,3.56,?,73.14,0.65,?,?,?,?
1.51832,13.33,3.34,?,72.14,?,8.99,?,?,?
?,?,?,?,75.41,0.0,6.65,?,0.0,5
?,13.44,3.61,1.54,?,?,?,0.0,?,1
1.51755,?,3.6,?,?,0.57,8.4,0.0,?,0
?,12.72,?,?,73.2,?,8.09,0.0,0.24,0
?,?,3.61,1.62,?,?,?,?,0.26,?
?,?,?,1.63,?,?,9.23,?,?,?
?,?,3.51,?,73.01,0.68,8.23,?,0.25,1
?,?,?,?,?,1.1,7.08,0.0,?,?
?,?,3.48,1.35,?,?,8.68,0.0,?,?
?,?,?,1.08,?,?,?,?,?,?
1.51627,?,?,?,72.83,?,8.04,0.0,?,1
?,?,3.34,?,?,0.39,?,0.0,?,1
?,13.64,3.54,?,?,0.16,8.89,?,0.24,2
?,12.71,?,?,?,?,8.64,?,?,?
1.51514,?,?,3.5,69.89,?,?,?,0.0,4
?,?,?,?,72.61,0.57,?,?,?,?
1.51784,13.08,3.49,?,?,0.6,?,?,?,0
1.52177,?,3.68,?,72.75,0.54,?,?,?,?
?,?,3.47,?,73.39,0.6,8.55,?,?,?
1.51851,?,?,1.07,?,0.57,8.41,?,?,1
1.51743,?,?,?,?,?,?,?,?,0
1.51593,?,3.59,?,?,0.67,?,0.0,?,1
?,14.37,?,2.74,?,0.0,?,0.54,?,?
?,?,3.54,1.69,?,0.54,?,?,?,?
?,14.86,2.2,?,70.26,?,?,0.0,?,6
1.52099,?,3.59,1.12,?,0.09,?,?,?,0
?,?,3.66,?,?,0.11,?,?,0.0,?
1.51846,13.41,?,?,?,0.51,8.28,?,?,?
1.51848,13.64,3.87,?,71.96,?,8.32,?,?,?
1.51905,?,?,?,72.64,0.14,?,?,?,?
1.51567,?,?,1.21,?,?,?,?,0.0,?
?,14.21,?,?,?,?,9.57,?,?,0
1.5232,13.72,?,?,?,?,?,0.0,0.16,0
?,?,?,2.54,?,?,9.41,0.81,?,?
1.51926,?,3.33,1.28,72.36,0.6,9.14,?,?,?
1.52211,?,3.78,0.91,71.36,?,?,?,?,?
1.53125,?,?,2.1,?,0.58,?,?,?,?
?,13.05,?,0.87,?,0.19,9.85,?,?,0
?,?,?,?,?,?,9.26,?,?,?
?,?,3.83,1.26,72.55,?,?,?,?,?
?,?,?,?,72.5,0.0,?,0.0,?,?
?,13.24,3.9,?,?,?,?,?,0.1,1
?,?,?,0.82,?,0.12,?,0.0,?,?
1.51652,?,3.57,?,?,0.64,?,0.0,?,1
?,12.56,3.52,1.43,?,?,8.54,?,?,?
?,?,3.47,1.12,?,0.62,8.35,?,?,?
?,13.04,3.4,?,?,?,?,?,?,2
?,?,3.48,?,?,?,?,0.0,0.0,?
?,12.8,?,1.27,73.01,?,8.56,0.0,0.0,?
?,?,3.62,?,?,0.55,?,0.0,?,?
?,?,?,?,71.5,?,?,?,?,?
1.51779,?,3.39,?,?,0.59,8.59,?,?,?
1.52171,?,1.88,?,?,?,11.41,?,0.0,4
1.518,13.71,?,?,?,0.54,?,0.0,?,1
?,12.64,?,0.67,72.02,?,?,?,?,1
1.5175,12.82,?,?,72.75,?,8.52,?,0.19,?
1.51764,?,?,1.21,?,?,?,0.0,?,?
1.52177,?,?,1.36,?,?,?,?,0.0,?
1.51645,?,?,?,?,?,?,?,?,6
?,12.73,3.43,?,?,0.62,8.76,?,0.3,0
1.52152,?,?,0.9,?,?,?,0.0,0.16,?
1.51937,13.79,2.41,?,72.76,?,?,0.0,0.0,?
1.51514,14.85,0.0,?,?,0.0,?,?,0.0,6
1.52172,?,?,?,?,?,?,0.0,?,?
1.51732,?,0.0,?,72.99,?,8.61,?,?,6
?,13.98,?,?,?,?,?,0.0,0.18,?
1.51605,?,?,?,73.06,?,?,0.0,?,?
1.51847,?,?,1.19,?,?,?,0.0,0.0,?
?,13.89,?,?,72.73,0.48,7.83,?,?,0
1.51673,13.3,3.64,?,?,?,?,0.0,?,?
?,?,?,?,?,0.31,8.61,1.68,?,?
