@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

?,0.0,0.0,?,1.401,0.632,0.0,0.0,4.33
9.23,?,?,5.799,?,0.486,?,?,7.019
?,11.0,?,?,2.887,0.495,?,0.0,?
9.23,11.0,0.0,4.068,?,0.695,?,?,5.979
?,327.629,?,0.189,4.677,?,0.0,4.0,6.064
9.23,11.0,?,?,2.321,?,?,0.0,7.337
?,0.0,0.0,3.267,2.318,0.963,?,0.0,4.1
0.0,0.0,?,2.067,?,?,?,0.0,?
?,?,0.0,?,?,?,0.0,0.0,?
0.0,?,0.0,3.124,1.8,?,0.0,0.0,4.34
?,?,?,0.817,1.8,1.488,1.0,?,3.93
?,?,0.0,3.122,?,?,?,2.0,?
?,?,?,?,?,?,?,?,?
?,107.097,1.0,?,?,?,1.0,1.0,4.112
?,?,?,?,?,?,0.0,0.0,3.533
0.0,?,0.0,1.115,?,0.588,?,0.0,4.632
?,47.145,?,4.579,?,?,?,?,7.693
?,25.145,0.0,?,1.225,?,0.0,?,?
?,50.29,0.0,?,1.654,?,0.0,?,?
?,103.973,?,?,3.344,?,0.0,?,2.955
?,?,2.0,1.06,?,?,?,?,?
?,155.543,?,?,?,1.456,5.0,?,?
18.46,?,0.0,1.262,2.147,1.576,?,0.0,?
3.24,3.124,0.0,9.148,?,?,1.0,?,?
?,?,1.0,?,?,?,?,?,?
?,41.028,0.0,5.65,4.026,1.575,?,0.0,7.1
?,?,5.0,?,?,1.214,?,0.0,6.424
37.3,67.828,?,?,?,1.166,?,1.0,?
?,3.124,0.0,4.48,?,1.31,?,0.0,5.721
?,?,?,?,3.362,1.373,?,0.0,?
?,0.0,?,?,?,?,?,?,3.718
0.0,14.96,?,?,?,0.722,?,0.0,3.577
?,?,0.0,?,2.557,?,1.0,0.0,?
?,?,1.0,1.587,?,?,?,?,?
86.81,?,3.0,?,?,1.416,2.0,0.0,?
132.42,196.332,?,?,4.984,1.087,?,0.0,5.44
40.46,85.367,2.0,5.255,3.001,0.485,0.0,0.0,4.838
?,0.0,0.0,?,?,?,?,?,6.858
?,?,?,?,?,?,?,?,6.36
40.46,85.367,2.0,?,?,0.917,0.0,?,4.301
?,?,0.0,?,?,?,0.0,0.0,3.772
26.02,?,2.0,2.193,?,?,?,0.0,?
17.07,25.145,0.0,?,?,1.276,?,?,3.061
?,?,0.0,3.267,2.119,?,0.0,0.0,4.867
?,?,?,3.267,2.119,?,?,?,5.373
0.0,?,?,?,2.118,?,?,0.0,?
17.07,25.145,?,?,1.155,1.74,?,0.0,?
?,43.156,?,?,2.438,0.773,1.0,1.0,?
?,?,1.0,?,1.401,?,0.0,1.0,3.17
?,85.367,2.0,?,1.768,?,0.0,0.0,1.22
?,0.0,0.0,?,?,0.826,0.0,?,3.631
?,119.505,?,?,2.847,1.211,?,0.0,?
?,144.177,1.0,2.702,2.626,1.047,2.0,?,?
38.33,?,1.0,?,?,?,?,0.0,6.32
75.27,?,?,0.779,?,?,?,2.0,?
?,?,?,?,?,?,?,0.0,?
87.66,139.995,3.0,?,?,1.339,?,1.0,3.819
?,67.828,?,0.586,?,1.56,?,?,3.16
?,55.448,?,?,?,?,3.0,0.0,?
?,157.656,2.0,?,?,1.189,?,0.0,4.333
?,0.0,?,3.138,1.509,?,?,?,3.87
?,67.828,?,0.996,?,?,0.0,?,3.358
?,?,1.0,?,2.06,1.529,0.0,1.0,?
20.23,42.683,?,?,?,1.596,?,?,?
52.6,?,?,4.737,3.907,?,?,?,?
?,?,?,?,?,?,?,2.0,4.55
?,?,0.0,5.208,?,?,0.0,0.0,?
0.0,?,?,?,?,?,?,0.0,4.34
?,115.445,1.0,?,?,1.517,?,3.0,?
?,?,1.0,5.089,?,1.247,?,?,6.064
?,42.683,1.0,?,2.913,?,?,0.0,6.36
50.24,?,0.0,?,2.789,1.206,?,1.0,?
20.23,?,1.0,1.94,?,1.61,0.0,?,?
122.91,210.537,?,?,?,?,3.0,?,2.626
?,28.269,0.0,2.275,2.445,1.29,?,?,4.474
?,?,?,?,1.84,0.92,1.0,?,5.429
38.33,54.156,1.0,1.737,2.472,?,1.0,0.0,?
?,50.908,?,?,1.909,?,?,?,?
52.6,72.29,?,?,3.197,?,?,?,?
52.6,?,0.0,4.091,?,1.15,?,2.0,5.19
?,11.0,0.0,?,?,?,0.0,?,?
46.15,?,0.0,2.11,?,?,0.0,?,?
?,?,0.0,?,3.136,1.773,0.0,0.0,6.042
?,?,?,3.562,2.281,?,?,0.0,?
?,?,?,?,2.294,?,?,?,4.608
?,6.249,?,2.869,3.095,0.862,2.0,?,?
94.88,149.498,?,?,3.047,?,?,0.0,6.24
20.23,42.683,1.0,0.347,?,1.768,?,?,?
41.57,?,1.0,?,?,1.853,2.0,?,3.25
38.8,0.0,1.0,?,?,1.212,0.0,0.0,6.102
?,?,?,2.06,?,1.088,0.0,0.0,?
?,?,2.0,?,?,?,?,0.0,?
98.61,?,?,2.054,2.891,?,3.0,?,9.14
?,?,?,1.676,1.509,?,?,?,5.308
56.15,?,?,?,1.879,?,?,?,?
?,36.022,2.0,?,?,0.805,?,?,?
62.73,?,2.0,2.273,?,1.254,5.0,?,3.331
86.52,117.437,2.0,?,2.679,?,?,?,?
20.23,42.683,1.0,-0.172,?,1.911,?,0.0,0.59
107.65,?,0.0,4.219,3.945,?,1.0,2.0,?
26.3,?,0.0,?,1.723,?,?,?,?
?,?,0.0,0.787,2.223,?,0.0,2.0,2.899
138.26,86.133,0.0,0.491,?,1.146,0.0,?,8.349
52.6,72.29,0.0,2.577,2.707,1.313,0.0,2.0,?
52.33,62.438,0.0,0.567,2.239,1.542,?,?,?
?,11.0,0.0,0.8,1.509,2.003,?,0.0,?
?,91.775,0.0,2.682,2.903,1.823,1.0,0.0,9.141
?,13.843,0.0,3.089,3.015,0.889,0.0,0.0,6.442
?,54.336,?,2.433,2.915,?,2.0,0.0,?
115.41,?,0.0,?,?,1.295,?,0.0,?
?,37.55,?,?,2.806,1.172,?,?,8.849
?,13.843,?,1.971,?,1.012,0.0,?,?
64.63,?,?,1.651,2.785,1.346,1.0,?,?
21.26,?,?,2.826,?,1.184,?,?,?
?,6.922,?,2.723,?,?,0.0,?,?
38.8,0.0,?,0.845,1.155,1.177,?,0.0,5.562
?,28.269,?,?,?,1.162,1.0,?,?
?,?,?,1.321,2.402,0.988,0.0,?,?
193.91,332.83,?,-0.139,?,?,?,?,?
180.08,?,5.0,?,?,1.597,?,?,?
?,301.147,4.0,?,4.758,1.584,1.0,?,4.602
49.41,71.18,1.0,4.761,?,1.147,2.0,2.0,?
?,?,2.0,2.193,?,0.992,?,?,?
12.89,?,0.0,1.533,2.056,?,1.0,0.0,3.481
77.82,?,4.0,3.048,2.813,0.791,4.0,?,?
?,147.153,2.0,?,3.373,1.175,3.0,1.0,?
23.55,31.394,0.0,?,?,?,?,?,1.601
58.56,75.965,0.0,?,?,1.675,?,0.0,?
?,6.249,?,0.59,1.7,1.19,2.0,0.0,2.232
?,36.022,2.0,-0.273,?,0.876,2.0,0.0,?
?,6.249,0.0,0.454,?,?,?,0.0,?
121.26,6.249,?,?,2.227,?,2.0,0.0,?
140.02,119.209,?,-0.812,?,0.926,?,0.0,?
36.6,20.263,?,?,?,?,3.0,0.0,1.43
?,324.873,7.0,-0.392,3.629,0.863,?,1.0,3.573
?,?,?,?,3.595,0.945,2.0,?,?
3.24,?,?,?,2.048,1.241,?,0.0,?
?,?,?,?,?,?,?,?,?
?,99.4,?,0.658,3.426,?,4.0,0.0,2.685
16.13,?,?,?,?,1.256,2.0,?,4.733
?,?,?,1.146,?,1.232,3.0,?,?
?,6.249,0.0,0.198,?,?,2.0,0.0,?
?,84.184,?,?,?,?,1.0,?,5.76
114.76,56.999,?,-0.755,?,1.033,1.0,1.0,?
?,?,?,-0.463,?,?,?,2.0,5.12
?,118.087,1.0,?,2.355,?,2.0,?,?
75.99,?,?,?,?,1.185,?,0.0,5.551
?,?,?,1.459,?,1.265,1.0,?,?
56.79,?,?,?,2.72,1.346,?,?,?
?,54.156,?,?,?,1.012,1.0,?,?
70.14,?,3.0,?,?,?,?,?,3.979
47.36,?,1.0,0.18,1.627,1.051,?,?,?
?,?,2.0,?,?,1.388,?,?,3.008
?,?,?,?,?,?,?,?,5.79
20.23,?,1.0,-0.814,?,?,0.0,0.0,?
?,?,?,4.096,3.884,1.169,?,1.0,5.742
65.82,?,?,3.692,3.883,?,?,?,6.756
?,?,?,0.16,?,0.833,4.0,?,?
?,108.311,2.0,2.087,?,1.137,?,0.0,?
52.6,72.29,0.0,?,2.468,1.281,0.0,?,3.77
35.53,47.145,0.0,?,?,1.533,?,1.0,?
?,?,0.0,?,2.892,?,1.0,2.0,?
29.54,39.269,0.0,3.026,2.828,?,1.0,1.0,?
29.46,53.683,1.0,-0.081,1.577,?,0.0,0.0,?
?,?,?,0.538,1.952,?,0.0,1.0,?
38.69,?,?,0.224,?,1.904,?,0.0,?
65.57,76.79,1.0,?,?,?,0.0,?,7.699
?,65.67,1.0,?,1.929,1.402,1.0,?,?
87.43,55.411,?,-1.222,1.575,?,?,?,?
?,71.512,0.0,1.919,?,?,?,?,7.671
115.41,71.512,?,1.602,?,?,?,0.0,?
133.44,?,0.0,0.906,3.034,?,?,?,7.858
9.23,?,?,?,?,?,0.0,?,?
29.46,53.683,?,3.028,?,?,0.0,0.0,6.176
?,?,1.0,2.736,2.183,?,0.0,?,5.527
?,112.494,0.0,?,2.661,?,2.0,?,5.636
29.46,53.683,?,2.736,2.187,?,0.0,0.0,?
35.25,43.897,2.0,1.246,2.056,?,?,0.0,?
?,57.28,1.0,?,2.611,1.175,2.0,0.0,?
?,?,?,?,?,1.157,?,0.0,3.594
?,43.897,?,?,2.046,1.081,?,0.0,5.642
29.46,?,1.0,1.246,?,?,?,?,?
?,?,?,?,1.989,?,0.0,?,?
35.25,?,2.0,?,2.031,?,1.0,0.0,?
29.46,?,?,?,?,?,0.0,0.0,3.68
?,?,?,2.195,4.365,?,?,?,5.132
?,20.765,0.0,?,?,1.194,?,?,6.79
88.03,?,?,?,2.93,1.13,?,0.0,?
?,101.265,3.0,2.273,?,1.086,?,0.0,?
0.0,?,0.0,3.562,?,?,0.0,0.0,5.45
0.0,?,0.0,?,1.975,?,?,?,4.53
?,42.683,1.0,2.193,1.975,1.02,?,0.0,4.765
?,?,?,?,1.924,1.063,0.0,0.0,3.524
103.35,?,?,?,?,0.798,1.0,0.0,4.14
0.0,?,?,?,?,1.15,0.0,?,4.317
?,?,0.0,3.21,?,?,?,0.0,?
20.23,?,?,1.859,?,?,?,?,3.71
12.89,?,0.0,2.66,?,?,1.0,0.0,?
0.0,0.0,0.0,?,2.344,?,0.0,?,4.98
28.24,0.0,?,?,2.238,?,0.0,?,?
?,?,0.0,2.942,1.918,?,0.0,0.0,?
26.02,32.897,2.0,1.859,?,?,?,0.0,5.168
20.23,42.683,1.0,1.859,1.918,0.949,0.0,0.0,3.76
?,50.747,0.0,?,2.108,?,?,?,4.04
?,0.0,?,3.677,?,0.868,0.0,0.0,?
0.0,0.0,0.0,?,?,?,0.0,0.0,3.791
?,42.683,1.0,?,?,?,?,?,3.863
84.32,125.108,2.0,?,2.748,?,2.0,1.0,2.359
?,?,0.0,?,?,0.711,?,?,?
?,0.0,?,2.459,?,?,0.0,0.0,?
0.0,0.0,?,1.672,?,?,0.0,0.0,3.28
?,?,?,?,?,0.927,?,?,?
