@relation dataset

@attribute sepallength real
@attribute sepalwidth real
@attribute petallength real
@attribute petalwidth real
@attribute class {0, 1, 2}


@data

?,?,1.4,0.2,?
4.9,?,1.4,0.2,0
4.7,?,?,?,0
?,?,1.5,?,0
5.0,?,?,?,?
5.4,3.9,?,?,0
4.6,?,1.4,?,?
?,?,1.5,?,0
4.4,?,1.4,?,0
?,?,1.5,?,0
?,3.7,1.5,?,?
?,3.4,1.6,?,?
4.8,?,?,?,0
?,?,1.1,?,0
?,4.0,?,?,0
?,?,?,?,?
?,3.9,1.3,?,?
?,?,1.4,?,?
?,3.8,1.7,?,0
5.1,3.8,1.5,0.3,?
5.4,?,?,?,?
5.1,?,?,0.4,?
4.6,3.6,1.0,?,?
?,?,?,?,0
4.8,?,?,?,?
5.0,3.0,?,?,0
?,?,1.6,?,0
?,?,1.5,?,?
?,?,1.4,?,?
?,?,?,0.2,?
?,3.1,?,0.2,?
5.4,?,?,?,0
?,?,1.5,?,?
?,4.2,1.4,0.2,0
?,?,?,0.1,?
?,?,1.2,?,0
5.5,3.5,?,?,0
?,?,1.5,0.1,?
?,3.0,1.3,?,?
?,?,1.5,?,0
5.0,?,1.3,?,0
4.5,?,1.3,?,?
4.4,3.2,?,?,?
5.0,3.5,1.6,0.6,0
5.1,?,?,?,?
?,3.0,?,0.3,?
5.1,?,?,0.2,0
4.6,?,?,0.2,0
5.3,?,?,?,0
5.0,?,?,?,?
?,?,?,1.4,1
6.4,?,4.5,1.5,1
?,3.1,?,?,?
?,?,4.0,?,?
?,2.8,?,1.5,1
5.7,?,?,?,1
?,3.3,4.7,?,?
?,?,?,1.0,1
?,?,4.6,?,1
?,2.7,?,1.4,?
5.0,?,?,?,?
5.9,3.0,?,1.5,?
6.0,2.2,?,?,1
?,?,?,?,1
5.6,2.9,?,?,?
6.7,3.1,?,?,?
?,?,4.5,1.5,?
5.8,?,?,?,1
?,2.2,4.5,1.5,?
?,?,?,1.1,1
5.9,3.2,?,?,1
?,2.8,?,?,?
?,2.5,4.9,?,1
6.1,?,?,?,?
?,?,4.3,?,1
?,3.0,?,1.4,1
6.8,?,4.8,?,?
?,?,5.0,?,?
6.0,2.9,?,?,1
?,2.6,3.5,1.0,1
?,?,?,?,1
5.5,2.4,3.7,?,?
5.8,2.7,3.9,?,1
6.0,2.7,?,?,1
5.4,?,4.5,?,?
?,?,?,?,?
6.7,3.1,?,1.5,?
6.3,?,?,?,?
5.6,?,4.1,1.3,?
?,2.5,4.0,1.3,?
?,2.6,?,1.2,?
?,?,4.6,?,?
5.8,2.6,?,?,1
?,2.3,3.3,?,?
?,?,?,?,?
?,?,?,1.2,?
?,?,?,?,?
?,?,4.3,1.3,1
?,2.5,?,?,?
?,2.8,?,1.3,?
6.3,?,6.0,?,?
?,2.7,5.1,?,2
?,3.0,?,?,?
?,2.9,?,?,?
?,?,?,?,2
?,3.0,?,?,?
4.9,?,?,?,?
?,2.9,?,?,?
?,?,5.8,?,?
?,?,6.1,2.5,?
?,?,?,?,?
6.4,?,?,?,?
6.8,?,?,?,?
5.7,?,5.0,2.0,2
?,?,?,2.4,2
?,3.2,?,?,?
?,3.0,?,?,2
?,?,6.7,?,2
7.7,2.6,?,2.3,2
?,?,?,1.5,?
?,?,?,?,?
?,?,4.9,?,?
?,?,?,2.0,2
6.3,?,4.9,1.8,?
6.7,3.3,?,?,2
?,?,?,?,2
?,2.8,?,1.8,2
?,3.0,?,?,?
?,?,?,2.1,2
7.2,3.0,5.8,?,2
?,?,6.1,?,2
?,?,?,2.0,?
?,2.8,?,2.2,?
6.3,?,?,?,2
?,2.6,5.6,1.4,2
7.7,?,6.1,?,?
6.3,?,?,2.4,?
?,?,5.5,?,2
?,3.0,?,?,?
6.9,3.1,?,2.1,2
6.7,3.1,5.6,?,?
?,3.1,?,2.3,2
5.8,?,?,?,2
?,3.2,?,?,?
?,?,?,?,2
?,?,?,?,?
6.3,2.5,?,?,?
?,3.0,5.2,?,?
6.2,3.4,5.4,?,?
?,?,?,1.8,2
