@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data

?,0.29,0.48,0.5,0.56,?,?,cp
?,0.4,0.48,0.5,?,0.35,?,?
0.56,?,0.48,0.5,?,0.37,?,cp
?,?,?,?,?,?,0.36,?
?,0.32,0.48,0.5,0.55,?,?,?
0.67,?,?,0.5,0.36,0.38,0.46,?
0.29,0.28,0.48,?,0.44,?,0.34,cp
?,0.34,?,0.5,0.51,0.28,?,cp
?,0.44,?,?,0.46,?,0.57,cp
?,?,?,0.5,0.56,?,0.3,cp
?,?,0.48,?,?,0.27,?,?
?,0.48,?,?,?,0.17,?,?
?,0.32,?,?,0.46,0.24,0.35,?
?,0.5,?,0.5,?,?,?,?
0.22,?,?,0.5,?,0.16,?,cp
0.25,?,?,0.5,0.46,0.44,0.52,?
0.34,?,0.48,?,?,?,?,cp
0.44,?,0.48,?,?,?,?,?
?,?,0.48,?,0.39,?,0.38,cp
0.41,?,0.48,?,0.39,?,?,?
?,0.45,0.48,?,0.38,0.22,?,cp
0.31,?,?,0.5,?,?,?,?
?,?,?,0.5,?,?,?,?
?,?,?,0.5,?,?,0.23,?
?,?,?,?,0.48,?,?,?
?,?,?,0.5,0.48,0.44,?,?
?,0.4,?,?,0.47,?,?,cp
0.21,?,?,0.5,?,?,0.41,cp
?,0.37,?,?,0.53,0.35,?,cp
?,0.39,?,0.5,0.47,?,?,?
0.53,?,?,0.5,?,?,0.36,cp
?,0.33,?,0.5,0.38,?,?,?
0.56,?,?,0.5,?,0.37,0.46,?
?,?,?,0.5,?,?,?,?
?,?,?,?,0.31,0.19,0.31,?
?,0.54,?,?,?,0.38,0.46,?
0.29,?,0.48,?,?,0.29,?,?
?,?,?,?,0.59,?,?,cp
?,0.42,?,?,0.35,0.28,0.38,?
?,?,0.48,?,?,?,?,?
?,0.45,?,?,0.52,0.32,?,?
?,0.37,0.48,?,?,?,?,?
0.4,?,0.48,?,?,0.39,0.47,?
?,?,?,?,?,?,?,cp
0.61,?,0.48,?,?,?,?,?
?,0.38,0.48,0.5,?,0.42,0.5,?
?,0.35,?,0.5,0.55,?,?,?
?,?,?,?,0.39,?,0.39,?
?,?,?,0.5,?,?,?,?
?,?,?,?,?,?,0.43,?
?,0.52,?,?,?,?,0.36,?
?,?,?,0.5,0.45,?,0.17,?
?,0.36,?,?,0.35,0.39,0.47,cp
?,?,?,?,0.37,?,?,cp
?,0.47,0.48,0.5,?,0.16,0.26,?
?,?,?,?,0.28,0.33,?,?
0.51,0.37,?,?,?,0.36,?,?
?,0.35,0.48,0.5,0.45,?,?,cp
0.44,0.34,?,?,?,?,0.43,?
?,0.38,?,0.5,0.54,?,0.43,cp
?,?,?,0.5,0.5,0.46,0.54,?
0.52,0.36,0.48,?,0.41,?,?,?
?,?,0.48,0.5,?,?,0.54,?
?,0.3,0.48,0.5,?,?,?,?
?,?,0.48,?,0.51,?,?,?
0.24,?,?,?,0.54,?,0.59,cp
?,?,0.48,?,?,0.33,?,cp
?,0.57,?,?,0.42,?,?,?
?,?,0.48,0.5,0.43,?,0.36,?
?,0.48,?,0.5,0.56,?,0.48,?
?,0.26,0.48,?,?,?,?,?
0.44,?,?,?,0.47,?,?,?
?,0.5,?,?,0.42,?,?,?
0.44,?,0.48,?,?,?,?,?
?,?,0.48,0.5,0.37,?,0.38,cp
0.42,0.3,?,0.5,?,0.26,0.36,cp
0.48,?,?,?,?,0.25,0.35,?
?,?,0.48,?,0.51,0.44,0.51,?
?,0.28,?,0.5,?,?,?,?
0.29,0.41,0.48,0.5,?,?,?,cp
?,?,0.48,0.5,?,?,0.44,?
?,0.43,0.48,0.5,?,0.31,?,cp
0.29,0.47,?,?,?,?,?,?
?,0.55,0.48,?,?,0.31,?,cp
0.36,?,?,0.5,0.43,0.45,?,?
0.4,?,?,?,0.52,0.49,?,?
0.5,?,0.48,?,0.49,?,?,cp
?,?,?,0.5,?,?,?,cp
0.5,?,?,?,?,?,0.34,cp
0.53,?,?,?,?,?,0.39,?
?,?,?,?,?,?,0.44,?
0.4,0.42,?,?,0.37,?,?,?
?,0.43,?,?,?,0.24,?,?
?,?,?,?,?,0.21,0.32,?
0.31,?,?,0.5,?,0.28,0.39,?
?,?,?,?,?,?,?,?
?,?,?,0.5,?,?,0.43,cp
0.57,0.54,0.48,?,?,?,0.33,cp
0.65,0.55,0.48,?,0.34,0.37,0.28,?
0.51,0.46,0.48,?,?,?,?,?
?,?,?,?,?,?,?,cp
?,?,0.48,0.5,0.63,?,?,cp
?,?,?,0.5,0.54,0.16,?,?
?,?,?,0.5,0.53,?,0.29,?
?,0.34,0.48,0.5,?,0.3,?,?
?,0.5,0.48,?,?,?,?,cp
?,?,0.48,?,?,?,0.4,cp
0.43,?,0.48,?,0.33,0.45,?,?
?,?,0.48,?,0.49,0.3,?,?
?,0.28,?,?,?,?,?,?
?,?,?,0.5,?,0.06,0.2,cp
0.34,?,0.48,0.5,0.51,0.49,?,?
0.35,0.34,?,0.5,0.46,?,?,cp
0.38,?,?,0.5,?,0.29,?,?
?,?,?,?,?,?,?,cp
0.41,0.51,0.48,?,0.58,0.2,0.31,?
?,?,0.48,0.5,0.41,?,0.43,cp
?,0.49,?,0.5,0.53,?,?,?
?,0.51,?,?,?,0.42,?,?
?,0.28,0.48,0.5,0.5,?,?,?
?,0.26,0.48,?,?,0.32,?,?
?,0.41,?,0.5,?,?,?,cp
?,?,0.48,0.5,?,?,0.39,?
?,0.31,?,?,?,?,0.39,?
?,?,0.48,0.5,?,?,0.44,cp
?,0.51,0.48,0.5,?,?,0.46,cp
?,?,0.48,0.5,?,0.22,?,cp
0.4,?,?,?,0.42,?,?,cp
?,?,?,0.5,0.43,?,?,cp
?,0.44,?,?,?,?,0.47,cp
?,0.38,?,0.5,?,0.48,?,?
?,?,0.48,?,?,0.34,0.43,cp
0.3,?,0.48,?,?,?,0.33,cp
?,?,?,0.5,?,0.28,?,?
0.17,?,?,?,0.49,0.37,?,?
?,?,0.48,0.5,?,?,?,?
?,?,0.48,?,0.43,?,0.3,?
0.26,?,0.48,?,?,?,?,?
?,0.41,?,0.5,?,?,?,?
?,0.34,0.48,?,0.42,?,0.39,?
?,?,?,?,?,?,?,?
?,0.42,?,?,?,0.38,?,cp
?,0.43,?,?,0.54,?,?,cp
0.06,0.61,?,0.5,?,0.92,?,?
?,0.52,0.48,0.5,?,0.47,?,?
0.63,?,0.48,?,?,?,?,?
0.23,?,?,?,0.59,0.88,0.89,?
0.34,?,?,?,?,0.85,?,?
0.43,?,?,?,?,?,?,im
0.46,0.61,0.48,?,?,?,?,im
