@relation dataset

@attribute vendor {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

0,?,256.0,6000.0,?,16.0,128.0,?
1,?,8000.0,?,32.0,8.0,?,253.0
?,?,8000.0,32000.0,32.0,?,?,?
?,29.0,?,32000.0,32.0,?,32.0,253.0
1,29.0,?,?,?,8.0,16.0,?
1,?,8000.0,32000.0,64.0,8.0,32.0,?
1,23.0,16000.0,32000.0,64.0,?,?,381.0
1,23.0,16000.0,?,64.0,16.0,32.0,381.0
?,23.0,16000.0,?,64.0,?,32.0,749.0
?,?,?,?,128.0,32.0,?,?
2,400.0,1000.0,?,?,?,2.0,23.0
2,?,?,?,?,1.0,?,24.0
?,60.0,?,8000.0,65.0,1.0,?,?
3,?,?,16000.0,65.0,?,?,117.0
?,350.0,?,64.0,0.0,?,?,?
4,?,512.0,?,?,?,?,?
5,?,?,2000.0,8.0,4.0,15.0,?
5,143.0,?,5000.0,0.0,7.0,32.0,?
?,143.0,1000.0,2000.0,?,?,16.0,22.0
5,?,?,5000.0,142.0,8.0,64.0,?
?,143.0,1500.0,6300.0,0.0,5.0,?,?
5,?,3100.0,?,0.0,?,?,39.0
5,?,2300.0,6200.0,0.0,6.0,?,40.0
?,?,3100.0,?,0.0,?,?,?
6,?,?,?,0.0,1.0,12.0,28.0
?,?,?,2000.0,?,?,?,21.0
6,?,256.0,6000.0,0.0,?,6.0,?
6,320.0,?,?,?,1.0,?,22.0
?,?,?,?,?,?,5.0,28.0
6,320.0,256.0,?,?,1.0,6.0,27.0
7,25.0,1310.0,2620.0,131.0,12.0,?,?
7,25.0,?,2620.0,?,?,?,?
?,?,?,10480.0,?,12.0,?,74.0
7,50.0,2620.0,10480.0,?,?,?,?
7,?,5240.0,20970.0,?,12.0,24.0,?
?,?,?,?,?,?,?,136.0
7,50.0,?,?,?,?,4.0,23.0
7,?,1000.0,?,8.0,1.0,?,?
7,?,?,8000.0,?,?,?,44.0
?,?,?,4000.0,?,?,5.0,30.0
8,50.0,1000.0,?,8.0,3.0,?,41.0
?,?,2000.0,?,8.0,3.0,5.0,74.0
8,?,2000.0,16000.0,8.0,?,6.0,?
?,?,?,16000.0,8.0,3.0,?,74.0
9,?,1000.0,12000.0,?,?,?,?
?,133.0,?,8000.0,?,?,12.0,?
9,?,?,?,?,?,?,18.0
9,?,?,5000.0,0.0,1.0,1.0,?
9,?,?,8000.0,?,?,5.0,?
?,200.0,?,?,?,?,?,?
10,700.0,384.0,?,0.0,?,?,34.0
10,700.0,?,?,?,?,1.0,?
?,140.0,?,?,?,1.0,?,72.0
10,?,1000.0,?,?,1.0,2.0,36.0
10,110.0,?,4000.0,?,?,2.0,?
?,110.0,1000.0,?,?,1.0,2.0,?
10,?,?,?,?,1.0,2.0,?
?,?,?,8000.0,?,?,?,34.0
11,?,256.0,?,0.0,1.0,?,34.0
