@relation dataset

@attribute class {B, C, D, E, F, H}
@attribute largest_spot_size {A, H, K, R, S, X}
@attribute spot_distribution {C, I, O, X}
@attribute Activity {1, 2}
@attribute Evolution {1, 2, 3}
@attribute Previous_24_hour_flare_activity_code {1, 2, 3}
@attribute Historically-complex {1, 2}
@attribute Did_region_become_historically_complex {1, 2}
@attribute Area {1, 2}
@attribute Area_of_the_largest_spot {1, 2}
@attribute C-class_flares_production_by_this_region {0, 1, 2, 3, 4, 5, 6, 8}
@attribute M-class_flares_production_by_this_region {0, 1, 2, 3, 4, 5}
@attribute X-class_flares_production_by_this_region {0, 1, 2}


@data

?,?,?,?,2,1,1,2,1,2,0,?,0
D,?,?,1,3,1,1,?,?,?,0,?,0
C,S,O,?,?,1,?,?,1,1,?,0,0
D,?,O,1,3,?,1,?,1,2,?,0,0
?,?,O,?,?,1,1,2,1,?,0,?,0
?,A,?,1,?,?,1,?,?,?,0,?,?
?,?,O,?,?,?,?,2,?,1,?,0,?
D,A,O,1,?,1,?,2,1,2,0,?,?
?,K,O,?,?,1,1,?,1,2,?,?,?
?,R,?,?,3,1,?,?,?,?,0,0,0
?,?,O,1,?,?,1,?,1,1,0,?,0
D,S,?,?,2,1,?,2,1,?,0,?,0
C,H,?,1,3,1,1,2,1,?,?,0,?
?,R,?,?,?,1,?,2,?,1,0,?,?
?,?,O,?,?,?,1,2,1,?,?,?,?
?,X,O,1,3,?,?,?,1,?,?,?,?
?,K,?,?,3,1,1,2,?,?,?,0,0
?,?,?,1,?,?,1,2,1,2,?,0,?
?,?,O,1,?,1,?,?,1,?,0,0,0
C,?,?,1,?,1,?,?,?,2,?,0,0
?,?,?,1,?,?,?,2,?,1,?,?,?
B,X,?,?,?,1,1,?,?,1,0,0,?
?,?,?,1,?,?,2,?,1,?,0,?,0
?,X,?,?,?,1,1,?,1,?,0,0,0
?,?,?,?,2,?,?,?,1,?,0,?,0
?,?,?,?,3,1,1,?,1,?,?,?,?
?,?,I,?,3,1,1,?,?,2,0,?,0
?,X,O,1,?,1,1,2,1,1,?,0,?
?,X,?,?,?,1,1,?,?,2,?,?,?
D,?,I,?,?,?,?,?,1,?,?,0,0
?,?,O,1,3,?,1,?,1,?,?,?,?
B,?,?,?,3,?,1,?,1,?,0,?,0
D,A,I,1,3,?,1,?,?,2,?,0,?
?,X,?,?,?,?,?,?,?,2,0,0,0
D,?,O,?,?,?,?,?,1,?,0,0,?
D,?,?,1,2,1,?,2,?,1,?,0,?
?,?,I,?,3,?,?,?,?,1,?,0,0
D,?,I,?,2,1,2,2,?,?,1,0,0
?,?,?,?,?,3,1,?,?,?,?,?,0
D,?,?,1,?,?,2,?,?,?,?,0,?
B,?,?,?,3,?,?,2,1,?,?,0,0
?,?,?,1,1,1,?,?,?,?,?,?,?
D,A,I,?,2,?,?,?,1,1,0,0,?
?,?,O,1,1,?,?,?,?,?,0,0,?
?,?,?,1,3,?,?,?,?,?,0,0,?
D,?,?,?,?,1,2,2,?,2,2,?,?
?,A,?,?,?,1,?,2,?,?,?,0,0
D,?,?,?,2,1,?,2,?,?,?,0,0
