@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

?,s,n,?,?,f,c,n,k,e,?,s,s,w,?,w,o,?,?,s,u,p
?,?,y,t,?,f,c,?,?,?,c,s,s,?,?,w,o,p,?,n,?,?
?,?,?,?,l,f,c,?,n,?,?,?,?,?,?,w,o,p,n,?,m,e
x,y,w,t,?,?,?,n,n,e,e,s,s,w,?,?,o,p,k,s,u,?
x,s,?,f,n,f,?,?,k,?,?,?,s,w,?,?,o,e,n,a,g,e
?,?,?,t,?,f,?,?,?,?,?,s,?,?,?,w,o,p,?,?,?,e
b,?,w,t,a,f,c,b,g,e,c,s,?,w,w,w,?,p,k,n,m,e
?,y,w,t,l,f,?,?,n,?,c,?,s,w,?,?,o,p,n,?,?,e
x,y,w,t,?,f,?,n,?,e,?,s,?,w,?,w,o,p,k,?,g,p
?,s,y,?,a,f,c,b,g,e,c,?,?,?,?,?,o,p,?,?,?,e
x,?,y,t,l,f,?,?,g,?,c,s,s,w,w,w,o,p,n,n,g,e
x,?,y,?,a,?,?,b,?,e,c,?,s,?,w,w,o,p,k,s,?,e
?,?,y,t,?,f,c,b,w,e,?,?,?,?,?,w,o,p,?,s,?,e
?,y,w,t,?,f,?,n,?,e,?,s,s,?,?,?,o,p,n,v,u,p
x,f,n,f,n,f,w,b,n,t,e,?,f,w,w,?,o,e,?,?,g,?
?,?,g,f,n,f,c,n,?,e,e,?,s,w,w,?,?,p,n,y,?,?
?,f,?,f,?,f,w,?,?,?,?,?,?,?,w,w,?,e,?,?,g,?
x,?,?,t,?,f,c,?,?,e,?,s,?,w,w,?,o,p,k,?,g,p
x,y,w,t,p,f,c,n,?,e,e,?,s,?,w,?,o,p,?,s,u,p
?,s,n,t,?,f,?,n,k,e,?,?,?,?,w,?,o,p,?,?,?,p
?,s,?,?,?,f,?,b,k,e,?,s,s,?,?,w,?,?,n,s,?,?
