@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real


@data

1.4895,0.81688,?,?,1.5346,?,?,?,?,?,0.31218,?,-0.2751,0.75143,-0.23401999999999998,?,?,-1.7734,-0.29911,?,?,?,-1.4812,?,?,-0.71312,-0.51385,-0.11823,?,-0.44033,-0.67335,0.75143,?,-0.22559,-0.42105,-0.35231999999999997,-0.41641000000000006,?,?,-0.26431,?,-0.16374,0.026975,?,0.9774299999999999,2.6676,1.6803,?,?,0.27015,?
?,0.81688,?,?,1.5403,?,-1.2477,-0.14537,?,-0.23315999999999998,?,?,-0.2751,0.75143,?,?,?,?,?,-0.28811,-0.42527,?,?,-0.4775,-0.36753,-0.71312,?,?,-0.2731,?,?,0.75143,0.050869,-0.22559,-0.42105,?,?,-0.65489,-0.36906,-0.26431,-0.41368999999999995,?,0.026975,1.8323,0.9774299999999999,2.6676,1.6974,-0.48278000000000004,1.4801,0.21361,?
1.4895,0.81688,2.1168,?,?,-0.30543000000000003,?,?,-0.5935600000000001,?,?,?,-0.2751,0.75143,-0.23390999999999998,-0.9447399999999999,-0.15843,-1.7734,-0.29911,-0.28811,-0.42527,?,-1.4812,-0.4775,-0.36753,-0.71312,?,-0.11823,-0.27301,-0.44033,-0.67335,0.75143,0.050869,-0.22559,-0.42105,-0.35231999999999997,-0.41641000000000006,-0.65489,-0.36906,?,?,?,?,1.8323,?,?,?,-0.48278000000000004,?,0.23245,-1.5559
1.4895,0.81688,2.1168,1.7836,?,?,-1.2477,-0.14537,-0.5935600000000001,?,?,?,-0.2751,?,?,?,?,-1.7734,-0.29911,-0.28811,-0.42527,-1.081,-1.4812,-0.4775,-0.36753,?,-0.5244800000000001,?,-0.27248,-0.44033,-0.67335,?,0.050869,-0.22559,-0.42105,?,?,-0.65489,?,-0.26431,-0.41368999999999995,-0.16374,0.026975,?,0.9774299999999999,2.6676,1.6575,?,1.4401,0.34553,-1.5559
?,?,2.1168,1.7836,1.5346,-0.30543000000000003,-1.2477,-0.14537,-0.5935600000000001,?,?,-0.29103,?,?,-0.23419,?,-0.15843,-1.7734,?,-0.28811,-0.42527,?,-1.4812,-0.4775,-0.36753,-0.71312,?,?,?,?,-0.67335,0.75143,?,-0.22559,-0.42105,?,-0.41641000000000006,?,-0.36906,-0.26431,-0.41368999999999995,?,0.026975,?,0.9774299999999999,2.6676,?,-0.48278000000000004,1.4458,?,?
1.4895,0.81688,?,1.7895,1.5403,?,-1.2477,-0.14537,-0.5935600000000001,-0.23315999999999998,0.31218,-0.29103,?,0.75143,-0.23408,-0.9447399999999999,-0.15843,-1.7734,?,-0.28811,-0.42527,-1.081,-1.4812,?,-0.36753,?,-0.51385,-0.11823,-0.27284,?,-0.67335,?,0.050869,?,-0.42105,?,?,-0.65489,-0.36906,?,?,-0.16374,0.026975,1.8323,0.9774299999999999,2.6676,?,-0.48278000000000004,1.463,?,-1.5559
1.4895,0.81688,2.1168,?,?,-0.3185,?,-0.14537,-0.5935600000000001,-0.23315999999999998,0.31218,-0.29103,?,?,-0.23396999999999998,-0.9447399999999999,-0.15843,-1.7734,-0.29911,-0.28811,?,-1.081,-1.4649,-0.4775,-0.36874,-0.71312,-0.51385,?,-0.27284,-0.44033,-0.67335,?,?,-0.22559,-0.42105,-0.35231999999999997,-0.41641000000000006,?,-0.36906,?,-0.41368999999999995,-0.16374,?,1.8323,?,?,?,-0.48278000000000004,1.4744,?,?
1.4895,0.81688,2.1168,1.7895,?,?,?,?,?,?,0.31218,?,-0.27518000000000004,0.75143,?,-0.9447399999999999,-0.15843,-1.7734,?,-0.28811,-0.42527,?,-1.4324,?,-0.37114,-0.71312,?,?,?,-0.44033,-0.67335,0.75143,?,?,-0.42105,?,-0.41641000000000006,-0.65489,-0.36906,-0.26431,-0.41368999999999995,?,0.026975,1.8323,0.9774299999999999,2.6676,1.6575,-0.48278000000000004,1.4401,?,?
1.4895,0.81688,2.1168,1.7895,?,?,-1.2477,-0.14537,?,-0.23315999999999998,0.31218,-0.29103,?,0.75143,-0.23431999999999997,?,-0.15843,?,-0.29911,-0.28811,?,-1.081,-1.4324,-0.4775,-0.37114,?,-0.6066,-0.11823,-0.26974000000000004,-0.44033,-0.67335,?,0.050869,-0.22559,?,-0.35231999999999997,-0.41641000000000006,-0.65489,?,-0.26431,-0.41368999999999995,-0.16374,0.026975,1.8323,0.9774299999999999,2.6676,?,-0.48278000000000004,1.4401,?,-1.5559
