@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

?,0.27,0.36,20.7,?,?,?,?,3.0,?,8.8,6.0,2
6.3,?,0.34,?,?,?,132.0,0.994,3.3,?,9.5,6.0,2
?,?,0.4,6.9,0.05,?,?,0.9951,3.26,0.44,10.1,6.0,?
7.2,0.23,?,?,0.058,47.0,186.0,0.9956,?,0.4,?,6.0,?
7.2,0.23,?,?,0.058,?,186.0,0.9956,3.19,0.4,9.9,?,?
8.1,0.28,0.4,?,0.05,?,97.0,?,3.26,?,10.1,6.0,2
6.2,0.32,0.16,?,?,?,136.0,?,?,0.47,9.6,6.0,?
7.0,?,?,?,?,45.0,170.0,?,?,?,8.8,6.0,?
?,0.3,0.34,1.6,0.049,?,132.0,0.994,3.3,0.49,9.5,6.0,?
8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6.0,2
?,0.27,?,1.45,?,11.0,?,?,?,0.56,12.0,?,2
?,?,?,?,0.035,?,?,?,?,0.53,9.7,5.0,2
?,?,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,?,?
?,0.16,0.4,1.5,?,?,?,0.9912,3.54,0.52,?,7.0,2
?,?,?,19.25,0.04,?,?,?,?,0.67,?,5.0,2
?,0.17,?,1.5,0.032,?,?,0.9914,3.25,0.55,11.4,?,?
6.3,0.48,?,?,0.046,?,99.0,?,3.24,?,9.6,?,2
?,?,?,?,0.029,29.0,75.0,?,3.33,?,12.8,8.0,2
7.4,0.34,?,?,0.033,17.0,?,?,?,?,11.3,6.0,?
6.5,0.31,0.14,7.5,?,?,133.0,?,3.22,0.5,?,?,2
6.2,0.66,0.48,?,0.029,?,?,0.9892,3.33,?,12.8,?,?
