@relation dataset

@attribute x real
@attribute y real
@attribute month {apr, aug, dec, feb, jan, jul, jun, mar, may, nov, oct, sep}
@attribute day {fri, mon, sat, sun, thu, tue, wed}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,5.0,?,fri,86.2,26.2,94.3,?,8.2,?,6.7,0.0,0.0
7.0,4.0,oct,?,90.6,35.4,669.1,6.7,?,33.0,0.9,0.0,?
7.0,4.0,oct,?,90.6,43.7,686.9,6.7,14.6,33.0,?,0.0,0.0
8.0,6.0,mar,fri,91.7,?,77.5,9.0,8.3,97.0,4.0,0.2,0.0
8.0,6.0,?,sun,?,51.3,?,?,11.4,99.0,1.8,0.0,0.0
8.0,6.0,aug,sun,92.3,85.3,488.0,14.7,22.2,29.0,5.4,0.0,0.0
8.0,6.0,aug,mon,92.3,?,495.6,8.5,24.1,27.0,3.1,?,0.0
8.0,6.0,aug,?,91.5,145.4,?,10.7,?,86.0,2.2,0.0,0.0
8.0,6.0,sep,tue,?,129.5,692.6,7.0,13.1,?,5.4,0.0,?
7.0,?,sep,sat,?,88.0,698.6,7.1,22.8,40.0,4.0,0.0,0.0
?,5.0,sep,?,92.5,?,698.6,7.1,17.8,51.0,7.2,?,0.0
7.0,5.0,sep,sat,92.8,?,713.0,22.6,19.3,38.0,4.0,0.0,0.0
6.0,5.0,aug,fri,?,70.8,?,0.8,17.0,?,6.7,?,0.0
6.0,5.0,sep,mon,90.9,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
?,5.0,sep,wed,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,?
6.0,5.0,sep,fri,93.3,141.2,713.9,13.9,22.9,44.0,5.4,?,0.0
5.0,5.0,mar,?,?,35.8,80.8,7.8,?,27.0,5.4,0.0,0.0
8.0,?,oct,mon,84.9,32.8,664.2,3.0,16.7,47.0,4.9,0.0,0.0
6.0,?,mar,?,89.2,27.9,?,6.3,?,35.0,4.0,0.0,?
6.0,4.0,apr,sat,?,?,97.1,5.1,?,44.0,4.5,0.0,0.0
?,?,sep,tue,91.0,129.5,692.6,7.0,18.3,40.0,2.7,0.0,0.0
5.0,4.0,sep,?,91.8,78.5,724.3,9.2,?,38.0,2.7,0.0,0.0
7.0,4.0,jun,sun,94.3,96.3,200.0,56.1,21.0,?,?,0.0,?
7.0,4.0,aug,sat,90.2,110.9,?,?,19.5,?,5.8,0.0,0.0
7.0,4.0,?,sat,93.5,139.4,594.2,20.3,23.7,?,5.8,0.0,0.0
7.0,4.0,aug,?,91.4,142.4,601.4,10.6,?,?,5.4,0.0,0.0
7.0,?,sep,fri,92.4,117.9,668.0,?,19.0,34.0,5.8,0.0,?
