@relation dataset

@attribute region-centroid-col real
@attribute region-centroid-row real
@attribute short-line-density-5 real
@attribute short-line-density-2 real
@attribute vedge-mean real
@attribute vegde-sd real
@attribute hedge-mean real
@attribute hedge-sd real
@attribute intensity-mean real
@attribute rawred-mean real
@attribute rawblue-mean real
@attribute rawgreen-mean real
@attribute exred-mean real
@attribute exblue-mean real
@attribute exgreen-mean real
@attribute value-mean real
@attribute saturation-mean real
@attribute hue-mean real
@attribute class {0, 1, 2, 3, 4, 5, 6}


@data

38.0,189.0,0.0,0.0,1.0,0.222222,6.22222,33.3185,29.0741,26.3333,?,?,?,18.4444,?,35.2222,?,?,4
25.0,199.0,?,?,?,0.607407,?,0.462963,17.5185,13.1111,17.8889,21.5556,-13.2222,1.11111,12.1111,21.5556,?,2.69011,3
?,139.0,0.0,?,?,0.077778,?,0.088889,0.444444,0.0,?,0.0,?,?,-1.33333,?,0.777778,?,2
?,220.0,0.0,?,?,15.263,3.66667,6.08889,?,6.55556,6.44444,?,?,-5.22222,?,?,0.486717,2.09315,3
?,135.0,0.0,0.0,0.055556,0.136083,0.111111,0.172133,1.25926,0.777778,?,?,-1.44444,?,?,3.0,1.0,-1.82221,6
235.0,?,0.0,?,0.611111,0.240741,?,0.32963,2.77778,?,6.44444,1.44444,-7.0,11.0,-4.0,6.44444,0.938492,?,?
67.0,32.0,0.0,0.0,?,1.06284,?,1.31092,?,115.111,142.222,?,-33.3333,48.0,-14.6667,?,0.190625,-2.33375,?
?,?,0.0,0.0,?,0.742868,?,2.12655,?,?,?,?,-18.3333,43.3333,?,72.4444,0.314281,?,4
217.0,?,0.111111,0.111111,3.16667,3.01662,2.16667,1.24276,?,?,7.11111,14.6667,?,?,?,?,?,2.06945,3
?,?,?,0.0,?,1.00554,?,1.64204,45.9259,?,?,?,?,?,?,57.2222,?,?,?
149.0,?,0.222222,?,0.833333,?,1.0,0.444445,?,21.1111,?,16.2222,-0.333333,15.3333,-15.0,?,0.382629,?,0
136.0,139.0,0.0,0.0,0.666667,0.177778,0.777778,0.207407,?,6.55556,6.44444,3.0,?,?,?,6.88889,?,?,0
214.0,79.0,0.0,0.0,1.27778,?,?,0.533333,4.85185,2.0,9.22222,3.33333,?,13.1111,-4.55556,9.22222,?,-2.28898,2
?,125.0,0.0,?,0.333333,?,?,?,1.14815,0.0,?,0.333333,?,5.88889,?,?,?,?,2
83.0,?,0.0,0.0,0.555555,?,?,0.490652,123.444,112.333,?,119.778,?,44.3333,?,?,0.187217,?,5
70.0,38.0,0.0,0.0,?,?,1.0,0.760116,58.0,?,74.3333,?,?,49.0,-25.0,?,0.336015,?,1
96.0,84.0,?,0.0,?,?,1.61111,?,23.8519,23.5556,30.0,18.0,-0.888889,18.4444,-17.5556,30.0,?,-1.59887,?
151.0,?,0.0,?,8.05556,8.14157,?,0.827758,?,27.5556,41.1111,27.4444,-13.4444,27.2222,-13.7778,41.1111,0.338407,?,?
?,?,?,0.0,0.222222,0.02963,0.333333,?,?,0.0,?,0.0,?,6.0,?,?,1.0,-2.0944,?
146.0,?,0.0,0.0,?,0.462963,?,?,?,7.88889,7.33333,?,?,?,?,8.22222,0.537017,?,0
162.0,?,0.111111,0.0,?,1.14342,?,?,13.2222,10.8889,?,18.7778,?,?,16.6667,?,0.472826,?,3
?,27.0,0.0,?,?,?,?,?,137.519,132.556,?,133.444,-14.8889,27.1111,?,?,?,-2.14672,5
83.0,?,0.0,?,?,1.49691,?,?,59.7778,?,74.0,52.2222,-20.0,?,?,?,?,-2.05057,4
?,104.0,0.0,0.0,?,1.42075,?,0.516399,55.7407,48.8889,69.5556,48.7778,?,?,-20.8889,69.5556,0.303071,-2.08549,1
?,111.0,?,?,2.55556,?,2.27778,1.59745,?,25.4444,38.2222,25.1111,?,?,-13.4444,?,0.349325,?,?
?,85.0,?,?,1.22222,1.24127,0.222222,?,?,14.5556,?,?,?,23.8889,?,?,0.459024,-2.16091,?
?,?,0.0,0.0,0.388889,?,?,?,3.92593,5.55556,4.0,?,?,0.222222,-5.11111,?,?,?,0
?,?,?,?,?,?,6.0,5.18545,60.2593,52.4444,76.2222,52.1111,?,?,-24.4444,?,0.320865,?,4
?,?,0.0,?,?,?,1.11111,?,?,?,?,?,-19.2222,41.4444,-22.2222,78.4444,0.271659,?,1
?,133.0,0.0,?,?,0.136083,0.055556,0.136083,?,?,?,0.0,-1.11111,?,?,?,1.0,?,6
?,?,?,?,?,0.0,?,0.0,0.0,0.0,0.0,0.0,?,?,0.0,?,?,0.0,?
?,?,0.0,?,?,?,?,?,?,12.6667,?,21.1111,?,-4.88889,15.1111,?,?,?,3
?,187.0,0.0,0.0,1.22222,?,?,2.38902,?,44.1111,?,41.5556,-13.2222,34.1111,-20.8889,59.8889,?,-1.94747,4
?,93.0,?,?,?,?,?,?,2.44444,?,5.44444,?,?,?,-4.66667,?,?,-2.07507,6
?,130.0,?,0.0,0.722222,0.507407,1.05556,0.685185,?,7.33333,?,3.33333,4.44444,?,-7.55556,7.66667,0.570106,-0.963048,0
?,64.0,?,?,16.2778,12.9485,?,?,31.0,24.6667,38.0,30.3333,-19.0,21.0,-2.0,?,?,-2.59382,2
96.0,193.0,0.0,?,?,?,1.83333,1.84692,?,?,78.7778,54.5556,-23.7778,?,?,?,?,-2.08494,4
41.0,?,?,?,1.77778,?,?,1.5,?,?,29.2222,?,-13.5556,?,?,?,?,?,?
154.0,?,0.0,?,0.444444,0.02963,0.444445,?,?,7.77778,6.77778,3.33333,?,2.44444,-7.88889,7.77778,?,?,0
?,?,0.0,0.0,?,?,2.94444,?,?,?,?,21.6667,-9.22222,29.4444,-20.2222,38.2222,0.430558,-1.84499,?
46.0,238.0,0.0,0.0,1.05556,?,2.16667,1.8227,?,?,12.6667,?,?,?,12.5556,?,0.445509,2.50823,?
254.0,159.0,?,0.0,?,?,14.8333,?,?,?,46.2222,?,?,28.7778,-12.8889,46.2222,?,?,?
175.0,?,?,?,?,0.807371,?,?,?,100.111,?,?,?,?,-13.7778,?,0.24216,?,?
?,48.0,?,0.0,1.22222,?,1.27778,1.26297,134.852,127.556,?,130.889,?,?,-11.8889,146.111,0.126968,-2.27843,5
?,175.0,0.0,0.0,3.77778,?,7.16667,?,57.8519,?,72.7778,50.0,?,?,-23.5556,72.7778,0.312834,?,?
?,?,0.0,?,1.88889,1.14827,?,2.85514,?,46.3333,?,?,-19.7778,?,-22.4444,?,0.32042,-2.05164,4
?,?,0.0,?,?,0.744444,?,0.655555,13.7037,10.6667,12.6667,?,?,?,?,17.7778,0.401347,?,?
