@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

2,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,?
2,?,0.265,0.09,0.2255,0.0995,0.0485,0.07,6
0,?,0.42,?,0.677,?,0.1415,0.21,8
2,0.44,0.365,?,0.516,0.2155,0.114,0.155,9
1,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,6
1,0.425,0.3,?,0.3515,0.141,?,0.12,7
?,0.53,0.415,0.15,?,0.237,?,?,?
0,?,0.425,0.125,0.768,0.294,0.1495,0.26,15
2,0.475,0.37,0.125,?,?,0.1125,0.165,8
?,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,?
0,0.525,?,0.14,0.6065,0.194,0.1475,0.21,13
2,?,0.35,0.11,0.406,0.1675,0.081,?,9
2,?,0.38,?,?,0.2175,?,0.19,10
?,0.535,0.405,0.145,0.6845,0.2725,?,0.205,9
0,0.47,0.355,?,?,0.1675,0.0805,0.185,?
2,0.5,0.4,?,0.6645,0.258,0.133,0.24,11
1,0.355,?,?,0.2905,0.095,?,0.115,?
0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,9
?,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,6
2,0.45,0.32,?,?,0.1705,0.075,?,8
2,0.355,?,0.095,0.2455,?,0.062,0.075,10
1,?,?,0.1,0.2255,0.08,0.049,0.085,9
0,0.565,?,0.155,0.9395,?,0.214,0.27,?
?,0.55,0.415,?,0.7635,?,?,0.2,8
?,0.615,?,0.165,1.1615,?,0.301,?,9
0,0.56,?,0.14,0.9285,?,?,0.3,10
?,0.58,0.45,?,?,0.3945,0.272,0.285,10
?,?,0.445,?,0.931,?,0.234,0.28,?
2,0.605,0.475,0.18,0.9365,0.394,0.219,?,14
2,?,0.425,?,0.8635,?,0.227,?,10
2,?,0.47,0.165,0.9975,0.3935,0.242,0.33,?
0,0.68,?,0.165,1.639,0.6055,0.2805,?,14
?,?,0.525,0.165,1.338,0.5515,0.3575,0.35,17
?,0.68,?,0.175,1.798,0.815,?,0.455,18
?,0.705,0.55,?,?,?,0.4115,?,?
