@relation dataset

@attribute vendor {adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,125.0,256.0,?,256.0,16.0,128.0,199.0
amdahl,29.0,8000.0,32000.0,?,?,32.0,253.0
?,?,?,32000.0,32.0,?,32.0,253.0
amdahl,29.0,?,?,32.0,8.0,32.0,253.0
?,29.0,?,?,32.0,?,16.0,132.0
?,26.0,8000.0,?,64.0,?,32.0,?
amdahl,?,?,?,?,16.0,?,381.0
?,?,?,32000.0,?,16.0,?,381.0
?,?,?,?,?,?,32.0,749.0
?,?,32000.0,64000.0,?,32.0,64.0,1238.0
?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?
basf,60.0,?,8000.0,?,1.0,8.0,70.0
basf,?,?,?,?,?,?,117.0
?,?,?,?,0.0,?,4.0,15.0
?,?,512.0,?,?,?,32.0,?
?,?,524.0,?,8.0,4.0,15.0,?
?,?,512.0,5000.0,?,?,32.0,29.0
?,143.0,1000.0,?,?,?,16.0,?
burroughs,?,5000.0,?,?,8.0,?,?
burroughs,?,?,?,?,?,?,?
burroughs,?,?,?,?,?,20.0,?
?,143.0,?,6200.0,0.0,6.0,64.0,?
?,?,?,6200.0,0.0,6.0,?,?
c.r.d,?,?,?,0.0,?,12.0,28.0
?,?,512.0,?,4.0,?,?,?
c.r.d,?,256.0,?,0.0,1.0,?,?
?,?,256.0,?,4.0,?,3.0,?
c.r.d,?,512.0,5000.0,4.0,?,?,?
?,320.0,?,?,?,?,6.0,27.0
?,25.0,?,?,?,12.0,?,102.0
cdc,25.0,?,?,?,?,24.0,?
?,50.0,?,10480.0,?,?,?,74.0
?,50.0,?,10480.0,30.0,12.0,24.0,74.0
cdc,?,5240.0,?,30.0,?,24.0,?
cdc,64.0,5240.0,20970.0,30.0,?,?,136.0
?,50.0,?,?,?,1.0,4.0,23.0
?,50.0,?,?,?,1.0,5.0,?
?,?,2000.0,?,?,?,?,?
?,?,?,4000.0,?,3.0,?,30.0
cambex,50.0,1000.0,?,8.0,3.0,?,41.0
?,50.0,2000.0,16000.0,?,?,?,?
?,?,2000.0,16000.0,8.0,?,6.0,74.0
?,50.0,2000.0,?,8.0,?,?,74.0
?,133.0,1000.0,12000.0,?,?,?,54.0
dec,?,1000.0,8000.0,?,?,?,?
?,?,?,512.0,?,?,?,?
?,?,?,5000.0,?,1.0,1.0,28.0
?,?,?,?,?,1.0,?,?
?,?,?,?,8.0,1.0,?,?
dg,700.0,384.0,?,0.0,?,?,34.0
?,700.0,?,?,0.0,?,?,19.0
?,?,?,?,?,1.0,?,?
?,?,?,?,0.0,1.0,2.0,?
?,110.0,?,?,?,1.0,?,30.0
?,?,1000.0,?,?,?,2.0,?
?,?,?,?,16.0,?,?,?
formation,?,256.0,8000.0,?,?,4.0,?
formation,800.0,?,?,?,1.0,4.0,34.0
formation,?,?,?,0.0,1.0,?,?
formation,800.0,256.0,8000.0,0.0,?,4.0,34.0
formation,?,256.0,8000.0,0.0,1.0,4.0,?
?,?,?,1000.0,?,?,20.0,19.0
?,75.0,?,?,?,1.0,?,?
gould,?,?,?,?,?,?,?
gould,?,?,?,?,1.0,38.0,?
hp,?,256.0,?,0.0,?,10.0,18.0
?,105.0,256.0,?,0.0,3.0,?,20.0
?,?,1000.0,?,?,3.0,?,?
?,105.0,?,4000.0,?,3.0,19.0,33.0
?,?,?,?,8.0,?,?,47.0
?,?,?,8000.0,8.0,3.0,?,54.0
?,?,256.0,?,?,?,24.0,20.0
?,?,768.0,?,?,?,?,23.0
harris,?,?,?,6.0,6.0,?,25.0
harris,?,768.0,?,?,?,24.0,?
?,?,?,?,?,1.0,?,?
harris,?,384.0,12000.0,?,1.0,?,?
?,300.0,192.0,?,?,?,24.0,18.0
?,180.0,768.0,?,?,?,?,?
honeywell,?,?,?,?,?,4.0,23.0
?,?,1000.0,4000.0,8.0,?,?,30.0
?,300.0,?,16000.0,?,?,112.0,73.0
?,?,1000.0,2000.0,?,?,2.0,20.0
?,330.0,1000.0,?,?,3.0,?,25.0
?,140.0,2000.0,?,?,3.0,?,28.0
?,?,2000.0,4000.0,?,?,8.0,29.0
?,?,?,?,?,1.0,20.0,?
?,?,?,?,32.0,?,?,175.0
?,?,2000.0,?,32.0,?,?,?
?,?,?,?,?,?,?,?
honeywell,140.0,2000.0,?,?,1.0,?,?
honeywell,?,?,?,?,?,?,?
?,57.0,4000.0,?,1.0,?,?,?
?,?,?,24000.0,?,?,?,?
ibm,26.0,?,32000.0,64.0,16.0,24.0,?
ibm,26.0,16000.0,?,?,?,24.0,350.0
?,?,?,32000.0,0.0,?,24.0,220.0
?,?,8000.0,?,0.0,8.0,?,113.0
?,?,?,512.0,0.0,?,?,?
?,?,1000.0,2000.0,?,?,?,?
?,?,512.0,?,16.0,?,?,?
ibm,?,?,1500.0,0.0,1.0,?,18.0
?,?,?,?,0.0,?,?,?
ibm,?,?,2000.0,?,1.0,?,20.0
?,?,?,4000.0,?,1.0,1.0,28.0
ibm,400.0,?,?,0.0,?,?,?
ibm,900.0,?,?,0.0,?,?,?
ibm,?,?,?,?,?,?,?
?,900.0,?,?,?,?,?,?
ibm,900.0,1000.0,4000.0,8.0,?,?,28.0
ibm,900.0,2000.0,?,?,?,6.0,28.0
ibm,225.0,2000.0,?,?,3.0,6.0,?
?,?,?,?,?,?,?,31.0
ibm,?,?,?,?,?,?,42.0
ibm,185.0,?,16000.0,?,?,?,?
?,?,?,?,?,?,6.0,?
?,?,1000.0,?,?,3.0,?,?
ibm,25.0,2000.0,?,?,1.0,4.0,?
ibm,25.0,?,12000.0,?,?,?,?
?,17.0,?,16000.0,8.0,6.0,?,?
?,17.0,4000.0,16000.0,?,?,?,?
ibm,1500.0,?,?,?,0.0,?,?
ibm,1500.0,768.0,2000.0,0.0,?,?,?
?,?,?,?,?,0.0,?,?
?,50.0,?,4000.0,?,3.0,6.0,30.0
?,?,?,?,?,3.0,6.0,?
?,?,?,?,?,?,6.0,?
?,?,2000.0,?,?,?,?,?
ipl,?,2000.0,16000.0,24.0,?,6.0,?
?,?,8000.0,16000.0,48.0,1.0,?,?
?,100.0,1000.0,8000.0,0.0,?,?,?
magnuson,100.0,?,?,24.0,?,?,?
?,?,1000.0,8000.0,?,?,?,?
?,?,2000.0,?,?,?,16.0,80.0
magnuson,?,?,?,?,?,16.0,?
?,50.0,?,?,24.0,?,?,88.0
microdata,?,?,?,?,8.0,128.0,33.0
nas,?,2000.0,8000.0,?,1.0,?,46.0
?,?,2000.0,?,?,1.0,5.0,?
?,?,?,8000.0,?,?,6.0,?
nas,92.0,2000.0,?,?,?,6.0,?
?,?,?,?,?,1.0,6.0,41.0
?,?,?,16000.0,?,?,?,86.0
nas,?,4000.0,?,?,?,?,95.0
?,?,2000.0,?,?,?,?,107.0
?,?,4000.0,?,64.0,5.0,8.0,117.0
?,?,4000.0,?,?,?,10.0,?
nas,?,4000.0,?,?,?,?,120.0
?,72.0,2000.0,?,16.0,6.0,8.0,?
nas,?,?,16000.0,32.0,?,16.0,126.0
?,40.0,?,?,64.0,?,24.0,?
nas,35.0,?,?,?,?,?,?
?,38.0,?,32000.0,?,?,32.0,?
?,?,4000.0,?,32.0,?,?,?
?,?,?,?,64.0,?,24.0,?
nas,30.0,16000.0,?,?,16.0,?,603.0
?,?,1000.0,1000.0,0.0,?,?,?
ncr,84.0,?,2000.0,?,?,6.0,?
ncr,?,1000.0,?,0.0,?,?,26.0
?,56.0,?,?,0.0,1.0,8.0,?
?,?,?,?,?,1.0,8.0,41.0
ncr,?,4000.0,?,0.0,?,?,47.0
?,56.0,?,?,0.0,?,?,?
ncr,56.0,4000.0,16000.0,0.0,?,?,?
ncr,?,?,?,32.0,?,?,80.0
?,?,4000.0,8000.0,?,16.0,32.0,?
ncr,?,?,?,64.0,?,8.0,142.0
ncr,38.0,?,?,160.0,4.0,8.0,281.0
?,?,?,16000.0,128.0,?,?,?
nixdorf,?,1000.0,?,?,?,?,21.0
nixdorf,200.0,1000.0,?,?,1.0,?,?
nixdorf,?,?,?,?,?,?,?
?,250.0,?,4000.0,?,?,7.0,24.0
?,?,?,4000.0,0.0,4.0,?,24.0
?,250.0,?,16000.0,1.0,?,?,?
?,160.0,?,?,?,?,?,?
prime,?,?,2000.0,?,?,?,?
?,?,?,?,?,?,?,29.0
?,160.0,?,?,?,1.0,?,43.0
?,?,2000.0,8000.0,?,?,13.0,53.0
?,?,512.0,?,?,1.0,?,?
siemens,?,?,2000.0,8.0,?,5.0,22.0
?,?,2000.0,?,?,3.0,8.0,?
siemens,105.0,?,6000.0,16.0,6.0,16.0,?
?,105.0,2000.0,8000.0,16.0,?,?,?
?,?,4000.0,16000.0,32.0,?,?,?
?,?,?,12000.0,8.0,6.0,?,?
