@relation dataset

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}


@data

0.58,0.61,?,?,?,0.0,0.48,?,6
?,?,0.48,0.27,0.5,0.0,?,0.22,?
0.64,?,?,0.15,?,?,?,0.22,6
0.58,0.44,0.57,?,0.5,?,?,?,7
0.42,?,0.48,?,?,0.0,0.48,0.22,?
?,?,0.56,0.17,0.5,?,0.49,0.22,0
?,0.54,0.48,0.65,?,0.0,0.53,0.22,?
0.48,?,?,0.2,0.5,0.0,?,0.34,?
?,0.5,?,?,0.5,?,0.49,0.22,?
?,?,?,?,?,0.0,?,?,?
?,0.39,?,?,0.5,?,?,0.27,?
?,?,0.59,0.2,?,?,?,?,?
?,?,0.57,?,?,?,?,?,?
?,?,?,0.46,?,?,0.53,0.22,?
?,?,0.45,0.19,0.5,?,?,?,?
?,0.44,?,0.11,0.5,0.0,?,0.22,0
?,?,?,?,?,0.0,?,0.4,?
?,?,?,?,0.5,0.0,?,0.26,7
?,?,?,0.21,?,?,?,0.22,?
0.61,?,?,?,?,0.0,?,0.25,?
0.45,0.4,?,0.16,0.5,?,?,0.22,?
?,0.44,0.48,0.22,0.5,?,?,?,?
0.73,?,0.42,?,0.5,0.0,?,0.22,?
?,?,0.52,?,0.5,?,?,?,?
?,?,0.52,?,?,0.0,0.58,?,0
?,?,0.52,?,?,0.0,0.54,?,?
0.59,0.45,?,0.19,0.5,?,?,0.27,?
0.57,?,?,0.18,0.5,?,?,?,0
0.63,?,0.57,?,0.5,?,?,?,?
0.8,?,0.36,?,?,?,?,0.33,3
?,?,?,0.1,?,?,?,0.32,7
0.51,0.51,?,?,0.5,0.0,0.52,0.22,6
?,?,?,0.12,?,0.0,?,?,0
0.33,?,0.51,0.43,0.5,0.0,0.51,0.22,?
?,?,0.42,0.26,?,?,?,?,3
?,0.67,?,?,0.5,0.0,0.42,?,2
0.72,?,?,?,0.5,0.0,?,?,6
?,?,?,?,?,?,?,?,?
0.59,?,0.43,0.44,?,?,?,0.22,?
0.57,?,?,?,?,?,?,?,6
0.86,?,?,?,?,0.0,0.54,?,?
?,?,0.51,?,?,?,?,?,4
?,?,?,?,0.5,?,?,?,4
?,0.54,?,0.2,?,?,0.51,?,?
0.37,0.36,0.56,0.18,0.5,?,?,0.26,?
0.53,?,?,0.39,?,?,?,?,?
?,0.75,?,?,0.5,?,0.4,?,?
0.49,0.39,0.52,0.29,0.5,0.0,?,?,?
?,?,0.51,?,0.5,?,?,?,9
?,?,?,?,0.5,0.0,?,?,5
0.48,0.39,0.51,?,0.5,?,?,0.28,0
?,?,?,?,0.5,0.0,?,?,5
?,?,?,0.43,0.5,?,?,?,?
?,0.48,?,?,?,0.0,?,?,0
?,0.59,0.56,?,?,?,?,?,0
?,0.56,0.56,?,0.5,?,0.45,?,?
0.66,0.62,?,?,0.5,?,?,?,?
0.53,?,?,?,0.5,?,0.55,?,?
0.38,?,?,?,0.5,0.0,0.5,?,?
?,?,?,?,?,?,?,0.22,6
0.43,?,0.52,?,0.5,?,?,0.22,6
?,?,?,0.18,?,?,?,?,?
0.48,?,?,0.32,0.5,0.0,0.52,?,7
?,0.46,?,?,?,0.0,0.58,?,?
0.54,?,?,?,0.5,?,?,0.27,?
?,?,0.45,?,0.5,?,0.51,?,0
?,?,0.57,0.09,0.5,?,0.55,?,?
?,?,?,0.12,0.5,?,?,?,?
?,?,?,0.15,?,0.0,?,?,?
0.81,0.85,?,0.37,?,?,?,0.22,?
?,0.42,0.52,0.24,?,?,?,?,?
?,?,?,?,?,?,?,?,?
0.6,?,?,0.61,?,?,?,?,6
0.45,0.55,0.54,?,0.5,?,0.47,0.22,6
?,?,?,0.23,?,?,0.44,?,6
0.49,?,?,?,0.5,?,?,?,?
?,0.53,0.54,0.4,0.5,0.0,0.5,?,6
?,?,0.53,?,?,?,?,0.27,6
0.63,?,0.59,0.4,0.5,?,?,?,?
0.43,0.57,?,0.49,?,0.0,?,0.22,6
?,?,?,?,?,?,?,?,?
0.5,?,?,?,?,?,?,0.22,?
?,?,?,?,0.5,?,?,?,?
?,0.52,?,0.37,?,0.0,?,0.22,?
0.67,?,0.4,?,?,?,0.5,?,6
?,0.58,?,?,0.5,0.0,?,?,5
?,0.44,?,0.16,?,?,?,?,5
0.8,?,?,0.29,?,?,?,0.22,2
0.5,0.52,0.59,?,?,?,?,?,?
?,?,?,0.41,0.5,0.0,0.53,?,?
0.36,0.46,?,0.46,?,?,0.51,?,?
?,0.38,0.47,?,?,0.0,?,0.27,?
?,?,?,0.2,0.5,?,0.45,0.22,?
?,0.43,?,0.16,?,0.0,0.52,?,?
?,?,?,?,?,?,?,0.28,?
0.38,?,0.37,?,?,?,0.43,?,?
?,0.7,0.52,?,0.5,0.0,0.46,0.22,?
?,?,?,0.33,?,0.0,0.58,0.22,6
?,?,?,?,0.5,0.0,?,?,?
?,?,?,?,?,0.0,?,?,?
0.36,?,?,?,?,?,0.44,0.22,5
0.36,?,0.39,?,?,0.0,?,?,?
0.47,?,0.5,?,0.5,0.0,?,?,?
?,0.23,0.57,?,?,0.0,?,0.47,7
?,?,0.55,?,?,?,0.47,?,?
0.44,?,?,?,?,?,?,?,5
0.42,?,0.54,?,?,?,?,0.22,?
?,0.56,0.55,?,?,?,?,?,0
?,?,0.52,?,?,0.0,?,0.22,0
?,0.6,0.48,?,0.5,?,0.55,?,0
0.45,?,0.5,0.46,?,?,0.5,?,?
0.44,0.52,0.41,0.23,0.5,?,0.51,0.22,?
?,?,0.57,?,0.5,?,0.48,?,?
?,?,?,0.47,0.5,0.0,0.49,?,7
?,?,?,?,?,0.0,?,?,?
0.45,?,?,0.6,?,?,0.49,?,?
?,0.67,0.56,?,0.5,?,0.47,0.22,?
