@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real
@attribute attr_52 real
@attribute attr_53 real
@attribute attr_54 real
@attribute attr_55 real
@attribute attr_56 real
@attribute attr_57 real
@attribute attr_58 real
@attribute attr_59 real
@attribute attr_60 real
@attribute attr_61 real
@attribute attr_62 real
@attribute attr_63 real
@attribute attr_64 real
@attribute attr_65 real
@attribute attr_66 real
@attribute attr_67 real
@attribute attr_68 real
@attribute attr_69 real
@attribute attr_70 real


@data

7.1612860000000005,?,2.9115830000000003,0.984049,-1.4995459999999998,?,?,?,1.8491220000000002,-0.425598,-0.105672,1.7288849999999998,1.788986,0.8497979999999999,-1.109353,?,?,?,6.007709999999999,0.8208690000000001,?,0.131699,0.8592860000000001,?,?,1.1929319999999999,-1.4210909999999999,?,-1.288109,1.4587379999999999,-0.7345079999999999,-0.092678,-0.571314,-0.14263399999999998,?,?,0.31727,-0.13058,2.048282,-0.173489,0.32461599999999996,-0.300817,?,-0.5385770000000001,?,?,?,?,-0.072197,?,?,?,?,-0.937659,-0.8953709999999999,?,0.441859,0.389178,?,?,-1.504263,0.351267,-1.018726,-0.174878,?,?,-0.9147719999999999,?,?,-47.95
0.22576300000000002,?,?,0.497745,0.874036,?,?,?,?,?,0.029105000000000002,0.40729699999999996,-0.034418000000000004,-6.07E-4,?,-0.134767,?,0.8677590000000001,?,-0.357172,?,?,?,?,?,-0.68448,-0.42073599999999994,?,0.074617,0.277973,0.468588,0.9789959999999999,0.586847,0.7603449999999999,1.400111,?,?,?,-0.221967,?,-0.539966,0.179847,-0.634147,?,-0.441251,?,0.628843,0.212837,?,-0.44028999999999996,-0.15706199999999998,?,1.9895450000000001,?,?,?,-0.623764,?,-0.08264500000000001,-0.947933,-0.495712,?,-0.157861,?,?,1.088478,?,1.391141,14.91,?
-0.692525,-0.5178010000000001,-0.788035,1.214351,-0.907214,0.8802129999999999,0.40689899999999996,?,-0.901869,-1.7015740000000001,-0.9038930000000001,?,-1.6674630000000001,?,-0.151747,?,1.045059,?,?,-0.747421,?,0.305318,0.5515369999999999,-0.705611,-0.301218,-0.365297,0.062184,0.36656500000000003,?,1.483239,?,1.568182,1.743709,?,-0.694375,-0.285767,-0.29177800000000004,?,-0.35129699999999997,0.43917,?,0.056928,?,0.326462,?,?,?,0.472009,1.060355,1.070834,?,?,0.264883,?,-0.405171,?,?,?,?,-0.556109,?,?,?,2.718442,?,2.081069,?,1.063847,12.65,-8.0
?,?,?,?,-0.011393,0.805396,1.497982,0.11475199999999999,?,0.052377,?,0.429205,0.576029,0.400389,0.519513,?,?,?,0.001966,?,0.33208200000000004,-0.051894,0.376492,1.169377,?,?,0.979776,0.39064699999999997,-0.519658,-0.675643,0.29299400000000003,0.349806,?,-0.521205,?,1.254224,2.535289,?,?,-0.156088,?,?,-0.428863,?,-0.304159,-0.203572,?,1.212091,1.193691,?,-0.296156,?,2.547275,1.485531,-0.17918199999999998,?,?,?,-0.8056260000000001,0.16661600000000001,-0.178325,?,?,?,?,-0.38500500000000004,?,-0.39219699999999996,9.03,38.74
?,?,?,?,?,-0.869295,?,?,-0.8726389999999999,1.147483,-0.287746,1.8246380000000002,?,-0.229361,?,0.278767,?,0.035642,-0.044704,-0.718237,-0.733049,-1.136788,?,-0.312192,-0.671557,-0.57933,?,-0.371718,-0.48382,?,0.6827310000000001,0.8671770000000001,?,1.226698,0.557925,0.17558800000000002,-0.32463800000000004,?,?,?,1.094179,0.298009,-0.479234,?,-0.388596,?,?,0.12062200000000001,0.31706999999999996,?,?,?,0.279686,-0.784654,?,-0.250279,-1.1693049999999998,-0.052780999999999995,?,?,?,-0.667912,?,-0.19048800000000002,?,?,0.271838,?,34.03,-6.85
0.059217,0.034537,?,?,?,?,0.46776599999999996,?,-0.49650500000000003,1.239908,?,-0.25838099999999997,?,-1.0372350000000001,0.250967,?,?,?,?,?,-0.812315,?,?,?,0.8541110000000001,1.211973,0.22712100000000002,?,-0.09415499999999999,-0.057997,-0.074075,-0.289063,-0.685688,-0.42261800000000005,1.7917130000000001,1.39226,-0.166716,0.29089299999999996,?,1.040583,?,1.119458,1.65977,?,0.164696,?,-0.241382,0.089011,-0.454603,-0.398362,?,?,?,0.03953,-0.196953,0.526687,1.241737,?,?,1.428818,0.501017,-0.354263,?,0.060328,0.075293,?,?,?,12.65,-8.0
-0.28062800000000004,-0.310082,?,?,-0.19667,1.153469,-0.47397399999999995,1.491603,-0.10532799999999999,1.3650010000000001,?,?,-1.83653,-0.074443,?,-1.292025,-0.49863500000000005,0.23400300000000002,?,-0.503408,0.8418049999999999,?,?,1.600782,?,2.716828,2.3595610000000002,0.543736,?,?,?,?,?,-0.57936,?,0.895717,?,-0.175978,?,0.537875,?,?,0.219421,0.5258010000000001,-0.166239,?,0.788395,?,?,?,?,2.1741490000000003,2.342965,0.11981199999999999,?,-0.25813,?,?,0.036321,?,?,-0.43384300000000003,?,1.101685,-0.9361229999999999,-0.280096,?,-0.872726,12.65,-8.0
-0.50384,-0.63308,-0.142764,?,0.259608,0.338967,?,?,?,?,1.030814,?,0.110161,-0.33842,0.25071,?,-0.464238,?,?,?,-0.28722800000000004,-0.060066999999999995,?,?,-0.074772,0.058382,?,-0.36806,0.106773,0.030839,-0.355673,-0.19157000000000002,-0.707671,?,0.562453,0.41624399999999995,0.43127600000000005,?,0.6708350000000001,0.520563,0.455719,-0.256288,?,-0.610514,-0.405134,0.210483,?,-0.584585,-0.474667,?,?,1.729984,?,1.61191,?,-0.5193939999999999,0.32218600000000003,0.257511,0.398013,?,-0.435378,?,?,-0.136452,?,-0.392567,-0.636443,?,14.66,-17.41
?,0.22474899999999998,?,0.010736,?,?,?,0.53456,?,?,?,1.397751,?,?,?,?,-0.250795,0.301849,?,-0.675542,-0.277438,?,-0.31602600000000003,-0.618837,-1.232046,-0.547585,?,-0.9214389999999999,-0.797222,-0.8038770000000001,-0.343827,?,-0.465054,-0.8820020000000001,?,?,-0.566006,?,?,?,?,-1.1676360000000001,?,-0.8987069999999999,?,-0.723658,?,?,?,?,-1.039404,?,2.130913,-0.54381,-0.2449,0.22960100000000003,?,?,?,?,-0.8996639999999999,?,-1.1168850000000001,-1.043855,-0.9221809999999999,?,-0.8340120000000001,-0.929364,?,-0.12
