@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

?,1,0,?,0,2,88.6,168.8,64.1,?,?,0,2,130.0,4,?,?,9.0,111.0,5000.0,?,?,?,5
?,1,?,1,?,2,88.6,168.8,64.1,48.8,?,0,2,130.0,?,3.47,2.68,?,111.0,?,?,27.0,?,5
0,1,0,1,2,2,?,?,65.5,52.4,2823.0,?,3,152.0,4,2.68,3.47,?,154.0,5000.0,19.0,26.0,16500.0,?
1,?,?,?,3,1,?,176.6,66.2,54.3,2337.0,2,2,?,4,3.19,3.4,?,?,?,24.0,30.0,?,4
?,1,0,0,3,0,99.4,176.6,66.4,?,?,2,?,?,4,3.19,?,8.0,115.0,?,18.0,?,17450.0,?
?,?,?,?,?,?,?,?,66.3,53.1,2507.0,2,1,136.0,4,?,3.4,8.5,110.0,5500.0,19.0,25.0,?,4
?,1,0,0,3,1,105.8,192.7,71.4,55.7,?,?,1,136.0,4,?,3.4,?,?,?,19.0,25.0,?,3
1,?,0,?,?,1,?,192.7,71.4,55.7,2954.0,2,1,136.0,4,3.19,3.4,8.5,110.0,?,19.0,25.0,18920.0,3
1,1,?,0,?,1,105.8,?,71.4,55.9,3086.0,?,1,131.0,4,3.13,3.4,?,?,?,17.0,20.0,23875.0,3
2,1,0,1,3,?,?,?,?,54.3,?,2,2,?,?,3.5,?,8.8,101.0,5800.0,?,29.0,16430.0,4
2,1,?,?,3,2,101.2,?,?,54.3,?,2,2,108.0,4,3.5,2.8,8.8,?,?,?,29.0,?,?
2,1,0,?,3,?,101.2,176.8,64.8,?,?,?,3,164.0,4,3.31,?,?,?,4250.0,21.0,?,?,2
?,?,0,?,3,2,?,?,64.8,?,?,2,?,?,?,?,3.19,?,121.0,?,21.0,28.0,21105.0,2
?,1,0,0,3,2,103.5,189.0,66.9,55.7,?,?,3,?,4,?,3.19,9.0,121.0,4250.0,20.0,?,?,3
?,1,0,?,?,2,103.5,?,?,55.7,?,2,3,?,?,?,3.39,?,182.0,5400.0,16.0,22.0,30760.0,2
2,1,?,1,?,2,103.5,?,?,53.7,?,?,3,209.0,4,?,?,?,182.0,?,?,?,41315.0,2
2,1,?,?,3,2,110.0,?,?,56.3,?,2,3,?,?,3.62,3.39,?,?,?,?,20.0,36880.0,?
?,1,0,1,?,1,88.4,?,60.3,?,?,1,4,?,1,2.91,3.03,9.5,48.0,?,47.0,53.0,?,?
3,?,?,1,2,1,94.5,155.9,63.6,52.0,1874.0,2,?,90.0,?,3.03,3.11,9.6,?,?,?,?,?,3
3,1,0,0,3,1,94.5,158.8,63.6,?,1909.0,?,2,?,?,3.03,3.11,9.6,70.0,5400.0,38.0,?,6575.0,2
4,1,?,?,?,1,?,?,63.8,50.8,1876.0,?,2,?,?,2.97,3.23,9.41,68.0,?,?,41.0,?,?
4,?,0,1,2,1,93.7,157.3,63.8,?,1876.0,2,?,90.0,1,2.97,3.23,?,68.0,5500.0,?,38.0,6377.0,3
4,1,?,1,2,1,93.7,157.3,?,?,2128.0,2,2,98.0,?,?,?,7.6,102.0,5500.0,24.0,?,?,3
?,?,0,0,2,?,93.7,157.3,?,50.6,1967.0,?,2,90.0,1,2.97,3.23,9.4,68.0,?,31.0,?,6229.0,?
4,?,?,?,3,1,93.7,157.3,?,50.6,1989.0,2,?,90.0,1,?,3.23,9.4,?,5500.0,?,?,?,3
4,1,0,0,3,?,?,?,63.8,50.6,1989.0,2,?,?,1,2.97,3.23,9.4,?,?,31.0,38.0,?,?
4,?,0,0,?,?,103.3,?,?,59.8,2535.0,2,?,?,1,?,?,8.5,88.0,?,?,?,?,?
4,?,?,1,?,?,95.9,?,?,50.2,?,?,?,?,3,3.6,3.9,?,145.0,?,?,?,12964.0,5
?,?,0,1,?,1,?,?,?,?,1713.0,?,2,92.0,?,2.91,3.41,9.6,?,?,49.0,54.0,?,?
5,?,?,?,?,1,?,144.6,63.9,50.8,?,?,2,92.0,0,?,3.41,?,?,6000.0,?,38.0,6855.0,4
5,?,?,1,?,?,93.7,?,64.0,52.6,?,2,?,?,0,2.91,3.07,10.1,?,5500.0,?,?,?,?
?,1,0,1,?,1,?,?,?,?,1940.0,?,2,?,?,?,3.41,9.2,76.0,?,30.0,?,6529.0,?
5,?,0,1,?,1,93.7,150.0,?,?,1956.0,?,?,92.0,?,2.91,?,9.2,?,?,30.0,?,?,?
?,1,0,0,3,1,?,?,64.0,54.5,?,2,2,92.0,0,?,3.41,9.2,?,6000.0,?,34.0,7295.0,2
?,?,?,0,?,1,96.5,157.1,63.9,?,2024.0,2,2,?,0,2.92,?,9.2,?,6000.0,?,?,?,?
5,?,0,?,2,?,96.5,167.5,65.2,53.3,?,2,?,?,?,?,3.58,9.0,?,?,27.0,?,7895.0,2
5,1,0,?,2,1,?,167.5,?,53.3,2289.0,?,2,?,?,?,?,9.0,86.0,?,?,?,?,2
?,1,0,0,?,?,?,?,?,54.1,?,2,?,?,0,3.15,3.58,9.0,86.0,?,?,?,8845.0,2
?,1,0,?,3,?,96.5,?,62.5,?,2372.0,2,2,110.0,?,3.15,?,9.0,86.0,5800.0,27.0,?,?,2
5,?,?,?,?,1,?,175.4,65.2,?,2465.0,2,2,?,?,3.15,3.58,?,?,5800.0,24.0,?,?,2
?,?,?,1,3,?,?,?,66.0,?,?,2,2,?,1,3.15,?,9.1,100.0,5500.0,?,31.0,10345.0,?
6,?,?,0,?,?,94.3,?,?,?,2337.0,?,?,111.0,1,3.31,?,8.5,78.0,?,24.0,?,6785.0,2
?,1,?,1,?,?,?,172.6,65.2,?,?,?,?,119.0,6,?,?,?,90.0,?,24.0,?,?,?
7,?,0,0,3,2,113.0,199.6,69.6,?,?,?,3,?,?,3.63,?,8.1,176.0,4750.0,?,19.0,?,?
7,1,?,?,3,?,?,?,?,?,?,?,3,258.0,?,3.63,4.17,8.1,176.0,?,?,?,?,2
7,?,0,1,?,?,?,191.7,?,?,3950.0,4,?,?,?,?,2.76,?,262.0,?,13.0,?,36000.0,2
8,?,0,?,2,?,?,159.1,?,54.1,1890.0,2,2,91.0,1,3.03,?,9.0,68.0,5000.0,?,?,5195.0,3
8,1,?,1,?,1,93.1,?,64.2,54.1,1900.0,2,?,91.0,?,3.03,3.15,?,?,?,31.0,?,?,?
8,1,?,?,2,?,?,159.1,64.2,?,1905.0,?,?,?,?,?,3.15,?,?,?,?,?,?,3
?,1,?,0,3,1,93.1,166.8,?,54.1,?,2,2,?,1,?,?,?,?,5000.0,31.0,38.0,?,3
8,?,0,?,3,?,?,166.8,?,?,1950.0,?,?,?,1,?,3.15,9.0,68.0,?,31.0,?,7395.0,3
?,1,0,?,?,1,98.8,?,?,53.7,?,?,?,?,1,?,3.39,?,84.0,?,26.0,?,?,3
?,?,?,0,?,?,?,?,?,?,2410.0,2,2,?,1,3.39,?,?,?,4800.0,26.0,32.0,?,?
8,1,0,1,2,?,98.8,177.8,?,53.7,2385.0,2,2,122.0,1,?,3.39,?,84.0,?,26.0,32.0,?,?
