@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

?,1.4742,0.32396,0.98535,?,?,0.0046566,0.0039465,0.04779,0.12795,0.016108,0.0052323,?,1.1756
?,1.5257,0.36116,0.98152,0.99825,0.79867,?,0.0050016,0.02416,?,?,0.002708,?,0.69659
?,?,?,0.97755,1.0,0.80812,?,0.010121,0.011897,?,0.0032891,9.2068E-4,?,0.44348
?,?,?,0.97566,1.0,?,0.0068768,0.0086068,?,?,0.0042707,0.0011544,?,0.58785
0.82301,?,0.44462,?,1.0,0.75493,?,0.010042,0.0079379,?,?,?,2.3504E-5,0.34214
0.72997,1.4892,0.34284,0.98755,1.0,0.84482,0.0049451,?,?,0.058528,?,?,?,0.34068
0.82063,1.7529,0.44458,?,0.99649,?,?,0.0063954,?,?,0.0064523,0.0022713,4.1495E-5,?
0.77982,1.6215,0.39222,?,?,0.80816,?,0.0047314,?,0.089686,0.0079794,?,1.4676E-4,?
?,?,?,0.9824,1.0,0.77106,0.0060055,0.006564,0.0072447,?,0.0016469,3.8812E-4,?,0.33696
?,2.3906,0.58336,0.97683,0.99825,0.66419,0.0084019,0.012848,0.0070096,?,0.0017901,?,2.8251E-5,0.28082
0.7459,1.4927,?,0.98296,1.0,0.83088,?,?,0.0057679,?,0.0013313,?,?,?
?,?,0.43387,0.98181,1.0,0.76985,0.0077992,0.011071,0.013677,0.057832,0.0033334,8.1648E-4,?,0.49751
0.93361,2.7582,0.64257,0.98346,1.0,0.59851,?,0.0055731,0.029712,?,0.0080153,0.0020648,?,?
0.91186,?,?,?,?,0.64916,0.0061494,0.0068823,?,?,0.0052267,?,8.3271E-5,0.67811
?,2.2927,?,?,?,?,0.0028365,0.0014643,?,?,?,?,2.0166E-4,0.87177
?,?,?,0.98691,1.0,?,0.0054439,?,0.030348,?,?,?,1.9854E-4,?
?,2.5247,?,?,?,0.63037,?,?,?,?,?,0.0018929,?,?
?,2.2038,?,0.97835,?,0.64158,0.0059242,?,?,0.092969,?,0.0021199,2.7729E-4,1.008
?,?,0.4892,?,?,0.70267,?,0.0028733,?,0.070841,?,?,?,0.74174
0.89084,?,?,?,?,?,0.015271,0.042443,0.028461,0.086477,?,0.0018832,2.4345E-4,?
0.93062,2.8973,?,0.98182,?,?,?,?,0.023606,?,0.005191,0.0011217,?,?
?,1.86,0.46549,?,1.0,0.75976,0.0046759,?,0.062798,0.13234,?,?,?,?
?,?,0.36317,0.9211,?,0.60555,?,0.10134,?,?,?,?,4.049E-4,1.5371
?,1.2065,?,0.94952,0.99649,0.75954,0.013388,0.032621,0.021815,?,0.0093485,?,?,0.5341
?,1.0991,?,0.92405,?,0.61661,?,?,0.054687,0.1606,0.025145,?,?,?
?,1.251,?,?,0.99825,0.6925,?,?,?,0.11502,0.013056,0.0053112,?,0.72247
?,1.1435,?,?,0.99649,0.60571,?,?,0.057506,?,?,?,1.8533E-4,1.1365
0.50139,?,?,?,0.99825,0.64029,0.021782,0.086347,?,0.1598,0.024899,?,1.6162E-4,?
0.60803,1.0646,0.3446,0.90487,?,?,?,?,0.06245,0.16411,?,?,2.2964E-4,1.2307
0.56599,1.0427,0.35318,0.89086,0.99825,?,?,?,0.026348,0.10589,?,?,?,0.62671
0.68605,1.1632,0.37528,?,?,?,?,?,?,0.16858,?,?,1.5525E-4,?
?,1.084,?,?,0.99825,0.65698,?,?,0.042051,0.14722,?,?,6.468E-5,?
?,1.1191,0.17272,0.96806,?,?,0.012499,?,?,?,0.01847,0.0040597,?,1.8893
?,?,0.2836,?,?,0.77871,?,?,?,0.1186,0.013872,?,?,1.2024
0.73429,?,0.40827,?,?,0.62558,0.014987,0.040879,0.038113,0.092188,?,0.0017773,?,?
0.64161,1.3004,0.31556,?,0.97895,?,?,0.058729,?,0.08221,0.0067132,?,2.9878E-4,1.2359
?,1.3166,?,?,0.99649,0.77183,0.0091632,0.015281,0.020413,?,0.0042817,?,?,?
?,1.5529,0.38804,0.95593,?,?,0.012904,?,?,0.064242,0.0041101,7.9505E-4,2.6812E-4,?
?,?,?,0.96405,1.0,0.79407,?,?,0.025409,0.078211,?,0.0015299,1.5762E-4,1.0326
?,?,?,?,1.0,0.82703,0.0066263,0.0079913,?,?,0.011828,?,?,1.5452
0.87844,?,?,?,0.83684,0.37688,0.043563,0.34539,0.045468,?,0.015515,?,2.2842E-4,1.1374
?,1.736,0.58345,0.83383,?,?,0.040582,0.29973,0.035786,0.10047,0.0099932,0.002759,2.5802E-4,?
?,1.8803,?,?,?,?,0.047,?,0.039518,0.1157,0.01321,?,2.0084E-4,?
0.93671,2.4151,0.7298,0.81793,?,0.33439,?,1.1805,0.048722,?,?,0.0039983,3.7216E-4,1.3083
?,2.222,0.6558,0.82432,?,0.35618,?,?,0.059981,0.14901,?,0.0075251,2.8398E-4,1.353
0.90944,?,0.69555,?,0.85263,?,0.047267,?,?,?,?,?,2.9366E-4,?
0.89493,2.0494,0.64925,0.81682,?,?,?,?,0.041808,?,?,?,?,?
0.93613,2.3898,0.67175,?,?,0.37007,?,?,?,0.11955,?,?,4.2459E-4,?
?,1.774,0.63974,0.8499,?,?,0.051776,0.4879,0.06103,0.1519,?,?,?,?
?,1.7434,0.62464,0.85754,0.89298,0.32238,0.050792,0.46952,0.064428,?,0.025989,?,?,?
?,1.6657,?,0.84493,0.85614,0.32056,?,?,0.079282,0.18571,?,?,2.7502E-4,?
0.82135,1.6035,0.6025,0.84981,?,?,0.056079,0.57236,0.069239,?,?,?,?,?
?,?,?,?,0.47544,0.20039,?,?,0.010917,?,?,8.7543E-4,?,?
?,1.0544,?,?,0.59649,0.27687,?,3.2176,0.014816,0.067044,0.0044748,0.0013737,3.792E-5,?
?,?,0.68343,?,0.56667,0.23896,0.10747,?,?,?,?,?,1.0648E-4,0.90702
?,?,0.51662,0.77201,0.84211,?,0.11438,?,?,0.082047,?,0.0017982,?,?
?,?,0.70618,0.72175,?,0.21009,0.11264,?,?,?,0.0064077,?,?,?
0.63965,1.2323,?,?,?,0.24135,?,2.8155,0.025438,0.096215,?,?,5.1566E-5,0.75194
?,1.2291,0.693,0.75574,?,0.26004,0.098823,1.7774,?,0.073201,0.0053299,0.0013612,?,?
0.47815,1.1032,0.52998,0.81654,?,?,0.11547,?,0.006859,?,?,4.7564E-4,?,0.30832
0.84886,1.7011,?,0.81465,?,?,?,0.22838,0.038846,?,?,?,?,1.2269
0.83755,?,?,?,0.95088,0.27825,?,0.28528,?,0.087838,?,?,5.6309E-5,0.8079
0.84315,1.8134,0.54611,?,0.96667,0.49437,?,?,0.054653,?,?,0.0082654,1.6275E-4,?
0.82602,1.6637,?,0.8862,?,0.57136,0.022152,?,0.034444,?,?,?,1.6513E-4,?
0.86486,?,?,0.87745,?,0.52669,0.029555,0.15898,0.027883,0.092866,?,0.0031577,?,0.9961
?,1.7418,0.49818,?,?,0.62301,0.014708,?,?,0.077667,?,0.002105,2.9619E-4,?
0.87163,?,?,?,1.0,?,0.031671,?,?,0.1344,?,?,1.6133E-4,?
?,?,?,?,?,0.67283,?,?,?,?,?,?,?,0.78201
0.82373,?,?,0.85777,0.98421,?,?,?,0.018698,?,0.005678,0.0023517,?,0.7658
0.84285,1.8572,?,?,0.97544,?,0.028734,?,?,0.1156,0.013186,?,?,?
?,?,0.83612,?,0.98772,0.31546,0.02322,0.098133,?,0.10661,?,0.0032908,?,?
?,?,?,?,1.0,?,0.024667,?,?,0.097095,0.0093394,?,?,0.85025
0.98853,?,?,0.96861,?,0.27717,0.029032,?,?,0.10283,?,0.0033387,?,0.94985
?,?,?,?,?,0.30777,0.014672,0.039178,0.019278,?,?,?,?,0.66403
0.98592,?,0.83884,?,0.96842,0.28345,0.025004,?,0.021226,?,0.0064972,0.001957,9.1646E-5,0.64839
?,6.2904,?,0.97085,1.0,?,?,0.09814,?,0.089821,?,?,?,0.8112
0.98717,6.5173,?,0.96846,?,0.28899,?,0.08854,0.042124,0.11842,?,0.0043818,?,?
?,5.8719,?,?,0.98421,?,?,0.29359,?,0.11622,?,?,?,?
?,?,0.84737,0.95274,0.89649,?,?,0.068643,?,0.095642,0.0090645,0.0027526,?,0.82529
0.986,6.1763,?,?,?,?,?,0.025208,0.051048,?,0.017961,0.0060176,?,1.166
0.98824,7.142,0.86069,?,?,0.26951,?,0.08568,?,0.087108,0.0075307,0.0023055,9.7934E-5,?
0.47821,?,?,0.90378,0.99649,0.51298,?,?,0.082509,?,0.029213,?,6.7871E-4,1.5956
?,1.278,?,?,0.97368,?,0.034884,?,?,?,0.022362,?,4.3953E-4,?
?,1.2733,?,0.93409,0.99825,?,0.017966,?,?,?,0.015397,?,?,?
0.58938,?,?,?,0.98421,?,?,?,?,0.19211,0.035592,?,0.0015424,?
?,?,0.41362,0.89752,0.96316,?,0.026737,?,?,?,?,0.0078269,3.6426E-4,1.184
0.54029,?,?,0.88831,?,0.54283,0.028138,?,0.051554,0.14256,0.019917,?,?,?
?,?,?,0.85341,0.96667,0.46204,0.052403,0.49979,0.067688,0.16198,0.025566,?,4.3085E-4,1.3596
?,?,?,0.94433,?,?,?,?,0.024332,0.10405,0.01071,?,?,?
0.4867,?,0.37691,?,0.99474,0.54006,?,0.18848,0.098716,?,0.03267,?,9.5661E-4,?
?,1.2199,0.32967,0.90459,?,0.56329,0.027061,?,0.092156,0.18249,0.03223,?,?,1.7156
0.73086,?,?,?,0.97193,0.4865,0.034289,?,0.02898,0.10191,0.01028,?,1.0051E-4,0.76676
0.51577,?,0.32454,0.9208,?,?,0.023879,0.10378,?,?,0.014732,0.0042129,?,1.1232
0.59837,1.3539,?,0.93647,0.99825,?,0.019818,0.071484,0.045326,?,0.016966,0.0059817,?,0.93682
?,?,?,?,0.99649,?,?,0.17015,?,?,0.02093,0.0063685,6.7747E-4,?
0.44941,?,?,?,0.97368,0.54595,?,?,0.11385,0.18608,0.033467,0.0082395,?,?
0.46727,1.1876,0.36748,0.91542,0.97719,?,?,?,?,0.18732,0.033899,?,?,2.5551
0.55362,1.2438,0.39517,?,?,0.51113,0.046323,0.39055,0.083154,?,?,0.0094574,7.4607E-4,1.5807
?,?,?,?,?,0.58719,0.045933,0.384,?,?,0.020931,0.0048174,?,1.6749
?,?,?,0.91457,?,0.44764,?,0.55882,0.1203,?,?,0.0084315,?,?
0.55977,?,0.34301,0.9298,0.97544,0.57879,0.053564,?,?,0.25543,0.061249,?,5.9701E-4,?
?,1.2499,?,0.94477,0.9807,0.6743,?,0.44415,0.096252,?,?,?,2.6934E-4,?
?,?,0.25496,0.94201,?,0.6084,0.040722,0.3018,0.10957,?,0.052636,0.02418,?,?
?,1.1366,0.22905,?,0.97544,0.71234,0.038286,0.26678,?,0.22041,0.046329,?,?,?
?,1.2769,?,0.93889,?,?,?,0.31404,?,0.2605,?,0.02379,8.43E-4,2.203
?,1.1127,?,0.95426,0.99298,?,0.05426,0.53584,0.10967,?,?,?,6.1195E-4,1.8452
0.38564,1.0471,?,?,?,?,0.050832,?,0.13563,0.24744,0.057693,0.022,?,1.9757
?,1.0573,0.26213,0.93923,0.96667,?,?,0.44811,0.19067,0.28081,?,?,?,2.6604
0.51247,?,0.65626,0.57724,0.59298,?,?,2.2776,0.016001,?,?,8.7861E-4,?,0.6508
0.54893,1.1111,0.63983,?,?,0.15743,0.13081,?,?,?,?,?,7.3919E-5,?
0.43425,?,0.68828,?,?,0.15396,?,?,?,0.073202,0.0053299,?,?,?
