@relation dataset

@attribute x real
@attribute y real
@attribute month {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
@attribute day {0, 1, 2, 3, 4, 5, 6}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

?,5.0,7,0,?,26.2,94.3,5.1,8.2,?,?,?,?
?,?,10,5,90.6,?,669.1,6.7,18.0,33.0,0.9,0.0,?
?,4.0,?,2,90.6,43.7,686.9,6.7,14.6,?,?,0.0,?
8.0,6.0,7,?,91.7,33.3,77.5,9.0,8.3,97.0,?,0.2,0.0
8.0,6.0,7,3,89.3,?,?,9.6,11.4,99.0,1.8,0.0,0.0
8.0,6.0,1,?,92.3,?,488.0,14.7,?,29.0,5.4,0.0,0.0
8.0,6.0,1,1,92.3,88.9,?,?,?,27.0,3.1,?,0.0
?,6.0,1,1,?,?,608.2,10.7,?,86.0,?,0.0,?
?,6.0,11,?,?,129.5,692.6,7.0,13.1,63.0,5.4,0.0,?
7.0,5.0,11,?,92.5,?,698.6,7.1,22.8,40.0,4.0,?,0.0
7.0,5.0,11,2,?,?,698.6,7.1,17.8,?,7.2,0.0,0.0
7.0,5.0,11,2,92.8,?,713.0,?,?,38.0,4.0,?,0.0
6.0,5.0,1,0,63.5,70.8,?,0.8,17.0,?,?,0.0,0.0
?,5.0,?,1,90.9,126.5,?,?,21.3,42.0,2.2,0.0,0.0
6.0,5.0,11,6,92.9,?,699.6,?,26.4,21.0,?,?,?
6.0,5.0,?,?,?,141.2,713.9,13.9,22.9,44.0,5.4,0.0,0.0
?,5.0,7,2,91.7,?,80.8,7.8,15.1,27.0,?,0.0,?
8.0,?,10,?,84.9,?,664.2,3.0,?,47.0,4.9,0.0,0.0
6.0,4.0,?,6,?,?,?,?,?,35.0,?,?,0.0
?,4.0,0,2,86.3,27.4,97.1,5.1,9.3,44.0,4.5,0.0,?
?,?,11,5,91.0,?,692.6,7.0,18.3,?,2.7,?,0.0
5.0,4.0,?,1,91.8,?,724.3,?,19.1,38.0,2.7,?,0.0
?,4.0,6,3,?,96.3,?,56.1,21.0,44.0,4.5,0.0,0.0
7.0,?,?,2,90.2,110.9,537.4,6.2,19.5,43.0,5.8,0.0,0.0
7.0,4.0,1,2,93.5,139.4,594.2,?,23.7,32.0,5.8,0.0,?
7.0,4.0,?,3,91.4,142.4,?,10.6,?,60.0,?,0.0,0.0
7.0,?,?,?,?,117.9,668.0,12.2,19.0,34.0,5.8,0.0,?
?,?,11,1,90.9,126.5,686.5,7.0,?,48.0,?,0.0,?
