@relation dataset

@attribute atr1 real
@attribute atr2 real
@attribute atr3 real
@attribute atr4 real
@attribute atr5 real
@attribute atr6 real
@attribute atr7 real
@attribute atr8 real
@attribute atr9 real
@attribute atr10 real
@attribute atr11 real
@attribute atr12 real
@attribute class {0, 1}


@data

-0.17936,?,?,-0.09726,-0.11921,?,?,0.22317,?,-0.032886,0.0033827,-0.33425,?
-0.14659,?,0.24987,?,0.49494,-0.15633,-0.28891,0.5008,-0.045553,?,?,0.066959,?
-0.13131,0.51816,?,?,?,0.5632,-0.013246,-0.062833,-0.88339,-0.040303,?,0.6312,?
?,0.41878,0.14835,0.33349,?,0.39891,0.59065,0.0771,-1.1072,-0.36723,0.36468,0.57172,0
-0.40628,?,0.073336,0.070066,-0.03092,0.15205,-0.19142,?,-0.10225,0.15375,-0.12695,?,?
0.27804,0.31011,?,?,?,0.17356,?,?,-0.12646,0.33921,?,0.36024,0
-0.02634,?,0.58581,0.54649,0.52144,0.21358,0.25106,?,0.26911,?,?,-0.40948,1
?,0.085019,0.43229,?,0.49559,0.0108,0.40718,-0.33729,?,-0.74162,?,?,0
0.96405,?,?,?,?,?,?,0.49843,?,0.14669,?,0.057451,?
0.81876,0.33239,-0.59413,?,?,?,0.72883,0.45269,0.25206,?,?,-0.33129,?
?,-0.012491,0.23769,?,?,0.060151,-0.038016,-0.13711,-0.066597,0.015968,?,0.060713,?
?,?,?,?,0.68771,?,0.48605,-0.14595,?,-0.4528,?,0.014783,?
-0.22818,-0.042154,0.56279,?,0.65198,-0.014788,-0.08006,?,-0.21905,-0.48214,0.41296,-0.28092,0
?,0.20072,?,?,0.23683,0.29286,-0.41675,?,-0.027265,-0.066083,?,?,?
-0.17797,?,-0.22153,-0.43216,0.075834,-0.3139,?,?,?,?,0.38425,?,1
-0.0062517,?,?,?,0.32723,-1.0508,-0.064957,?,?,?,0.048632,?,0
0.53967,0.69333,0.13401,0.72406,-0.6858,0.82868,0.37774,-0.26206,0.22456,-0.11229,?,-0.24553,?
0.29341,0.98988,?,0.82822,?,1.0,0.41545,0.049601,?,0.40031,?,?,?
?,?,0.070916,0.20642,?,0.17115,?,-0.033722,0.23421,0.18663,-0.16351,-0.0043452,?
?,0.34759,0.0433,0.070895,?,?,0.42525,?,1.0,?,-0.75554,?,0
0.57396,-0.025984,0.0059303,-0.16288,?,?,0.78627,?,?,?,?,?,0
0.60045,-0.086765,?,-0.037594,0.7323,-0.22468,?,0.10743,?,-0.099066,?,-0.41394,?
-0.81333,?,-0.016994,-0.44328,?,?,?,-0.096731,?,0.18133,?,?,?
?,?,?,-0.14796,?,?,-0.29948,-0.22222,?,0.70321,-0.58735,0.31892,?
?,0.12036,?,0.22286,?,?,?,0.3632,0.57304,0.34375,-0.29875,-0.17954,?
?,?,-0.14337,-0.33985,?,-0.34524,?,0.16193,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,7.8916E-4,1
-0.7374,?,-0.52774,?,-0.19999,-0.46912,?,-0.54589,?,-0.36946,0.28735,?,?
0.21329,?,-0.31752,-0.21875,?,?,?,?,-0.20969,?,?,?,?
-0.068732,?,?,-0.011328,-0.80815,0.55047,?,?,?,0.13174,?,-0.25916,0
?,?,?,?,0.013202,0.28497,-0.057997,?,?,0.27702,-0.23413,?,1
?,?,-0.010893,0.2687,?,0.23872,?,?,-0.34846,?,?,0.10006,0
0.020291,?,-0.63034,?,?,-0.22965,0.11399,0.038331,?,?,?,?,?
?,?,-0.34092,-0.23388,?,0.1547,?,0.094689,-0.05668,0.14189,?,0.19212,0
?,0.38443,0.14877,0.63854,?,?,0.18946,1.0,?,?,?,-0.065822,1
?,?,?,0.26462,?,?,?,0.8351,?,0.63527,?,0.041692,0
0.49053,-0.35245,-0.20838,-0.1247,?,-0.41729,?,-0.31768,0.63013,0.13456,?,?,0
?,-0.14718,?,?,?,?,?,?,0.24039,?,0.02999,-0.2625,?
?,0.22424,?,-1.1074,?,-0.04202,0.51315,0.20566,0.59533,0.47762,?,-0.11988,1
?,0.41281,-0.66205,?,?,?,-0.064677,?,0.34148,0.35127,?,?,?
0.55356,?,-0.26414,0.11277,?,-0.064323,0.18942,0.99771,0.2226,-0.10899,?,-0.076432,?
?,?,-0.12021,0.26143,?,-0.0098443,?,0.2492,0.26205,?,-0.4003,?,?
0.55846,0.11956,?,0.62037,?,0.16768,0.27651,?,?,-0.37108,?,-0.070629,1
?,0.056669,?,0.45417,0.65759,0.019882,?,0.51108,?,?,?,?,?
0.25804,?,?,?,0.21214,?,?,?,-0.25626,-0.45569,?,-0.13152,?
-0.096201,?,?,-0.18962,0.9486,-0.72187,?,-0.012709,-0.17905,-0.13467,?,0.0022641,0
0.64167,-0.049042,-0.13654,?,?,-0.13646,?,?,-0.47449,?,0.35164,?,1
?,-0.35507,0.31046,?,?,-0.381,?,0.71391,?,-0.93727,0.77786,?,?
-0.28879,-0.047979,?,?,?,-0.031554,?,-0.18661,?,?,?,?,?
?,0.0066908,?,0.27289,?,?,?,0.28914,-0.59538,?,0.31344,?,0
?,0.27236,-0.37119,0.30767,?,?,-0.07297,?,0.11248,?,?,?,?
?,0.79391,?,?,?,?,1.0,?,-0.4408,0.2186,?,?,?
?,?,0.66062,?,?,0.75714,?,-0.022857,0.43182,?,?,?,0
?,0.10974,?,?,0.67177,0.15943,-0.75701,?,?,?,0.050288,-0.43655,?
-0.25543,?,?,?,0.19394,?,?,?,-0.36642,-0.012091,-0.0083595,0.3288,1
-0.62492,0.51308,?,?,?,0.58045,-0.23147,?,0.030642,?,?,0.46052,?
?,-0.53032,?,?,?,-0.6588,?,?,-0.070158,?,?,0.069655,0
?,0.21884,?,?,-0.070021,?,?,?,0.085538,0.32329,?,0.19569,0
?,-0.27364,-0.3483,-0.79662,-0.15937,-0.19144,-0.52412,0.14331,?,?,-0.1615,-0.196,1
?,?,0.040125,-0.72326,0.79727,-0.86209,?,?,?,?,?,0.24161,?
0.0097504,?,-0.037979,?,?,-0.4155,-0.1002,-0.27457,-0.6707,?,?,?,0
?,-0.68034,-0.1477,7.966E-4,?,-0.56256,?,?,?,?,?,0.51436,0
-0.26315,?,?,?,0.23871,-0.03757,-0.17441,?,?,-0.35366,?,?,1
0.18443,-0.51981,?,?,0.68638,?,?,-0.41071,?,?,0.047417,?,0
0.3001,-0.11971,-0.05663,-0.031266,0.1028,?,0.3423,0.37248,?,?,0.38207,?,?
1.0,?,-0.2721,?,?,-0.022484,?,?,-0.4626,-1.1057,0.92205,?,0
?,?,0.14833,?,?,0.70595,0.0010534,?,?,0.1684,-0.18926,?,1
-0.71551,0.23102,0.24042,?,-0.039318,0.39194,-0.61702,-0.47685,0.34128,?,-0.1117,-0.14109,?
?,?,?,?,-0.88549,0.16463,0.1852,?,0.66507,?,-0.65225,0.02045,?
?,?,-0.36531,-0.41347,-0.18178,-0.22667,?,0.030467,?,0.26502,-0.2021,?,?
?,0.91766,?,?,-0.44006,?,0.30011,-0.38855,0.21295,0.17943,?,-0.16528,?
-1.3327,?,?,?,-0.1547,0.63507,?,?,?,0.63737,-0.52572,-0.11892,?
?,?,?,?,-0.001633,?,0.087557,?,?,?,?,?,?
-0.039708,?,?,?,-0.39136,?,?,?,0.38294,0.25886,-0.23099,?,0
?,?,?,0.19875,?,?,?,?,?,?,-0.10064,-0.40955,1
?,0.026985,?,-0.10335,0.49426,?,?,?,0.78443,0.22239,-0.19996,?,?
?,-0.4003,-0.14458,-0.4325,?,?,-0.66429,?,-0.062158,?,0.069614,?,?
?,?,?,?,?,?,?,0.093983,0.30918,-0.15092,0.11289,?,0
?,-0.34461,?,?,0.43791,-0.30819,?,0.32657,-0.45646,-0.63705,?,-0.058928,?
?,?,?,-1.0859,0.21302,?,-0.67525,?,?,?,0.35325,0.39543,0
