@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

M,?,0.365,?,?,?,0.101,0.15,?
M,0.35,0.265,?,0.2255,?,?,?,7
?,0.53,?,0.135,?,?,0.1415,0.21,?
M,0.44,?,?,0.516,0.2155,?,0.155,10
I,?,0.255,0.08,?,?,0.0395,0.055,7
I,0.425,0.3,?,0.3515,?,0.0775,0.12,8
?,0.53,?,0.15,?,?,0.1415,0.33,20
?,0.545,?,?,0.768,0.294,0.1495,0.26,?
M,0.475,0.37,0.125,?,0.2165,0.1125,0.165,9
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,?
F,0.525,0.38,?,?,0.194,?,?,14
?,0.43,?,0.11,?,?,0.081,?,10
?,0.49,?,?,?,?,?,0.19,11
?,?,0.405,0.145,0.6845,0.2725,?,0.205,?
?,0.47,0.355,0.1,?,0.1675,?,0.185,10
?,?,0.4,0.13,?,?,0.133,0.24,12
I,0.355,?,?,?,0.095,?,?,7
F,?,?,0.1,?,0.188,?,0.13,?
M,0.365,?,0.08,?,0.097,?,0.1,?
?,0.45,?,0.1,0.381,0.1705,?,0.115,?
M,0.355,0.28,?,?,0.0955,?,0.075,?
?,?,?,0.1,?,0.08,0.049,?,10
?,?,?,0.155,0.9395,?,0.214,0.27,?
?,0.55,?,?,0.7635,?,0.21,0.2,9
?,?,?,0.165,?,0.513,0.301,?,?
?,?,?,0.14,?,?,0.188,?,?
?,?,0.45,?,?,?,?,?,?
?,?,?,0.14,?,?,0.234,0.28,12
?,?,0.475,0.18,0.9365,?,?,0.295,15
M,?,?,0.14,?,?,0.227,0.2,11
M,?,0.47,0.165,?,0.3935,?,?,10
F,0.68,?,?,?,0.6055,?,0.46,15
?,?,0.525,0.165,1.338,0.5515,0.3575,?,?
?,?,?,0.175,?,?,0.3925,?,19
?,?,0.55,0.2,?,0.633,?,0.49,13
?,?,?,?,0.4795,?,?,0.125,8
?,?,0.475,0.155,?,0.5305,0.3075,0.34,?
?,0.45,0.355,?,0.5225,0.237,0.1165,?,8
F,0.575,?,0.135,0.883,0.381,0.2035,?,?
M,?,0.29,?,?,0.134,0.086,?,9
F,0.45,0.335,?,0.425,?,?,?,9
?,?,0.425,?,0.8515,?,?,0.27,?
I,?,0.175,0.045,?,0.0315,?,?,5
I,?,0.15,0.055,?,?,?,0.012,?
I,?,?,?,?,0.0175,?,?,?
I,?,0.295,?,?,?,?,?,?
?,?,0.37,0.12,0.5795,0.293,0.227,?,?
F,0.46,?,0.12,0.4605,0.1775,?,?,7
I,?,0.245,?,?,0.0755,?,?,?
F,0.525,0.425,0.16,0.8355,0.3545,?,0.245,?
?,?,0.41,0.12,?,0.2385,0.111,0.19,8
M,?,0.32,0.095,0.303,0.1335,0.06,0.1,7
M,0.485,?,?,0.5415,?,0.096,?,10
F,?,0.36,?,?,?,?,?,10
?,?,0.31,?,0.385,0.173,0.0915,0.11,7
F,0.5,?,?,0.6615,0.2565,0.1755,0.22,8
?,?,?,0.12,0.4425,?,0.0955,?,8
?,?,?,?,?,0.2765,0.12,0.17,?
I,?,0.19,0.06,?,0.042,?,?,4
?,?,0.4,?,0.583,0.246,0.13,?,?
M,?,?,0.105,?,?,?,0.135,?
M,0.505,0.405,0.11,?,?,?,?,?
?,0.53,?,0.13,?,?,?,0.2,10
?,?,?,0.095,0.3785,0.1705,?,0.1,7
?,0.52,?,0.12,?,?,?,?,8
M,?,0.355,?,?,0.234,0.1015,?,?
?,?,0.44,0.16,?,0.354,?,?,12
?,?,0.495,?,?,0.416,?,?,13
F,0.475,0.39,?,?,0.2135,?,?,?
?,?,0.235,0.07,0.151,0.063,0.0405,?,6
?,0.555,0.425,?,?,?,0.168,?,13
F,?,?,0.11,0.353,?,0.0985,0.1,?
?,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
?,?,?,?,1.185,?,?,?,11
?,?,0.45,?,?,?,?,?,?
F,?,0.475,0.15,1.0075,?,?,0.28,15
M,?,?,?,?,0.3625,?,?,?
?,0.6,?,0.15,0.922,?,?,0.305,10
F,0.555,?,0.14,0.788,?,?,?,?
?,?,?,0.17,?,0.4695,0.2355,?,14
F,?,?,0.14,0.941,?,?,0.285,?
M,0.62,0.51,?,?,?,0.192,0.675,12
?,?,0.425,0.165,?,0.396,0.225,?,?
M,0.595,?,?,1.3175,0.408,0.234,0.58,21
M,?,0.45,0.14,1.013,0.38,?,?,14
?,0.57,?,0.18,?,?,0.2225,?,12
?,?,?,0.14,?,0.4825,0.205,?,?
?,0.56,0.44,?,?,0.3305,0.2075,0.26,?
?,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,?
?,?,0.45,0.16,0.9775,0.3135,?,0.33,12
?,0.565,?,?,?,?,?,?,15
?,0.555,0.44,0.15,0.755,0.307,?,0.26,12
?,0.595,?,?,1.115,0.4015,?,?,?
?,?,?,0.165,?,0.507,?,?,?
M,?,?,0.19,1.494,0.588,?,?,15
?,0.665,0.535,?,?,?,?,?,14
?,0.535,?,?,?,?,0.1385,?,?
?,?,?,0.13,0.523,?,?,?,?
?,?,?,0.13,0.5225,?,0.133,?,?
?,0.475,0.375,?,?,0.2775,?,0.155,?
I,0.36,?,?,?,0.105,0.046,0.075,?
M,0.55,?,?,?,0.328,?,?,15
M,0.53,?,0.16,0.883,?,0.164,?,15
