@relation dataset

@attribute region-centroid-col real
@attribute region-centroid-row real
@attribute short-line-density-5 real
@attribute short-line-density-2 real
@attribute vedge-mean real
@attribute vegde-sd real
@attribute hedge-mean real
@attribute hedge-sd real
@attribute intensity-mean real
@attribute rawred-mean real
@attribute rawblue-mean real
@attribute rawgreen-mean real
@attribute exred-mean real
@attribute exblue-mean real
@attribute exgreen-mean real
@attribute value-mean real
@attribute saturation-mean real
@attribute hue-mean real
@attribute class {brickface, cement, foliage, grass, path, sky, window}


@data

38.0,189.0,0.0,0.0,1.0,?,6.22222,?,29.0741,26.3333,35.2222,25.6667,?,18.4444,?,35.2222,0.271208,-2.04915,path
?,199.0,0.0,0.0,?,0.607407,1.05556,0.462963,17.5185,13.1111,17.8889,?,?,?,?,21.5556,0.393002,2.69011,grass
?,139.0,?,0.0,?,0.077778,?,0.088889,?,0.0,1.33333,0.0,-1.33333,2.66667,-1.33333,1.33333,0.777778,?,?
63.0,?,0.0,0.0,?,?,3.66667,6.08889,8.18519,6.55556,?,11.5556,-4.88889,-5.22222,?,11.5556,?,2.09315,grass
?,135.0,0.0,0.0,?,?,0.111111,0.172133,1.25926,0.777778,3.0,0.0,?,5.22222,-3.77778,3.0,1.0,-1.82221,window
235.0,88.0,?,0.0,0.611111,0.240741,0.944445,0.32963,?,?,6.44444,1.44444,-7.0,11.0,-4.0,6.44444,0.938492,-2.26954,foliage
67.0,32.0,0.0,0.0,?,1.06284,1.77778,?,126.222,?,142.222,121.333,-33.3333,48.0,?,142.222,0.190625,?,sky
188.0,182.0,0.0,0.0,?,0.742868,4.16667,2.12655,58.0,?,72.4444,49.6667,?,43.3333,-25.0,72.4444,0.314281,-1.99159,path
217.0,245.0,0.111111,?,3.16667,3.01662,2.16667,1.24276,9.74074,7.44444,7.11111,14.6667,?,-7.88889,?,?,?,2.06945,grass
9.0,171.0,0.0,0.0,?,1.00554,2.77778,1.64204,45.9259,41.0,57.2222,?,-14.7778,33.8889,-19.1111,57.2222,0.307943,-2.01072,path
?,?,0.222222,0.0,0.833333,?,1.0,0.444445,?,21.1111,26.3333,16.2222,-0.333333,15.3333,?,26.3333,0.382629,-1.57448,brickface
?,139.0,0.0,0.0,0.666667,0.177778,0.777778,0.207407,5.33333,6.55556,6.44444,?,3.66667,?,?,6.88889,0.566799,-1.00494,brickface
214.0,79.0,0.0,?,1.27778,0.862963,1.33333,0.533333,4.85185,?,?,?,?,13.1111,-4.55556,9.22222,0.791667,?,foliage
?,125.0,0.0,0.0,?,0.298142,0.888889,0.344265,?,0.0,?,0.333333,-3.44444,?,-2.44444,3.11111,1.0,?,foliage
83.0,53.0,?,0.0,0.555555,0.455419,0.722223,0.490652,123.444,112.333,138.222,119.778,-33.3333,44.3333,-11.0,138.222,?,?,sky
70.0,38.0,0.0,0.0,1.22222,?,1.0,?,58.0,50.0,74.3333,49.6667,?,?,?,74.3333,?,-2.0785,?
?,?,?,0.0,?,?,1.61111,?,23.8519,?,30.0,18.0,-0.888889,18.4444,-17.5556,30.0,0.398791,-1.59887,brickface
151.0,129.0,0.0,0.0,?,8.14157,0.722222,?,32.037,27.5556,?,27.4444,-13.4444,27.2222,-13.7778,41.1111,?,-2.0788,cement
98.0,144.0,0.0,?,0.222222,0.02963,0.333333,?,1.0,0.0,3.0,?,-3.0,6.0,-3.0,3.0,?,-2.0944,foliage
146.0,140.0,0.0,0.0,1.05556,0.462963,1.0,0.577778,6.33333,?,7.33333,3.77778,4.66667,?,-7.66667,?,?,-0.909267,?
?,237.0,?,?,2.27778,1.14342,?,2.56472,?,10.8889,10.0,18.7778,?,-9.66667,?,18.7778,?,1.99038,grass
155.0,27.0,?,?,1.05556,?,1.44445,?,?,132.556,?,133.444,-14.8889,27.1111,-12.2222,?,0.098472,-2.14672,sky
83.0,198.0,0.0,0.0,?,?,4.83333,3.00925,59.7778,53.1111,74.0,52.2222,-20.0,?,?,74.0,0.296314,-2.05057,path
94.0,?,0.0,0.0,6.61111,1.42075,1.0,0.516399,55.7407,?,69.5556,?,-20.5556,41.4444,-20.8889,69.5556,0.303071,-2.08549,?
?,111.0,?,0.0,2.55556,1.65552,?,1.59745,29.5926,25.4444,38.2222,25.1111,-12.4444,25.8889,-13.4444,?,?,-2.06472,cement
157.0,?,0.0,?,1.22222,1.24127,?,0.172133,18.9259,14.5556,26.8889,?,?,23.8889,-10.7778,26.8889,?,-2.16091,window
18.0,145.0,0.0,?,?,?,0.611111,0.374074,3.92593,5.55556,?,2.22222,4.88889,?,?,?,0.600529,-0.57094,?
?,191.0,0.0,0.111111,3.16667,2.78687,6.0,5.18545,60.2593,52.4444,?,52.1111,-23.4444,47.8889,-24.4444,?,0.320865,-2.07765,?
112.0,38.0,0.0,0.0,?,11.0743,1.11111,1.06805,64.6296,58.2222,78.4444,57.2222,-19.2222,?,-22.2222,78.4444,0.271659,?,?
?,133.0,?,0.0,0.055556,0.136083,0.055556,0.136083,0.37037,0.0,1.11111,0.0,-1.11111,2.22222,-1.11111,1.11111,?,-2.0944,window
222.0,145.0,?,0.0,0.0,0.0,0.0,?,?,0.0,?,0.0,0.0,0.0,0.0,0.0,?,?,?
217.0,208.0,0.0,0.0,?,2.16667,?,2.44445,16.0741,12.6667,14.4444,?,-10.2222,?,15.1111,21.1111,0.40213,?,grass
189.0,?,0.0,0.0,1.22222,1.0037,?,2.38902,48.5185,44.1111,?,?,-13.2222,?,-20.8889,59.8889,?,?,path
?,93.0,0.0,0.0,?,0.062963,0.166667,?,2.44444,?,5.44444,0.888889,-4.33333,9.0,?,5.44444,0.878395,-2.07507,window
97.0,?,0.0,0.0,?,0.507407,1.05556,?,?,?,6.88889,3.33333,4.44444,3.11111,-7.55556,7.66667,0.570106,-0.963048,brickface
21.0,64.0,0.0,0.0,?,?,20.2222,17.6291,31.0,?,?,30.3333,?,?,-2.0,38.0,0.400746,-2.59382,?
?,?,?,0.0,1.33333,1.11555,1.83333,1.84692,62.7037,?,78.7778,54.5556,-23.7778,48.2222,?,78.7778,?,-2.08494,path
41.0,150.0,?,0.0,?,1.94074,2.16667,1.5,?,?,29.2222,16.7778,-13.5556,?,-11.8889,29.2222,?,-2.13488,?
154.0,?,?,?,?,0.02963,0.444445,0.118518,?,7.77778,6.77778,3.33333,?,2.44444,-7.88889,7.77778,?,-0.820403,?
137.0,66.0,0.0,0.0,2.61111,?,?,?,28.4074,?,?,21.6667,-9.22222,29.4444,-20.2222,?,0.430558,?,brickface
46.0,238.0,0.0,?,1.05556,0.827759,?,?,?,9.66667,?,17.4444,-10.7778,?,12.5556,17.4444,0.445509,2.50823,grass
254.0,?,0.0,0.0,?,?,14.8333,?,36.6296,31.3333,?,32.3333,-15.8889,28.7778,-12.8889,46.2222,0.294845,-2.31687,path
175.0,14.0,0.0,0.0,0.888888,0.807371,?,0.779361,113.815,?,?,?,-41.1111,54.8889,?,132.111,?,-2.39111,?
?,48.0,0.0,0.0,?,0.207406,1.27778,1.26297,134.852,?,?,?,-21.8889,33.7778,-11.8889,?,0.126968,-2.27843,sky
223.0,?,?,0.0,3.77778,3.12457,7.16667,?,?,50.7778,72.7778,50.0,-21.2222,44.7778,-23.5556,72.7778,0.312834,?,path
?,176.0,?,0.111111,1.88889,1.14827,5.05556,2.85514,52.9259,46.3333,?,45.4444,-19.7778,?,-22.4444,67.0,0.32042,-2.05164,path
?,218.0,0.0,0.0,1.16667,0.744444,?,0.655555,13.7037,?,12.6667,?,-9.11111,?,12.2222,17.7778,0.401347,?,grass
107.0,?,?,0.0,?,0.516398,?,0.408248,126.778,?,141.889,122.667,?,45.3333,?,141.889,0.184022,?,?
84.0,51.0,0.0,0.0,1.77778,1.62963,?,0.888889,25.7407,22.6667,?,?,-9.22222,28.1111,-18.8889,?,0.446118,-1.87303,brickface
156.0,?,0.0,0.0,?,?,?,1.04074,136.296,129.778,146.333,132.778,-19.5556,30.1111,-10.5556,146.333,0.113055,-2.28076,sky
14.0,135.0,?,0.0,0.277778,0.062963,?,?,?,1.66667,6.0,1.0,-3.66667,9.33333,-5.66667,6.0,0.832275,-1.95855,window
?,183.0,0.111111,0.0,1.0,?,1.55556,?,43.1852,40.2222,52.0,37.3333,?,26.4444,-17.5556,?,0.28154,-1.88773,path
191.0,47.0,0.0,0.0,0.444445,?,?,0.38519,135.741,?,?,131.889,-20.2222,?,-11.5556,146.333,0.118399,-2.26255,sky
113.0,128.0,0.0,0.0,0.222222,0.074074,0.388889,0.151852,0.740741,0.0,2.22222,0.0,?,4.44444,?,?,1.0,?,foliage
?,?,0.0,0.0,?,0.062963,0.833333,0.122222,5.88889,7.0,7.44444,3.22222,3.33333,4.66667,?,7.44444,0.56746,-1.15184,?
?,60.0,0.0,?,?,0.785184,1.05556,?,19.3333,18.8889,24.7778,?,-1.33333,16.3333,?,?,0.419248,-1.62339,brickface
?,145.0,0.0,0.0,0.0,0.0,0.0,0.0,?,?,0.0,?,0.0,?,0.0,?,?,0.0,?
199.0,97.0,0.111111,0.0,?,1.25462,0.5,0.182574,47.8148,46.0,54.1111,43.3333,-5.44444,18.8889,?,?,0.199351,-1.83678,?
228.0,?,0.0,0.0,1.83333,2.20857,?,2.46456,16.8519,12.8889,24.4444,13.2222,-11.8889,?,-10.8889,?,0.475549,-2.12273,window
?,?,0.0,?,1.22222,0.740741,?,?,11.6296,?,9.66667,15.8889,-6.88889,-5.88889,?,15.8889,?,2.15664,?
?,?,?,?,0.722222,0.418518,5.83333,?,9.88889,?,17.0,6.66667,-11.6667,21.3333,-9.66667,17.0,0.676581,-2.15026,window
8.0,226.0,0.0,0.0,?,1.98513,1.11111,0.45542,18.0,14.0,?,24.2222,-12.0,-6.66667,18.6667,24.2222,0.424404,?,grass
?,120.0,?,?,0.833333,0.344444,1.05556,?,?,0.222222,4.44444,1.11111,-5.11111,?,-2.44444,?,0.962963,-2.29808,foliage
?,?,?,0.111111,25.5,12.7954,27.2778,15.931,49.8148,?,61.1111,?,?,33.8889,?,61.1111,?,-2.36049,foliage
?,?,0.0,?,1.5,1.00554,1.72222,?,?,?,12.0,17.2222,-7.44444,-4.11111,?,?,?,2.25533,grass
44.0,157.0,?,?,?,0.3,2.94444,7.61852,?,19.2222,24.2222,29.4444,?,-0.222222,?,29.4444,0.350043,?,grass
61.0,92.0,?,0.0,1.27778,1.06284,0.555555,0.620633,17.2593,12.8889,25.7778,13.1111,-13.1111,25.5556,?,25.7778,0.499695,-2.11184,window
102.0,179.0,0.111111,0.0,1.83333,1.53116,?,1.88168,49.1852,?,59.7778,?,-12.8889,31.7778,-18.8889,?,0.282687,-1.9704,path
221.0,107.0,?,0.0,?,0.211111,?,0.344444,2.22222,0.333333,5.33333,1.0,?,9.33333,-3.66667,5.33333,?,?,foliage
168.0,187.0,?,?,3.5,?,?,1.60208,58.0,52.5556,?,50.0,-16.3333,?,-24.0,71.4444,?,?,path
42.0,56.0,0.0,0.0,?,0.951851,1.33333,1.6,22.7407,21.1111,30.2222,16.8889,?,22.4444,-17.5556,30.2222,0.440708,-1.75941,brickface
98.0,?,?,0.0,0.555555,0.172133,0.388889,0.327731,?,0.0,2.77778,0.111111,-2.88889,5.44444,-2.55556,?,1.0,-2.12325,?
?,95.0,0.0,0.0,?,?,1.33333,1.26491,7.62963,?,10.7778,5.33333,-2.55556,9.44444,?,10.7778,0.512566,-1.74926,window
?,141.0,0.0,0.0,?,0.433333,0.777778,?,5.40741,?,?,3.0,?,?,-7.22222,7.0,0.574074,?,brickface
?,113.0,0.0,0.0,?,0.240741,0.722222,0.151852,5.48148,7.11111,6.33333,3.0,4.88889,2.55556,-7.44444,?,0.580026,-0.851202,?
144.0,?,?,0.0,1.11111,0.779364,1.38889,?,17.1111,?,18.0,?,-11.0,2.66667,?,?,0.324965,2.83482,grass
16.0,51.0,0.0,?,0.722223,?,0.833335,0.722649,122.963,110.667,?,?,-36.8889,53.4444,-16.5556,140.778,0.213813,-2.33046,sky
?,?,0.0,?,1.0,?,1.05555,0.907417,128.444,?,142.889,?,-27.6667,?,?,?,?,-2.27113,sky
158.0,?,0.0,0.0,0.388889,0.389682,?,4.04237,?,?,18.3333,23.4444,-11.3333,-2.0,?,23.4444,?,2.50525,grass
189.0,107.0,0.0,?,2.66667,0.699206,0.833333,0.72265,27.7778,23.4444,35.1111,24.7778,?,?,?,35.1111,0.332407,-2.2015,window
239.0,?,0.0,?,0.277778,0.062963,0.333333,0.177778,5.55556,7.0,?,?,4.33333,3.33333,-7.66667,7.22222,0.581349,-0.953435,brickface
104.0,103.0,0.111111,0.0,0.944445,0.534027,0.666667,?,?,52.2222,?,51.7778,-20.0,41.3333,-21.3333,72.6667,0.287394,?,cement
138.0,188.0,?,0.0,2.05556,1.35674,1.11111,0.750309,?,53.5556,74.8889,52.5556,-20.3333,43.6667,-23.3333,74.8889,0.299511,-2.04721,?
33.0,131.0,0.0,?,0.444444,?,1.0,?,?,?,?,0.222222,-1.55556,?,-1.55556,1.77778,0.407407,?,foliage
?,105.0,0.0,?,6.27778,2.31341,?,0.742867,15.1852,?,19.7778,13.1111,-7.55556,13.7778,?,19.7778,0.353768,-2.16157,window
143.0,?,0.0,0.0,1.11112,0.75031,1.27778,?,?,116.778,?,122.556,?,46.0,-14.3333,142.667,0.181475,-2.32692,sky
?,?,0.0,0.0,1.44444,1.4963,5.11111,?,29.963,26.8889,?,?,-9.22222,19.4444,-10.2222,?,0.275863,-2.08357,path
210.0,73.0,?,?,1.33333,?,1.0,?,42.2593,40.5556,47.3333,38.8889,-5.11111,15.2222,-10.1111,47.3333,0.178226,-1.89349,cement
5.0,118.0,0.0,0.0,0.222222,0.074074,0.333333,?,0.925926,0.0,2.55556,?,?,4.88889,-2.11111,2.55556,1.0,-2.17128,?
?,?,0.0,0.0,?,0.860663,1.38889,0.975629,49.6667,?,?,43.3333,?,39.6667,-19.0,62.8889,0.319474,?,?
166.0,154.0,?,0.0,0.111111,0.02963,0.444444,0.074074,0.703704,0.222222,1.88889,?,-1.44444,?,-2.11111,1.88889,1.0,?,?
38.0,?,?,0.0,3.44444,2.12568,3.44445,1.20493,55.963,49.0,70.2222,48.6667,?,?,-21.8889,?,?,?,path
?,?,0.0,0.0,0.333333,0.516398,?,0.516398,0.666667,0.0,1.77778,0.222222,-2.0,3.33333,-1.33333,?,1.0,-2.15073,foliage
18.0,?,?,0.0,?,0.651852,0.277778,?,0.555556,0.111111,1.33333,0.222222,-1.33333,2.33333,?,1.33333,0.416667,-2.15956,foliage
?,18.0,0.0,0.0,?,1.02222,1.16667,0.211111,137.889,131.444,147.889,?,-19.3333,30.0,-10.6667,147.889,?,-2.27511,sky
?,194.0,0.0,0.0,2.61111,1.92546,5.11111,3.41673,41.037,37.0,?,?,-12.1111,?,-14.1111,?,0.275415,-2.0452,path
29.0,81.0,?,0.0,2.61111,3.75185,2.72222,?,20.4815,?,26.1111,?,-1.11111,?,?,26.1111,0.412662,-1.56634,brickface
80.0,116.0,?,0.0,?,?,1.55556,?,?,21.2222,27.5556,16.3333,?,17.5556,-16.1111,27.5556,0.407364,-1.63224,brickface
?,120.0,0.111111,0.0,1.33333,1.03279,2.22222,?,21.5556,17.5556,28.6667,18.4444,-12.0,21.3333,-9.33333,28.6667,0.38675,?,?
244.0,194.0,0.0,0.0,1.72222,1.14342,2.27778,2.03761,?,44.4444,61.6667,43.1111,-15.8889,35.7778,-19.8889,61.6667,0.300853,-2.02184,path
101.0,72.0,0.0,0.0,2.5,?,1.77778,?,?,?,35.7778,?,-8.77778,27.8889,-19.1111,35.7778,?,-1.84616,brickface
188.0,73.0,0.0,?,1.05556,0.928958,2.27778,1.99351,?,35.6667,49.7778,35.1111,-13.5556,28.7778,-15.2222,?,0.297096,-2.05496,cement
86.0,33.0,0.0,?,?,0.611111,?,0.196295,?,?,?,?,-39.3333,?,?,130.556,0.258604,-2.26623,sky
?,44.0,?,0.0,?,0.122222,1.0,0.755557,99.0,85.0,121.444,90.5556,-42.0,67.3333,?,121.444,0.300019,-2.25454,sky
207.0,217.0,0.0,0.0,0.777778,0.474074,2.05556,0.907408,6.2963,5.0,4.22222,9.66667,-3.88889,-6.22222,10.1111,9.66667,0.582612,?,?
?,106.0,0.0,0.0,0.611111,?,1.27778,?,?,0.333333,4.88889,1.33333,?,8.11111,-2.55556,?,?,-2.27407,foliage
?,49.0,0.0,?,1.05556,?,?,1.06805,124.037,113.111,140.444,118.556,-32.7778,49.2222,-16.4444,?,0.194622,?,?
?,129.0,0.0,0.0,0.222222,0.02963,0.111111,0.02963,0.518518,0.0,1.55556,0.0,?,3.11111,-1.55556,1.55556,1.0,-2.0944,?
?,188.0,0.0,?,?,0.688531,2.33333,?,?,?,14.0,?,-7.22222,-5.22222,?,?,?,2.20467,grass
?,139.0,?,?,1.05556,?,0.722222,?,4.18518,1.88889,?,2.11111,?,13.1111,?,8.55556,?,?,window
37.0,61.0,0.0,0.0,0.611111,0.490653,?,0.272164,?,95.1111,?,103.778,?,57.7778,-15.8889,?,?,-2.3674,?
92.0,44.0,0.111111,0.0,0.722223,0.574135,?,1.04881,123.815,?,138.111,119.889,-31.1111,42.8889,-11.7778,138.111,?,-2.36728,?
143.0,?,?,0.0,2.33333,2.319,2.77778,2.52689,?,49.1111,67.8889,47.8889,?,38.7778,-21.2222,?,0.296251,-2.02862,path
45.0,149.0,0.0,0.0,2.5,3.32222,0.666666,0.266666,16.8148,13.4444,23.7778,13.2222,?,20.8889,-10.7778,23.7778,0.453341,-2.06925,cement
170.0,?,0.0,0.0,0.0,?,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,?
?,45.0,0.0,0.0,0.888891,0.455421,1.11111,?,122.852,110.556,140.0,118.0,-36.8889,51.4444,?,140.0,?,-2.35936,sky
114.0,?,0.0,0.0,3.16667,?,4.5,2.50111,57.8148,?,72.5556,49.7778,?,44.2222,-24.1111,72.5556,0.314092,-2.0338,path
69.0,?,0.111111,?,3.11111,8.20741,?,?,21.4444,20.4444,28.1111,15.7778,-3.0,20.0,-17.0,28.1111,0.437404,-1.65988,brickface
104.0,124.0,0.0,0.0,?,0.151852,0.666667,0.311111,6.18518,7.66667,7.33333,3.55556,?,3.44444,-7.88889,7.88889,0.550044,-0.95784,?
?,98.0,0.0,0.0,3.94444,45.8407,?,39.2889,?,?,10.4444,?,-9.55556,14.7778,?,10.4444,0.872146,?,foliage
?,?,0.0,0.0,2.83333,0.722649,2.05555,0.574133,?,52.5556,76.4444,53.7778,-25.1111,46.5556,-21.4444,76.4444,0.317206,?,cement
?,201.0,0.0,?,1.44444,?,?,0.551852,7.77778,6.22222,5.55556,11.5556,?,-6.66667,11.3333,11.5556,0.543201,?,?
?,118.0,0.0,0.0,2.83333,5.5,?,0.874073,?,15.5556,26.5556,16.1111,?,21.4444,-9.88889,26.5556,0.418712,-2.14718,?
?,189.0,0.0,0.0,3.77778,2.23772,3.77778,1.54441,?,51.3333,72.4444,51.4444,-21.2222,42.1111,-20.8889,?,0.295523,-2.10133,path
67.0,?,0.0,0.0,?,0.507407,0.833333,0.388889,?,22.6667,30.6667,?,-3.22222,20.7778,-17.5556,30.6667,0.415751,-1.70091,brickface
?,81.0,0.0,?,?,0.418518,?,0.296296,3.48148,1.0,7.44444,2.0,-7.44444,11.8889,-4.44444,7.44444,0.881217,-2.24813,foliage
33.0,?,?,?,0.555555,0.074074,0.5,?,?,11.7778,24.1111,12.4444,?,24.0,-11.0,24.1111,0.510924,?,window
140.0,116.0,0.111111,?,?,1.22323,?,0.501848,?,?,56.5556,?,-13.4444,29.2222,?,?,?,?,cement
?,?,0.0,0.0,2.5,1.11056,?,0.93492,57.7407,50.4444,72.6667,?,?,44.7778,?,?,?,?,cement
39.0,111.0,?,?,0.722222,?,0.888889,?,?,7.0,7.66667,?,?,?,-7.77778,7.88889,0.562919,?,?
214.0,236.0,?,?,0.5,?,3.77778,1.36296,16.5926,12.8889,?,?,?,-5.77778,?,22.2222,0.419597,?,grass
15.0,189.0,0.0,?,?,0.922221,?,?,?,28.3333,40.3333,?,?,24.6667,?,40.3333,0.315363,-2.03798,path
58.0,232.0,0.0,?,2.5,1.45555,2.55556,0.829629,14.7037,11.2222,?,?,-10.4444,-3.44444,13.8889,19.3333,?,2.40285,?
?,?,0.0,0.0,?,0.874075,?,?,54.0,49.4444,?,?,-13.6667,31.3333,-17.6667,64.4444,0.252669,-2.00361,?
123.0,94.0,0.0,?,?,0.077778,0.833333,?,21.4444,16.8889,?,?,-13.6667,?,-13.3333,30.4444,0.452182,-2.10097,window
?,67.0,?,0.0,1.0,0.88889,2.44444,3.18518,20.0,19.5556,25.8889,14.5556,?,17.6667,?,25.8889,?,-1.6232,brickface
130.0,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,?,0.0,?,0.0,0.0,?
?,98.0,0.0,0.0,?,0.611616,1.33333,0.918937,2.03704,0.555556,?,2.0,-4.44444,4.55556,?,3.55556,0.883333,-2.5489,foliage
28.0,?,0.0,?,?,?,?,2.08344,55.8889,49.7778,69.2222,48.6667,-18.3333,40.0,?,69.2222,?,?,path
173.0,90.0,?,0.0,0.666667,0.266666,0.833333,0.344444,23.5185,17.3333,34.4444,18.7778,-18.5556,32.7778,?,34.4444,?,-2.18244,?
24.0,172.0,?,0.0,1.16667,0.91287,9.77778,?,42.037,?,50.3333,37.7778,-12.1111,24.8889,?,?,?,?,path
23.0,?,0.0,0.0,0.5,?,?,0.151852,0.518518,0.0,1.55556,0.0,?,?,-1.55556,?,0.777778,-2.0944,?
?,139.0,0.0,?,?,1.68215,1.83333,?,48.2222,42.5556,60.4444,41.6667,-17.0,36.6667,-19.6667,60.4444,0.310818,-2.04424,cement
68.0,122.0,?,?,?,2.02941,1.55556,?,20.1481,?,31.1111,15.1111,-17.7778,32.8889,-15.1111,31.1111,0.54583,-2.06017,foliage
130.0,?,?,0.0,1.11111,?,?,0.836659,59.4815,54.2222,?,53.3333,?,34.2222,-18.4444,70.8889,0.249001,-2.04242,?
55.0,?,0.111111,0.0,?,1.29529,1.38889,?,12.5185,?,?,16.8889,-6.55556,-6.55556,?,16.8889,?,?,?
?,?,0.0,0.0,4.27778,3.7619,?,0.658281,62.4074,53.4444,?,54.6667,-26.8889,50.1111,-23.2222,79.1111,0.324556,-2.14451,cement
18.0,90.0,0.0,0.0,1.05556,?,0.666667,0.222222,2.81481,0.555556,?,1.0,-6.77778,?,?,?,0.926146,?,foliage
?,180.0,0.0,0.0,?,2.98453,3.33333,?,?,54.8889,?,53.7778,-21.5556,46.4444,-24.8889,77.5556,0.306906,?,path
38.0,146.0,0.0,0.0,0.5,0.122222,0.666667,0.266667,5.11111,5.66667,?,?,1.66667,5.0,-6.66667,6.88889,0.571429,?,?
147.0,51.0,?,0.0,?,?,1.5,1.94444,?,117.0,140.222,121.778,-28.0,41.6667,-13.6667,?,0.165549,-2.30669,sky
235.0,22.0,0.0,?,1.16667,0.388882,?,?,137.63,?,?,132.889,-16.5556,30.7778,-14.2222,147.889,0.109655,-2.1462,sky
205.0,?,0.0,?,1.27778,0.998145,?,1.12382,49.4815,44.7778,?,?,-14.1111,33.5556,-19.4444,60.6667,?,?,path
85.0,?,?,0.0,4.5,4.32435,6.05556,4.32777,58.5926,52.2222,72.6667,?,?,42.2222,?,?,0.300181,?,path
?,?,0.0,0.0,1.22222,1.76296,2.55556,?,18.963,?,23.8889,14.2222,-0.555556,14.7778,?,?,0.402507,-1.54421,?
?,163.0,0.0,0.0,?,2.28519,?,?,40.0,34.5556,?,?,-16.3333,?,-7.66667,48.1111,0.263846,-2.51749,path
?,159.0,0.0,0.0,3.55556,7.54074,14.8333,152.7,36.6296,?,?,32.3333,-15.8889,28.7778,-12.8889,?,?,?,path
33.0,104.0,0.111111,0.0,?,0.962963,?,5.04074,?,20.2222,24.8889,?,0.111111,14.1111,-14.2222,24.8889,0.380367,?,?
214.0,161.0,0.0,0.0,3.72222,0.729634,11.5,18.9222,40.4444,?,?,36.3333,?,27.6667,-12.3333,49.6667,0.298056,-2.19894,path
245.0,140.0,?,0.0,0.166667,?,0.611111,?,?,?,0.777778,0.222222,?,?,-0.555556,0.777778,0.240741,-2.0944,?
?,207.0,0.222222,0.0,2.72222,0.928957,0.888889,0.272165,12.1481,?,10.3333,?,?,-5.44444,?,?,0.432389,2.21726,?
191.0,165.0,?,0.0,0.333333,0.177778,2.44444,1.14074,14.2963,12.0,?,16.7778,?,-0.555556,?,?,0.318129,?,grass
?,36.0,?,0.0,?,0.250924,?,0.278887,7.51852,?,13.0,4.77778,-8.22222,?,?,13.0,0.648657,-2.09729,?
?,183.0,0.0,0.0,1.05555,1.18165,3.38889,1.59745,54.037,48.8889,?,46.6667,?,37.5556,?,66.5556,0.298622,-1.97496,path
136.0,92.0,0.0,0.0,8.05555,44.7741,1.0,0.177777,15.4074,11.6667,?,11.8889,-11.2222,?,?,22.6667,0.53355,-2.11327,window
1.0,189.0,0.0,0.0,1.38889,0.462963,?,84.5963,?,?,?,20.3333,-7.44444,17.2222,-9.77778,29.3333,0.233097,?,?
?,?,0.0,0.0,1.0,0.311116,?,5.05185,?,?,150.889,142.556,-19.6667,22.3333,?,?,0.092773,-2.52165,sky
34.0,?,0.0,?,?,0.505525,1.61111,0.879815,12.8148,?,?,18.0,-6.44444,-9.11111,?,18.0,0.463569,1.99318,grass
8.0,162.0,0.111111,0.0,?,2.06296,0.333333,0.133333,8.37037,6.66667,12.0,6.44444,-5.11111,?,-5.77778,?,0.484805,-2.04495,cement
201.0,92.0,0.0,0.0,?,0.211111,0.77778,0.296297,?,74.8889,115.444,80.6667,-46.3333,75.3333,-29.0,115.444,0.35122,-2.2428,sky
169.0,136.0,0.0,0.0,0.277778,0.062963,0.833333,0.211111,2.07407,0.666667,4.88889,0.666667,?,?,-4.22222,4.88889,0.877513,?,?
174.0,50.0,0.0,0.0,1.0,0.760115,0.944445,0.952579,?,?,125.778,101.889,?,55.0,-16.6667,125.778,?,-2.3373,?
?,71.0,?,0.0,2.11111,?,2.83333,?,22.7778,?,29.6667,?,-2.66667,20.6667,-18.0,29.6667,0.43357,-1.66796,?
?,167.0,0.111111,0.0,?,0.518518,2.05556,0.996296,14.5926,12.8889,13.7778,17.1111,-5.11111,-2.44444,7.55556,?,?,2.30573,grass
?,245.0,0.111111,0.0,1.38889,0.551851,2.22222,3.94074,14.2222,?,13.1111,18.4444,-9.33333,?,?,?,0.389695,2.39543,grass
?,120.0,0.0,?,?,4.07778,8.33333,53.9556,39.3333,35.4444,?,34.7778,-11.6667,25.3333,-13.6667,47.7778,0.272752,-2.04675,cement
121.0,62.0,0.0,0.0,?,0.207408,1.11111,0.562963,125.407,?,138.778,121.111,-27.2222,?,-12.8889,?,0.161658,-2.31596,sky
?,58.0,0.0,?,1.16667,0.388888,?,0.533334,93.1482,77.3333,118.778,83.3333,-47.4444,76.8889,-29.4444,118.778,0.348863,?,sky
