@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

?,10.0,?,121.54024,37.9
?,?,?,121.53951,?
561.9845,5.0,?,121.54391,?
?,?,?,?,54.8
?,5.0,24.97937,121.54245,43.1
?,3.0,?,?,32.1
?,7.0,?,121.53642,40.3
287.6025,6.0,?,?,?
5512.038,1.0,?,?,18.8
?,?,?,?,22.1
?,1.0,?,121.53372,41.4
?,9.0,?,?,58.1
?,?,?,121.53737,39.3
?,4.0,24.96108,?,?
1164.838,?,24.99156,121.53406,?
?,?,24.9824,?,?
?,?,24.97744,121.54458,70.1
?,?,24.97544,?,?
?,?,?,?,?
?,?,?,?,47.7
2275.877,?,24.96314,121.51151,29.3
?,?,?,?,?
1360.139,?,?,?,?
?,?,24.97528,121.54541,47.9
?,?,?,121.53885,?
1487.868,2.0,?,?,?
?,5.0,?,?,?
?,5.0,24.95593,?,?
557.478,?,?,121.53797,?
451.2438,5.0,24.97563,?,?
?,?,?,?,22.1
?,7.0,24.98281,?,25.0
?,1.0,24.97349,?,?
?,?,24.97841,?,49.3
?,7.0,24.98419,121.54243,?
?,?,?,?,27.3
?,2.0,?,121.51458,22.9
1360.139,?,24.95204,121.54842,25.3
?,?,?,?,?
?,5.0,?,?,?
4082.015,0.0,24.94155,?,?
?,?,?,?,18.2
?,?,?,121.53758,34.7
?,6.0,24.98748,?,34.1
533.4762,4.0,?,121.54765,53.9
488.8193,?,?,?,38.3
463.9623,?,24.9703,121.54458,42.0
640.7391,?,24.97563,?,?
?,?,24.94684,?,13.4
?,?,24.94925,121.49542,13.2
?,?,?,121.53842,?
?,?,24.95402,121.55282,20.7
?,?,?,?,27.0
?,5.0,?,121.53737,?
289.3248,?,24.98203,121.54348,?
?,?,24.94968,?,13.7
371.2495,?,?,121.54059,41.9
?,7.0,24.95744,121.53711,?
?,1.0,?,121.49542,?
336.0532,?,?,121.53438,?
?,?,24.96365,?,?
?,6.0,?,121.54516,?
?,3.0,24.96303,?,27.7
?,?,?,?,55.0
995.7554,?,?,121.54915,25.3
?,8.0,?,?,44.3
?,?,?,?,50.7
?,?,24.96674,?,56.8
?,?,24.97964,?,?
?,5.0,24.98746,?,42.0
?,9.0,24.97433,121.5431,?
?,?,24.97563,?,?
424.5442,?,?,?,?
4082.015,?,?,?,?
379.5575,?,?,?,?
?,1.0,?,121.54842,?
616.4004,?,24.97723,?,?
?,?,?,121.51237,?
?,2.0,?,121.53381,?
1414.837,1.0,?,121.54887,?
533.4762,4.0,?,?,?
?,?,?,121.53964,?
?,7.0,24.96725,?,48.1
2707.392,3.0,?,?,17.7
?,?,?,121.54464,43.7
?,?,?,?,50.8
?,?,24.9512,121.549,27.0
?,?,24.94297,?,18.3
?,?,?,?,?
3947.945,0.0,?,?,25.3
?,?,?,121.53059,?
?,?,?,?,43.2
?,4.0,?,?,21.8
?,?,24.9492,121.53076,?
?,?,?,?,41.0
?,5.0,24.96674,121.54067,51.8
?,9.0,?,121.5431,?
617.4424,3.0,?,?,?
289.3248,?,?,?,51.0
?,?,24.97433,?,62.2
?,?,?,121.53411,38.2
170.1289,1.0,?,?,?
?,?,?,?,?
208.3905,?,24.95618,121.53844,?
392.4459,6.0,24.96398,121.5425,30.5
?,?,24.97744,121.54458,?
?,?,?,121.54308,?
?,1.0,24.95204,121.54842,?
592.5006,?,?,?,?
2147.376,3.0,?,121.51284,28.4
?,?,?,121.54067,?
196.6172,7.0,?,121.54224,?
2102.427,?,?,?,23.1
393.2606,6.0,24.96172,?,7.6
143.8383,?,?,121.54142,?
737.9161,2.0,?,121.54739,?
?,?,24.94375,121.47883,?
?,?,?,?,?
1583.722,?,24.96622,121.51709,?
?,?,?,?,59.6
?,5.0,?,?,?
492.2313,5.0,24.96515,121.53737,?
?,4.0,?,?,?
?,?,24.9711,?,?
279.1726,?,?,?,?
?,?,24.96571,?,?
?,4.0,?,?,?
383.8624,5.0,?,121.54391,?
124.9912,?,?,?,?
?,?,?,?,?
?,?,?,?,?
2147.376,?,?,?,30.7
482.7581,5.0,24.97433,121.53863,37.5
373.3937,?,?,?,39.5
186.9686,6.0,?,121.54211,?
?,?,?,?,?
390.5684,5.0,24.97937,121.54245,46.8
?,6.0,24.96495,?,?
942.4664,?,?,?,43.5
492.2313,5.0,?,?,?
?,?,24.98203,?,?
1559.827,3.0,?,?,28.9
?,?,24.97017,?,37.5
492.2313,?,?,?,40.1
1360.139,1.0,24.95204,?,?
?,5.0,24.97563,121.54694,45.5
?,?,24.9711,?,?
489.8821,?,?,121.54494,43.2
3780.59,0.0,?,?,?
?,?,?,?,39.7
170.7311,?,24.96719,121.54269,48.5
?,?,?,?,?
?,?,24.95204,121.54842,?
376.1709,?,?,?,40.9
?,?,24.94297,?,?
?,?,24.94155,121.50381,?
1264.73,0.0,?,121.52954,18.3
?,4.0,?,121.53464,?
?,?,?,121.54245,?
?,?,24.97886,121.53464,?
?,8.0,?,?,57.8
616.4004,3.0,?,121.53767,?
4066.587,0.0,?,121.50342,11.6
?,?,24.96674,121.54067,?
?,?,24.9711,?,?
1236.564,1.0,24.97694,?,?
?,6.0,?,?,?
330.0854,?,?,121.54011,43.4
515.1122,5.0,?,121.5432,?
1962.628,?,?,121.55481,?
?,?,24.94741,?,?
383.8624,5.0,24.98085,121.54391,?
90.45606,?,24.97433,121.5431,?
401.8807,4.0,24.98326,?,?
?,?,?,?,45.2
?,?,?,?,?
?,?,?,121.49507,?
181.0766,9.0,?,121.54262,?
1144.436,?,?,?,?
?,?,24.97493,?,?
4449.27,?,?,?,?
?,8.0,?,?,?
2147.376,?,24.96299,121.51284,?
4082.015,?,24.94155,121.50381,?
2615.465,?,24.95495,?,21.8
?,?,24.97285,121.5173,?
?,?,24.96322,?,?
?,0.0,?,121.56627,22.0
?,?,?,121.54312,44.3
?,?,24.94297,121.50342,?
616.5735,?,?,121.53642,42.3
?,?,?,?,37.8
57.58945,7.0,24.9675,?,?
