@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real
@attribute attr_52 real
@attribute attr_53 real
@attribute attr_54 real
@attribute attr_55 real
@attribute attr_56 real
@attribute attr_57 real
@attribute attr_58 real
@attribute attr_59 real
@attribute attr_60 real
@attribute attr_61 real
@attribute attr_62 real
@attribute attr_63 real
@attribute attr_64 real
@attribute attr_65 real
@attribute attr_66 real
@attribute attr_67 real
@attribute attr_68 real
@attribute attr_69 real
@attribute attr_70 real
@attribute attr_71 real
@attribute attr_72 real
@attribute attr_73 real
@attribute attr_74 real
@attribute attr_75 real
@attribute attr_76 real
@attribute attr_77 real
@attribute attr_78 real
@attribute attr_79 real
@attribute attr_80 real
@attribute attr_81 real
@attribute attr_82 real
@attribute attr_83 real
@attribute attr_84 real
@attribute attr_85 real
@attribute attr_86 real
@attribute attr_87 real
@attribute attr_88 real
@attribute attr_89 real
@attribute attr_90 real
@attribute attr_91 real
@attribute attr_92 real
@attribute attr_93 real
@attribute attr_94 real
@attribute attr_95 real
@attribute attr_96 real
@attribute attr_97 real
@attribute attr_98 real
@attribute attr_99 real
@attribute attr_100 real
@attribute attr_101 real
@attribute attr_102 real
@attribute attr_103 real
@attribute attr_104 real
@attribute attr_105 real


@data

?,3150.0,920.0,?,190.0,?,16.0,1200.0,?,56.2,?,?,?,?,?,239.5,12456.6,?,?,?,1755.0,?,?,?,3758.77,42587.0,?,?,?,?,?,297210.1,?,?,179.63,?,?,757.8,861.8,1755.0,8018.0,?,60.53,3538.71,31940.25,610502.7,6788.0,54.2,59.4,?,?,?,?,?,6228.3,?,795.0,818.5,1755.0,8001.0,?,?,3347.72,?,589389.6,5728.0,?,?,?,262789.0,2931.4,54.2,59.88,3114.15,?,?,?,?,8013.0,?,56.45,?,?,?,?,?,?,?,?,?,52.8,217.0,?,15.0,733.8,?,1755.0,?,?,?,2978.26,41407.0,601988.1,2200.0,410.0
?,7600.0,1140.0,?,400.0,963.81,23.0,?,?,106.0,103.03,3.15,685697.5,3526.1,?,208.8,17584.3,15.0,1408.4,1473.5,8842.18,?,105.52,105.32,12113.01,45966.0,1188995.8,?,103.0,?,2.65,?,?,100.4,156.6,13188.23,?,?,1584.3,8776.71,?,101.0,?,?,?,1067772.0,3561.0,?,?,?,602224.7,?,97.2,104.4,?,15.0,?,?,?,8735.0,98.12,98.45,13596.37,22983.0,973523.7,3157.0,92.8,96.49,?,552124.4,3896.7,?,?,4396.08,?,1294.2,?,?,?,95.35,94.34,?,?,?,?,86.2,?,?,?,2790.6,94.1,334.8,?,15.0,1143.8,1316.3,8364.78,8393.0,90.95,?,?,44835.0,?,?,?
?,4800.0,?,?,100.0,?,15.0,?,?,41.0,?,?,?,1217.5,34.4,?,?,15.0,614.0,608.2,1755.0,7773.0,?,?,?,39066.0,524764.8,1580.0,40.3,40.84,1.15,?,?,34.1,214.35,4866.83,15.0,573.7265312999999,?,?,6714.0,43.4,?,1535.16,29299.5,466212.2,?,?,40.21,1.52,143737.7,1284.5,33.5,?,3244.55,?,554.0819663,?,1755.0,?,?,34.76,1527.55,19533.0,?,?,?,?,0.92,134548.4,?,?,71.45,1622.28,15.0,?,680.5,?,5565.0,41.03,33.37,1601.79,?,403875.0,2693.0,36.2,?,?,134312.5,?,31.43,?,3994.7,15.0,?,765.8,?,?,38.7,?,1653.06,37933.0,?,1200.0,170.0
1.0,685.0,202.0,13.7,?,459.54,4.0,?,2580.93,12.1,?,?,?,287.2,13.6,17.03,154.4,12.0,?,211.1,?,1649.0,?,10.06,392.96,?,?,2952.0,?,?,1.99,?,322.5,12.67,56.6,610.4,12.0,165.1,208.6,1504.36,1582.0,?,9.79,?,32776.0,129102.4,2649.0,?,6.97,?,?,388.9,?,42.45,457.8,12.0,167.9,209.6,1450.47,1507.0,?,?,508.64,24582.0,123618.0,?,?,5.44,?,?,?,?,?,305.2,?,180.3715071,?,?,1450.0,?,8.85,?,16388.0,121857.2,1381.0,?,?,3.0,27231.21,?,9.85,14.15,?,12.0,197.6795574,?,?,?,9.73,8.34,?,8194.0,?,165.0,?
1.0,?,800.0,1230.0,?,?,13.0,?,?,203.8,?,6.46,1640293.0,?,229.3,393.3,?,11.0,2738.8,3148.0,9248.4,?,?,?,?,?,?,6370.0,?,154.36,5.33,1523166.6,?,210.7,294.98,52083.6,11.0,2595.2,?,?,9396.0,148.76,159.0,9700.0,?,?,?,?,?,?,?,8146.1,188.9,196.65,34722.4,?,2284.4,?,9297.06,?,140.9,?,10149.0,?,?,7045.0,160.0,141.34,?,1341072.8,8245.0,?,98.33,?,?,?,2526.4,9254.28,?,136.56,138.8,?,12393.0,?,?,?,?,4.09,?,?,147.6,?,73143.5,14.0,2220.6,2244.1,?,9286.0,?,140.2,?,48260.0,?,?,?
1.0,?,640.0,?,420.0,?,12.0,?,6790.0,203.8,162.84,6.46,1640293.0,?,229.3,393.3,?,?,?,?,9248.4,?,?,169.5,?,?,?,?,?,?,?,1523166.6,12930.0,?,?,52083.6,?,2595.2,?,?,9396.0,148.76,159.0,?,37179.0,1908975.7,5909.0,177.6,147.44,6.88,?,?,?,196.65,34722.4,11.0,2284.4,2627.5,?,?,?,146.2,10149.0,24786.0,1681849.3,?,160.0,141.34,?,?,8245.0,173.8,?,17361.2,11.0,2451.2,2526.4,9254.28,?,136.56,138.8,?,12393.0,1732937.5,?,?,134.8,4.09,1284199.4,?,147.6,432.4,?,14.0,?,2244.1,9231.76,?,136.6,140.2,?,?,?,?,?
?,?,?,1158.4,640.0,?,11.0,5700.0,?,?,198.55,?,1622664.0,?,306.7,83.53,16471.38,?,2871.3,?,9132.66,?,?,178.3,11568.0,12732.0,2435004.3,?,203.8,162.84,?,1640293.0,?,229.3,393.3,?,11.0,2738.8,3148.0,?,?,158.63,?,?,49572.0,2318397.0,?,190.3,154.36,5.33,1523166.6,12930.0,210.7,294.98,?,11.0,?,3000.0,9329.64,?,148.76,159.0,9700.0,37179.0,?,?,177.6,147.44,?,1451175.9,?,?,196.65,34722.4,11.0,?,2627.5,9297.06,9347.0,?,146.2,10149.0,24786.0,?,7045.0,160.0,141.34,?,1341072.8,?,?,?,?,11.0,2451.2,2526.4,9254.28,?,136.56,138.8,?,?,1732937.5,5800.0,?
?,1150.0,380.0,575.0,500.0,590.68,?,5300.0,3131.0,?,204.02,?,?,?,276.1,334.1,65885.5,11.0,3499.4,3823.6,9784.77,?,?,212.1,7966.5,?,2217708.7,3098.0,?,216.48,?,?,?,292.4,250.58,?,11.0,3447.8,3676.1,?,?,?,?,?,38196.0,2310101.4,4242.0,?,?,?,1670609.2,?,300.5,?,?,?,3355.8,3686.3,?,?,179.96,?,11763.0,25464.0,2303248.1,6458.0,224.7,?,?,1622664.0,15001.6,?,83.53,?,?,?,?,9132.66,?,?,178.3,11568.0,12732.0,2435004.3,?,203.8,162.84,6.46,?,10855.3,229.3,?,69444.8,11.0,2738.8,3148.0,?,?,?,?,10082.0,?,2318397.0,?,?
1.0,2110.0,540.0,189.9,90.0,?,5.0,690.0,?,?,37.16,2.28,120470.6,1861.2,?,?,?,15.0,?,?,1755.0,?,?,28.87,?,18966.5,390388.5,?,?,36.56,?,115107.4,?,28.61,?,?,15.0,?,582.9,?,4758.0,?,27.13,1859.5,9483.25,408321.5,3321.0,31.4,?,?,116552.6,1430.8,27.68,?,?,?,763.2,582.8,?,4695.0,32.83,?,1936.75,36818.0,415431.1,?,?,?,2.68,?,1571.1,?,?,2162.1,15.0,412.0,768.0,1755.0,4630.0,31.3,23.87,1991.43,27613.5,413834.5,3302.0,29.5,?,?,92354.2,?,?,73.95,1441.4,15.0,431.1,550.4,?,4252.0,?,21.54,2134.49,18409.0,?,?,110.0
