@relation dataset

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {CYT, ERL, EXC, ME1, ME2, ME3, MIT, NUC, POX, VAC}


@data

?,0.61,0.47,0.13,0.5,0.0,0.48,0.22,MIT
0.43,?,?,?,0.5,0.0,0.53,0.22,MIT
0.64,0.62,0.49,0.15,?,?,0.53,?,MIT
?,0.44,?,?,0.5,0.0,0.54,?,?
0.42,0.44,0.48,?,0.5,0.0,?,0.22,MIT
?,?,0.56,?,?,?,0.49,?,CYT
0.5,?,?,0.65,0.5,?,0.53,0.22,MIT
0.48,0.45,0.59,0.2,0.5,0.0,?,0.34,NUC
0.55,0.5,0.66,0.36,0.5,0.0,?,?,MIT
0.4,0.39,?,0.15,?,?,?,?,CYT
?,?,?,0.21,0.5,?,?,0.27,NUC
?,?,0.59,0.2,0.5,?,?,?,NUC
0.4,?,0.57,?,?,?,0.53,?,CYT
0.6,?,0.52,0.46,?,0.0,?,0.22,?
?,?,?,?,?,0.0,0.46,0.22,?
?,0.44,0.52,?,0.5,?,?,?,?
0.47,0.39,0.5,?,?,0.0,0.49,0.4,CYT
0.58,0.47,?,?,0.5,?,0.51,0.26,?
0.5,0.34,?,0.21,0.5,?,0.49,0.22,NUC
0.61,0.6,0.55,0.21,0.5,0.0,?,0.25,?
0.45,0.4,?,?,0.5,?,0.5,0.22,?
?,?,?,?,0.5,?,0.51,?,CYT
0.73,?,?,0.3,?,?,?,0.22,CYT
?,0.53,0.52,0.13,?,0.0,?,?,?
?,?,?,?,?,?,?,?,CYT
0.51,?,?,?,0.5,0.0,?,?,?
0.59,?,?,0.19,?,0.0,0.59,0.27,CYT
0.57,?,?,?,?,0.0,0.51,?,CYT
0.63,?,?,?,?,?,?,?,MIT
0.8,0.88,0.36,0.39,?,?,?,0.33,?
0.53,0.54,0.43,0.1,?,0.0,?,0.32,NUC
?,?,?,?,?,?,?,?,MIT
0.38,?,0.61,0.12,0.5,?,0.53,0.47,CYT
?,?,?,?,0.5,0.0,0.51,0.22,?
?,?,0.42,0.26,?,0.0,?,0.22,?
0.74,?,0.47,0.34,0.5,?,0.42,?,?
0.72,?,0.45,?,0.5,?,0.54,0.25,MIT
?,?,?,?,0.5,0.0,0.56,0.26,CYT
0.59,?,?,?,?,0.0,0.5,0.22,?
?,0.53,0.53,?,0.5,0.0,0.53,0.22,MIT
0.86,0.68,0.39,0.24,?,?,0.54,0.22,?
?,?,0.51,0.4,0.5,?,0.55,0.22,?
?,0.57,?,?,0.5,0.0,0.59,0.22,?
0.41,?,0.39,0.2,?,0.0,?,0.22,ME3
?,0.36,?,0.18,?,?,0.48,0.26,?
0.53,0.31,?,?,?,0.0,0.47,?,NUC
?,0.75,0.58,?,0.5,0.0,0.4,?,ME2
0.49,0.39,?,?,0.5,0.0,0.48,?,EXC
0.74,0.57,0.51,0.28,0.5,?,0.58,0.22,VAC
?,?,0.34,?,?,?,?,?,?
0.48,0.39,0.51,?,0.5,?,?,?,CYT
?,?,0.45,?,0.5,?,0.52,0.66,?
0.45,?,?,0.43,0.5,?,0.55,0.38,NUC
0.56,?,0.58,0.27,0.5,?,?,?,CYT
0.64,0.59,0.56,?,?,?,0.46,0.22,CYT
0.64,?,0.56,?,?,0.0,?,?,?
0.66,0.62,0.49,0.1,?,?,0.49,0.22,CYT
?,0.44,?,0.33,?,?,0.55,?,?
?,0.49,?,?,?,0.0,?,?,CYT
0.45,?,0.48,?,0.5,0.0,0.52,?,MIT
0.43,?,?,?,?,?,?,0.22,MIT
0.37,?,0.47,?,0.5,?,?,?,NUC
0.48,?,0.51,?,?,?,?,0.43,NUC
?,0.46,?,0.19,?,0.0,0.58,?,?
?,?,?,?,0.5,0.0,?,0.27,?
0.6,?,?,?,0.5,0.0,0.51,?,CYT
?,0.46,0.57,0.09,0.5,?,?,?,CYT
?,0.54,?,?,0.5,0.0,0.51,?,?
?,?,?,?,0.5,?,0.57,?,CYT
?,?,?,?,?,?,?,?,EXC
0.48,0.42,?,0.24,?,0.0,0.56,0.22,?
?,0.51,?,?,?,?,?,0.29,?
?,?,?,0.61,?,0.0,?,?,MIT
?,?,0.54,0.66,0.5,0.0,0.47,?,?
?,?,0.58,?,?,?,?,0.22,MIT
0.49,0.42,?,0.55,0.5,0.0,0.42,?,?
?,?,0.54,0.4,?,?,?,0.22,?
0.5,0.54,0.53,?,?,?,0.51,?,?
0.63,0.57,0.59,?,?,?,0.38,0.22,?
0.43,?,?,0.49,?,?,?,?,MIT
0.48,?,?,0.5,0.5,?,?,?,?
?,?,0.46,0.46,?,0.0,0.46,0.22,MIT
?,0.54,0.6,0.57,?,?,?,?,?
0.54,0.52,0.63,0.37,0.5,0.0,?,0.22,?
?,0.62,?,0.43,?,?,?,?,MIT
0.28,?,0.21,0.13,0.5,?,?,?,?
0.39,?,0.35,?,0.5,?,0.55,0.22,ME3
?,0.63,0.45,?,0.5,0.0,0.51,?,EXC
0.5,?,0.59,?,?,0.0,?,?,NUC
?,0.47,?,?,0.5,?,0.53,?,?
0.36,0.46,?,?,?,?,0.51,0.33,CYT
?,0.38,0.47,0.22,?,0.0,0.52,0.27,?
?,0.45,0.56,0.2,0.5,?,?,0.22,?
0.33,0.43,?,0.16,?,0.0,?,?,?
0.49,0.61,?,0.25,0.5,0.0,?,0.28,CYT
0.38,0.5,?,?,0.5,0.0,0.43,?,?
?,?,0.52,0.36,0.5,0.0,0.46,0.22,?
?,?,?,0.33,0.5,0.0,0.58,?,MIT
0.78,?,?,?,?,0.0,0.53,?,MIT
0.64,?,0.57,0.27,0.5,?,?,0.22,?
?,?,?,?,0.5,?,?,?,?
0.36,?,?,0.12,0.5,?,0.49,0.22,ME3
0.47,?,?,?,?,?,?,0.22,?
?,0.23,0.57,0.27,0.5,?,0.48,0.47,NUC
0.47,?,?,0.24,0.5,?,0.47,0.22,?
?,0.59,?,0.16,?,0.0,0.52,0.22,?
?,0.35,?,?,0.5,?,?,0.22,CYT
0.3,?,0.55,?,?,0.0,?,?,?
?,0.65,?,0.16,0.5,?,?,?,?
?,0.6,?,0.23,0.5,?,?,0.22,?
0.45,0.41,?,?,?,?,?,?,?
?,?,0.41,0.23,0.5,0.0,?,0.22,NUC
0.3,0.32,?,?,0.5,?,?,0.55,NUC
0.4,?,?,?,0.5,0.0,?,0.27,?
?,?,?,0.16,?,0.0,?,?,NUC
0.45,?,?,?,0.5,?,0.49,0.22,MIT
0.59,0.67,0.56,?,0.5,?,0.47,0.22,?
?,?,?,?,0.5,?,0.48,0.22,MIT
?,0.52,?,0.22,0.5,?,0.26,0.22,?
