@relation dataset

@attribute attr_4 real
@attribute attr_5 {0, 1}
@attribute attr_7 {0, 1}
@attribute attr_10 {0, 1}
@attribute attr_11 {0, 1, 2}
@attribute attr_13 {0, 1, 2}
@attribute attr_14 {0, 1}
@attribute attr_15 {0, 1, 2, 3}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {0, 1, 2}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {0, 1}


@data

25503.0,1,1,1,2,0,1,2,?,2.0,2,1911.0,?,?,0.2,17.0,78.0,0.75,20.0,13.1,1700.0,?,36.4,0.0,2.5,1.0,34.0,40.0,?,100.0,0
39039.0,1,?,1,2,?,1,3,816.0,?,0,1910.0,52.0,40.0,0.3,16.0,75.0,0.3125,?,?,1467.0,55.6,38.8,0.0,2.5,1.3,40.0,40.0,108.06,100.0,1
37351.0,0,1,?,0,0,1,3,816.0,2.0,2,?,50.0,46.0,?,17.0,80.0,0.75,30.0,?,2100.0,?,42.5,5.0,2.3,0.6,?,40.0,106.67,100.0,1
38039.0,?,1,1,2,?,1,?,816.0,2.0,0,1910.0,50.0,?,0.267,16.8,76.0,0.4375,28.0,?,1467.0,53.8,37.6,5.0,2.5,0.8,40.0,?,?,100.0,1
35751.0,0,1,0,0,0,1,?,827.0,?,2,1911.0,?,?,0.3,16.5,75.0,0.75,?,0.0,2600.0,62.5,?,6.0,2.5,0.6,30.0,40.0,106.67,100.0,?
35751.0,0,1,0,0,?,?,?,827.0,9.0,2,1911.0,50.0,46.0,0.2,16.5,75.0,0.75,28.0,0.0,?,?,37.5,6.0,?,1.1,30.0,40.0,106.67,100.0,1
47201.0,?,1,?,?,2,1,0,802.0,7.0,0,1910.0,?,?,0.367,12.0,70.0,0.75,60.0,0.0,1650.0,60.2,39.8,1.5,?,?,40.0,40.0,103.22,100.0,0
37000.0,1,?,1,2,0,?,3,815.0,?,0,1911.0,65.0,43.0,0.333,16.0,75.0,1.0,32.0,?,1750.0,45.5,31.8,0.0,3.0,1.0,38.0,40.0,106.66,100.0,?
37000.0,?,1,1,?,0,?,3,815.0,9.0,0,1910.0,65.0,43.0,0.2,16.0,68.0,0.75,30.0,15.5,?,?,35.9,0.0,?,1.0,?,40.0,106.6,100.0,1
35539.0,1,1,1,2,0,1,2,821.0,2.0,2,1911.0,50.0,50.0,0.367,14.0,80.0,0.75,40.0,10.5,1700.0,52.6,36.8,?,2.5,1.0,38.0,40.0,?,?,0
35539.0,1,?,1,?,0,?,?,?,7.0,?,1911.0,50.0,50.0,0.3,15.0,70.0,1.0,30.0,10.0,1600.0,50.0,40.0,0.0,?,?,38.0,40.0,106.66,100.0,?
23052.0,1,1,?,2,0,1,2,?,7.0,2,1911.0,40.0,45.0,?,?,70.0,?,25.0,0.0,1500.0,59.5,40.5,?,2.0,1.0,40.0,?,100.0,100.0,0
35539.0,1,?,?,2,0,1,2,821.0,?,?,1911.0,50.0,?,0.267,16.0,75.0,?,?,?,1600.0,?,34.7,0.0,2.5,1.0,38.0,40.0,103.22,100.0,?
37571.0,?,1,0,0,1,0,2,?,2.0,2,1911.0,50.0,45.0,0.233,16.0,70.0,0.8125,30.0,0.0,2400.0,58.8,?,0.0,1.7,1.0,30.0,40.0,?,100.0,?
?,0,1,?,?,1,1,2,?,?,2,1911.0,40.0,?,0.2,15.0,76.0,0.8125,30.0,0.0,2400.0,62.5,37.5,0.0,1.0,1.0,?,40.0,107.4,100.0,1
37340.0,0,1,0,?,0,1,2,824.0,2.0,2,1911.0,?,43.0,0.2,16.3,70.0,?,?,1.2,2200.0,58.1,40.7,4.0,2.0,1.0,30.0,40.0,96.875,100.0,1
35816.0,0,1,0,0,0,1,?,827.0,2.0,1,1911.0,40.0,41.0,0.2,?,?,1.0,30.0,0.0,2000.0,?,?,0.0,2.5,1.0,?,40.0,107.4,100.0,0
37352.0,0,?,?,0,0,?,2,827.0,9.0,2,1911.0,40.0,42.0,0.2,14.5,74.0,1.0,25.0,8.0,2100.0,57.5,34.5,0.0,2.3,0.7,35.0,40.0,107.4,100.0,0
37352.0,0,1,0,0,0,1,?,827.0,?,2,1911.0,45.0,?,?,14.0,70.0,?,?,8.0,1850.0,57.5,34.5,0.0,2.0,?,35.0,40.0,107.4,100.0,?
37352.0,0,1,1,0,0,1,2,827.0,9.0,2,1911.0,50.0,45.0,0.3,?,?,?,30.0,8.0,2150.0,57.5,34.5,0.0,2.5,1.0,35.0,40.0,107.4,100.0,1
?,0,?,1,0,0,?,2,827.0,?,2,1911.0,50.0,?,0.3,15.2,?,1.0,25.0,5.9,2150.0,58.8,35.3,?,2.5,1.0,35.0,40.0,107.4,100.0,1
37157.0,0,1,?,0,0,0,2,828.0,?,?,1910.0,30.0,45.0,0.233,17.0,70.0,0.75,?,?,2200.0,58.8,41.2,0.0,2.5,1.0,?,40.0,106.45,?,0
37352.0,0,1,1,0,0,1,3,815.0,2.0,?,?,37.5,44.0,0.2,16.0,90.0,0.75,28.0,20.0,2050.0,?,35.0,?,2.4,?,35.0,40.0,107.4,100.0,1
37352.0,0,1,1,?,0,?,3,815.0,9.0,?,1911.0,?,44.0,0.2,16.5,?,?,30.0,21.7,2050.0,43.5,34.8,0.0,2.7,?,35.0,40.0,107.4,100.0,1
25507.0,?,?,1,?,0,1,?,821.0,2.0,2,?,45.0,44.0,?,14.1,78.0,0.625,22.0,?,1510.0,54.3,38.0,?,2.5,0.7,34.0,40.0,114.28,100.0,1
?,?,1,1,?,0,1,2,821.0,?,2,?,40.0,44.0,0.2,14.0,69.0,0.625,20.0,8.5,1510.0,53.2,38.3,2.0,2.5,?,34.0,40.0,110.0,100.0,1
37080.0,?,1,0,0,?,?,2,828.0,2.0,2,?,40.0,47.0,0.333,?,78.0,?,35.0,0.0,2400.0,58.8,41.2,4.0,?,1.0,30.0,40.0,100.0,100.0,0
35334.0,1,1,1,2,0,1,3,816.0,2.0,2,1911.0,40.0,43.0,0.267,16.0,96.0,?,28.0,0.0,?,?,41.2,?,3.0,0.8,40.0,40.0,103.12,?,?
35334.0,1,?,1,2,0,1,3,816.0,9.0,2,1911.0,?,43.0,0.2,15.0,82.0,1.0,?,7.6,?,54.3,38.0,4.0,2.5,1.0,40.0,?,?,100.0,1
37869.0,?,1,?,0,?,1,3,815.0,9.0,0,?,37.5,44.0,0.3,15.0,85.0,0.75,34.0,0.0,1400.0,62.5,37.5,0.0,?,?,28.0,40.0,?,100.0,1
37869.0,0,1,1,0,?,1,3,?,2.0,0,?,35.0,44.0,0.3,16.0,80.0,1.0,32.0,?,1400.0,?,34.9,0.0,3.0,?,28.0,40.0,103.12,100.0,1
35752.0,?,1,0,0,0,1,2,?,9.0,?,?,?,43.0,0.2,16.0,82.0,0.875,30.0,0.0,?,55.6,44.4,12.0,?,1.0,30.0,?,?,100.0,1
35752.0,0,?,0,?,0,1,?,824.0,2.0,2,1910.0,50.0,43.0,0.3,16.3,80.0,0.8125,30.0,0.0,2270.0,55.6,44.4,12.0,1.5,?,30.0,40.0,103.22,100.0,1
35794.0,0,1,1,0,?,1,?,827.0,2.0,2,1911.0,60.0,43.0,0.267,15.8,?,?,24.0,1.2,1480.0,58.1,40.7,0.0,1.4,?,33.0,40.0,?,?,1
35794.0,0,1,?,?,0,1,?,827.0,9.0,2,1911.0,52.5,43.0,?,16.6,58.0,0.75,20.0,7.9,1480.0,56.2,?,0.0,?,0.7,?,40.0,103.12,100.0,1
35752.0,0,1,?,0,0,1,2,824.0,2.0,2,1910.0,50.0,?,0.3,17.0,87.0,?,35.0,0.0,2300.0,58.8,41.2,0.0,1.3,0.7,30.0,?,103.22,100.0,1
37441.0,0,?,?,0,0,1,2,821.0,2.0,2,1911.0,?,?,0.2,13.0,75.0,0.625,?,0.0,?,57.5,42.5,0.0,2.5,0.85,30.0,40.0,103.12,100.0,1
37441.0,?,1,?,0,0,1,?,?,7.0,?,1911.0,?,38.0,?,14.0,70.0,0.625,25.0,0.0,1600.0,58.8,41.2,5.0,1.7,0.9,30.0,40.0,103.12,?,1
37354.0,0,?,1,2,0,?,3,816.0,9.0,2,1911.0,40.0,46.0,0.333,?,?,0.5,34.0,2.4,2000.0,61.0,?,0.0,2.4,?,35.0,40.0,103.22,100.0,1
35335.0,1,1,1,2,0,?,2,827.0,2.0,2,1911.0,45.0,41.0,0.333,17.0,?,0.75,16.0,?,1100.0,?,35.4,0.0,2.5,1.0,?,40.0,96.97,100.0,?
37335.0,1,1,1,2,?,1,?,827.0,2.0,?,?,47.5,41.0,0.233,16.5,72.0,0.75,20.0,14.1,1300.0,?,35.4,?,2.5,?,50.0,?,96.97,100.0,0
?,0,0,0,0,0,0,?,824.0,?,?,1910.0,40.0,46.0,0.2,15.0,?,0.75,28.0,0.0,1700.0,58.8,41.2,0.0,1.0,1.0,33.0,?,103.22,?,1
35870.0,0,?,?,0,0,0,2,824.0,9.0,2,1911.0,40.0,46.0,0.267,16.5,68.0,0.875,25.0,0.0,1700.0,58.8,41.2,?,1.0,1.0,33.0,40.0,103.125,100.0,1
?,0,1,?,0,0,1,?,815.0,9.0,1,?,40.0,?,?,18.0,85.0,0.625,30.0,0.0,?,62.5,37.5,0.0,?,0.9,30.0,40.0,103.125,100.0,1
37869.0,0,1,1,0,0,1,0,802.0,7.0,0,1911.0,35.0,38.0,0.4,12.0,62.0,?,46.0,4.7,1400.0,58.8,36.5,0.0,2.0,1.0,28.0,?,103.125,100.0,1
37869.0,?,1,1,0,0,1,0,802.0,2.0,0,?,35.0,38.0,0.433,?,70.0,?,50.0,0.0,?,?,37.5,?,2.8,1.5,28.0,?,103.125,100.0,1
25509.0,1,1,?,2,0,?,2,821.0,7.0,2,?,50.0,46.0,?,14.6,?,?,25.0,?,1750.0,?,36.8,2.0,2.4,0.8,?,40.0,96.97,100.0,0
37386.0,?,1,1,2,0,1,2,827.0,2.0,2,?,40.0,47.0,0.333,24.5,78.0,0.875,30.0,8.8,2100.0,?,36.3,?,2.3,?,?,?,100.0,?,?
37386.0,1,?,?,2,0,1,2,?,2.0,2,1910.0,40.0,39.0,0.233,15.0,?,0.75,?,9.4,2000.0,52.1,38.5,0.0,2.5,1.0,40.0,40.0,103.22,100.0,1
37386.0,?,1,1,?,0,1,2,827.0,9.0,2,?,40.0,39.0,0.2,15.0,79.0,0.75,20.0,11.8,?,49.0,39.2,0.0,2.5,?,40.0,40.0,103.22,?,?
37386.0,1,1,1,2,0,1,2,824.0,9.0,2,1911.0,40.0,?,0.35,18.5,85.0,?,30.0,0.0,1900.0,62.5,37.5,?,1.8,1.4,40.0,40.0,106.45,100.0,0
37254.0,0,?,1,0,0,1,2,821.0,7.0,2,1911.0,42.5,41.0,0.3,?,?,?,20.0,2.3,1750.0,57.5,40.0,4.0,2.5,0.7,35.0,?,96.97,100.0,1
35457.0,0,1,0,0,?,?,2,828.0,9.0,2,?,?,39.0,0.2,16.2,?,1.0,?,0.0,2100.0,?,37.5,4.0,?,0.9,?,?,94.117,100.0,1
47202.0,0,1,1,2,?,1,0,802.0,2.0,0,1910.0,50.0,?,0.333,14.02,?,?,56.0,?,1800.0,53.2,39.4,0.0,3.0,?,40.0,40.0,109.67,100.0,?
47202.0,?,1,?,2,0,?,?,?,?,0,1910.0,67.5,45.0,0.2,15.5,80.0,0.5,34.0,?,1683.0,43.5,?,6.0,?,1.0,40.0,40.0,109.67,100.0,1
?,0,1,0,0,0,1,2,821.0,2.0,2,1910.0,55.0,?,0.267,16.0,75.0,0.625,?,5.6,1850.0,55.6,38.9,0.0,?,?,33.0,40.0,109.67,100.0,1
37354.0,?,1,1,0,?,?,2,821.0,2.0,2,?,42.5,41.0,?,14.0,?,0.625,20.0,7.4,1750.0,53.2,39.4,0.0,2.1,0.9,35.0,40.0,96.97,100.0,1
37355.0,?,1,?,0,0,1,3,816.0,9.0,2,1910.0,49.0,43.0,?,14.5,74.0,0.75,?,9.1,?,56.8,34.1,2.0,?,0.2,35.0,?,103.22,?,?
47202.0,1,?,1,2,0,1,1,813.0,9.0,0,?,52.5,43.0,?,15.1,?,0.5,31.0,6.6,1650.0,?,38.5,0.0,2.5,?,40.0,40.0,109.67,100.0,1
37355.0,?,1,1,0,0,?,2,828.0,9.0,?,1910.0,40.0,44.0,0.2,16.1,78.0,0.9375,30.0,5.6,1800.0,55.6,38.9,0.0,?,1.0,35.0,40.0,103.22,100.0,1
37355.0,0,?,1,?,0,?,2,?,2.0,2,1910.0,40.0,43.0,?,16.5,72.0,0.625,20.0,?,?,56.8,34.1,4.0,2.5,0.5,?,40.0,103.22,100.0,1
37355.0,?,1,1,0,0,1,2,827.0,?,2,1910.0,40.0,43.0,0.35,16.1,70.0,?,20.0,?,?,55.6,33.3,?,1.8,0.9,35.0,40.0,?,100.0,?
35753.0,0,1,0,0,0,1,2,824.0,9.0,2,1910.0,?,43.0,0.267,16.0,80.0,?,30.0,5.6,1900.0,55.6,38.9,0.0,2.2,1.3,?,40.0,103.22,100.0,?
25514.0,1,1,1,2,0,0,2,821.0,7.0,2,1910.0,55.0,?,0.267,?,70.0,0.625,30.0,5.6,1750.0,?,?,0.0,?,0.9,34.0,40.0,106.66,100.0,0
38051.0,0,1,1,?,?,1,3,816.0,?,?,1910.0,55.0,49.0,0.2,15.6,74.0,0.75,24.0,0.0,?,58.8,41.2,0.0,2.5,1.7,33.0,40.0,?,?,1
?,0,1,0,0,?,?,?,828.0,2.0,?,1911.0,40.0,49.0,0.233,?,74.0,1.0,34.0,0.0,2000.0,62.5,37.5,0.0,2.2,1.0,35.0,?,100.0,100.0,?
?,0,1,0,?,0,1,2,828.0,9.0,2,1911.0,40.0,49.0,?,16.8,78.0,0.9375,30.0,0.0,2000.0,62.5,?,0.0,?,0.9,35.0,?,?,100.0,1
?,1,1,1,2,0,?,2,821.0,7.0,2,1911.0,42.5,46.0,0.3,14.0,77.0,0.625,?,15.8,1850.0,49.5,?,8.0,1.5,0.8,34.0,40.0,100.0,?,0
37081.0,0,0,0,?,0,?,2,?,1.0,2,?,?,44.0,0.2,15.5,100.0,0.875,?,0.0,2200.0,?,46.8,?,0.0,0.0,?,?,100.0,?,0
35534.0,1,1,1,2,0,0,?,827.0,2.0,?,1910.0,42.0,44.0,0.3,?,80.0,1.25,?,16.7,1300.0,49.0,34.3,0.0,2.5,?,40.0,40.0,110.0,100.0,?
?,1,?,1,2,?,0,2,827.0,9.0,2,1910.0,45.0,44.0,?,15.5,75.0,1.25,20.0,14.1,1300.0,50.5,35.4,0.0,2.5,1.5,40.0,40.0,110.0,?,1
35754.0,0,?,0,0,0,1,2,824.0,2.0,2,1910.0,?,43.0,0.3,16.0,70.0,0.8125,30.0,3.4,2400.0,?,?,?,2.5,0.8,30.0,40.0,103.125,100.0,1
35754.0,0,1,0,0,0,1,?,824.0,9.0,2,1910.0,?,43.0,0.267,16.0,?,0.5625,?,9.1,2400.0,50.5,40.4,0.0,2.5,1.1,30.0,40.0,?,100.0,1
